Container Number,Container Type,Project,Field ID,Collection Date,Seed Type,Number Seeds,SCM Larvae Sum,SCM Pupae Sum,SCM Seeds,Phorid Larvae Sum,Phorid Pupae Sum,Phorid Seeds,Other Damage,Wireworms,Other Seeds,Checked by Sophie,Order Entered,Notes
24_5111,small deli,T,1_C_Y,4/16/24,corn,10,0,0,0,0,0,0,0,0,0,Y,126,
24_5108,small deli,T,1_L_Y,4/16/24,lima,4,0,0,0,0,0,0,0,0,0,Y,474,
24_5101,small deli,T,1_LC_N,4/16/24,lima and corn,"5 corn, 5 lima",0,0,0,0,0,0,0,0,0,Y,236,
24_6600,small deli,T,1E_BF_C_C,6/3/24,soy,9,0,0,0,0,0,0,3,0,3,Y,1374,"label says corn, contains soy"
24_5692,small deli,T,1E_BF_C_C,5/20/24,corn,10,0,0,0,0,0,0,8,0,8,Y,1682,
24_6450,small deli,T,1E_BF_C_L,6/3/24,lima,10,0,0,0,0,0,0,2,0,2,Y,1330,
24_5763,small deli,T,1E_BF_C_L,5/20/24,lima,7,27,0,3,1,0,0,4,0,4,Y,1667,
24_6478,small deli,T,1E_BF_C_S,6/3/24,soy,10,0,0,0,0,0,0,4,0,4,Y,1241,
24_5790,small deli,T,1E_BF_C_S,5/20/24,soy,10,2,0,0,0,0,0,4,0,4,Y,1732,
24_5700,small deli,T,1E_BF_S_C,5/20/24,corn,10,4,0,0,0,0,0,2,0,2,Y,833,
24_6490,small deli,T,1E_BF_S_C,6/3/24,corn,9,0,0,0,0,0,0,1,0,1,Y,1214,
24_5682,small deli,T,1E_BF_S_L,5/20/24,lima,8,13,0,6,0,0,0,8,0,8,Y,1022,
24_6454,small deli,T,1E_BF_S_L,6/3/24,lima,11,0,0,0,0,0,0,4,0,4,Y,1185,
24_5767,small deli,T,1E_BF_S_S,5/20/24,soy,10,3,0,0,0,0,0,7,0,7,Y,1094,
24_6508,small deli,T,1E_BF_S_S,6/3/24,soy,9,0,0,0,0,0,0,8,0,8,Y,1287,
24_6482,small deli,T,1E_C_C_C,6/3/24,corn,10,0,0,0,0,0,0,10,0,10,Y,1208,
24_5699,small deli,T,1E_C_C_C,5/20/24,corn,10,5,0,0,0,0,0,0,0,0,Y,1754,
24_6532,small deli,T,1E_C_C_L,6/3/24,lima,7,0,0,0,0,0,0,7,0,7,Y,1191,
24_5789,small deli,T,1E_C_C_L,5/20/24,lima,5,40,0,4,0,0,0,5,0,5,Y,1783,
24_6551,small deli,T,1E_C_C_L,6/3/24,lima,9,0,0,0,0,0,0,5,0,5,Y,1229,
24_6602,small deli,T,1E_C_C_S,6/3/24,soy,10,0,1,0,0,0,0,8,0,8,Y,1188,
24_5684,small deli,T,1E_C_C_S,5/20/24,soy,5,35,0,2,0,0,0,4,0,4,Y,1771,
24_6479,small deli,T,1E_C_S_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1237,
24_5693,small deli,T,1E_C_S_C,5/20/24,corn,8,0,0,0,0,0,0,0,0,0,Y,1656,
24_5687,small deli,T,1E_C_S_L,5/20/24,lima,6,15,0,0,0,0,0,6,0,6,Y,1660,
24_6452,small deli,T,1E_C_S_S,6/3/24,soy,10,0,0,0,0,0,0,10,0,10,Y,1205,
24_5681,small deli,T,1E_C_S_S,5/20/24,soy,8,4,0,0,0,0,0,8,0,8,Y,1662,
24_6448,small deli,T,1E_F_C_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1246,
24_5695,small deli,T,1E_F_C_C,5/20/24,corn,10,3,1,0,0,0,0,0,0,0,Y,1733,
24_6464,small deli,T,1E_F_C_L,6/3/24,lima,10,0,0,0,0,0,0,3,0,3,Y,1258,
24_5689,small deli,T,1E_F_C_L,5/20/24,lima,7,35,0,4,0,0,0,7,0,7,Y,1774,
24_5765,small deli,T,1E_F_C_S,5/20/24,soy,8,11,1,2,0,0,0,8,0,8,Y,1091,
24_6579,small deli,T,1E_F_C_S,6/3/24,soy,9,0,0,0,0,0,0,5,0,5,Y,1361,
24_5683,small deli,T,1E_F_S_C,5/20/24,corn,9,2,1,0,0,0,0,0,0,0,Y,1037,
24_6563,small deli,T,1E_F_S_C,6/3/24,corn,10,0,0,0,0,0,0,2,0,2,Y,1343,
24_6455,small deli,T,1E_F_S_L,6/3/24,lima,10,0,0,0,0,0,0,3,0,3,Y,1256,
24_5764,small deli,T,1E_F_S_L,5/20/24,lima,5,24,0,4,0,0,0,1,0,1,Y,1668,
24_5685,small deli,T,1E_F_S_S,5/20/24,soy,7,0,0,0,0,0,0,7,0,7,Y,852,
24_6496,small deli,T,1E_F_S_S,6/3/24,soy,10,0,0,0,0,0,0,3,0,3,Y,1289,
24_6748,small deli,T,1E_LF_C_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1294,
24_5696,small deli,T,1E_LF_C_C,5/20/24,corn,10,5,0,3,0,0,0,0,0,0,Y,1659,
24_5701,small deli,T,1E_LF_C_L,5/20/24,lima,6,20,1,4,0,0,0,6,0,6,Y,1023,
24_6534,small deli,T,1E_LF_C_L,6/3/24,lima,9,0,0,0,0,0,0,3,0,3,Y,1298,
24_6562,small deli,T,1E_LF_C_S,6/3/24,soy,10,0,0,0,0,0,0,9,0,9,Y,1318,
24_5791,small deli,T,1E_LF_C_S,5/20/24,soy,8,3,0,0,0,0,0,8,0,8,Y,1712,
24_5813,small deli,T,1E_LF_S_C,5/20/24,corn,10,24,1,3,0,0,0,0,0,0,Y,834,"""Other Seeds"" was left blank, presumably it was 0"
24_6497,small deli,T,1E_LF_S_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1872,
24_5794,small deli,T,1E_LF_S_L,5/20/24,lima,7,22,3,7,0,0,0,0,0,0,Y,1041,
24_6510,small deli,T,1E_LF_S_L,6/3/24,lima,9,0,0,0,0,0,0,7,0,7,Y,1311,
24_6582,small deli,T,1E_LF_S_S,6/3/24,soy,8,0,0,0,0,0,0,1,0,1,Y,1303,
24_5796,small deli,T,1E_LF_S_S,5/20/24,soy,5,9,4,0,0,0,0,4,0,4,Y,1684,
24_5865,small deli,T,1W_BF_C_C,5/20/24,corn,10,0,0,0,0,0,0,1,0,1,Y,759,
24_6398,small deli,T,1W_BF_C_C,6/3/24,corn,8,0,0,0,0,0,0,0,0,0,Y,1877,
24_6437,small deli,T,1W_BF_C_L,6/3/24,lima,10,0,0,0,0,0,0,1,0,1,Y,1165,
24_5871,small deli,T,1W_BF_C_L,5/20/24,lima,10,3,0,0,0,0,0,9,1,9,Y,1777,
24_5895,small deli,T,1W_BF_C_S,5/20/24,soy,10,0,1,0,0,0,0,10,0,10,Y,725,
24_6420,small deli,T,1W_BF_C_S,6/3/24,lima,9,0,0,0,0,0,0,9,0,9,Y,883,
24_6428,small deli,T,1W_BF_S_C,6/3/24,corn,7,0,0,0,0,0,0,0,0,0,Y,1122,
24_5862,small deli,T,1W_BF_S_C,5/20/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1708,
24_5838,small deli,T,1W_BF_S_L,5/20/24,lima,7,0,0,0,0,0,0,6,1,6,Y,1717,
24_6441,small deli,T,1W_BF_S_L,6/3/24,lima,10,0,0,0,0,0,0,1,0,1,Y,1876,
24_5828,small deli,T,1W_BF_S_S,5/20/24,soy,9,0,2,0,0,0,0,8,0,8,Y,1072,
24_6440,small deli,T,1W_BF_S_S,6/3/24,soy,1,0,0,0,0,0,0,1,0,1,Y,1220,
24_6431,small deli,T,1W_C_C_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1164,
24_5857,small deli,T,1W_C_C_C,5/20/24,corn,8,0,0,0,0,0,0,6,0,6,Y,1720,
24_5855,small deli,T,1W_C_C_L,5/20/24,lima,9,3,1,1,0,0,0,9,0,9,Y,723,
24_6411,small deli,T,1W_C_C_L,6/3/24,lima,11,0,0,0,0,0,0,11,0,11,Y,886,
24_6399,small deli,T,1W_C_C_S,6/3/24,soy,10,0,0,0,0,0,0,10,0,10,Y,1120,
24_5891,small deli,T,1W_C_C_S,5/20/24,soy,10,0,0,0,0,0,0,7,0,7,Y,1803,
24_6434,small deli,T,1W_C_S_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1158,
24_5854,small deli,T,1W_C_S_C,5/20/24,corn,10,0,0,0,0,0,0,4,0,4,Y,1703,
24_6430,small deli,T,1W_C_S_L,6/3/24,lima,10,0,0,0,0,0,0,10,0,10,Y,1141,
24_5826,small deli,T,1W_C_S_L,5/20/24,lima,9,0,4,0,0,0,0,8,0,8,Y,1757,
24_6419,small deli,T,1W_C_S_S,6/3/24,soy,10,0,0,0,0,0,0,10,0,10,Y,976,
24_5875,small deli,T,1W_C_S_S,5/20/24,soy,10,0,1,0,0,0,0,10,0,10,Y,1068,
24_6405,small deli,T,1W_F_C_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1170,
24_5860,small deli,T,1W_F_C_C,5/20/24,corn,10,1,0,0,0,0,0,0,0,0,Y,1704,
24_6414,small deli,T,1W_F_C_L,6/3/24,lima,8,0,0,0,0,0,0,8,0,8,Y,1149,
24_5830,small deli,T,1W_F_C_L,5/20/24,lima,7,9,2,0,0,0,0,6,0,6,Y,1762,
24_6439,small deli,T,1W_F_C_S,6/3/24,soy,5,0,0,0,0,0,0,5,0,5,Y,1219,
24_5868,small deli,T,1W_F_C_S,5/20/24,soy,10,1,0,0,0,0,0,9,0,9,Y,1700,
24_5868,small deli,T,1W_F_C_S,5/20/24,soy,6,3,4,0,0,0,0,6,0,6,Y,1727,
24_5801,small deli,T,1W_F_S_C,5/20/24,corn,9,2,0,1,0,0,0,9,0,9,Y,1010,
24_6418,small deli,T,1W_F_S_C,6/3/24,corn,10,0,0,0,0,0,0,0,0,0,Y,1126,
24_6424,small deli,T,1W_F_S_L,6/3/24,lima,9,0,0,0,0,0,0,9,0,9,Y,1121,
24_5831,small deli,T,1W_F_S_L,5/20/24,lima,10,1,0,0,0,0,0,7,0,7,Y,1693,
