Field ID,Latitude,Longitude,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_49,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
DEG_DIE_HILL,42.604860000000002,-76.150130000000004,"481","0","11","1","1","0","0","40","13","10","438","203","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","17","192","372","164","36","2","396","58","112","3","599","53","9","0","0","0","0","6","0"
DEG_FOU_WOOD,42.577289999999998,-76.281350000000003,"991","0","7","0","0","0","0","2","0","0","331","470","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","166","76","6","0","0","445","29","82","1","560","53","5","0","0","0","0","1","0"
DEG_PER_STRIP,42.673389999999998,-76.229110000000006,"708","1","125","0","0","0","0","173","6","4","300","200","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","156","62","8","2","0","863","43","107","2","447","18","0","0","0","0","0","0","0"
DEG_VIL,42.689010000000003,-76.168679999999995,"994","0","45","0","4","1","0","2","0","55","287","225","0","0","0","1","0","0","0","0","2","0","1","1","2","0","0","0","101","133","189","50","1","1","522","4","32","11","452","103","6","0","0","1","0","0","0"
DIP_CUR,42.432904950000001,-76.244050400000006,"991","1","223","0","0","0","0","198","0","1","266","205","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","142","60","33","18","0","444","10","51","4","462","12","6","1","0","82","0","0","0"
DIP_FLE,42.600980980000003,-76.513185129999997,"969","0","18","0","5","0","0","0","0","1","936","273","0","0","0","0","0","0","7","0","3","0","0","0","0","0","0","0","3","41","75","14","3","0","412","0","20","5","392","30","2","0","10","0","1","0","0"
DIP_PAT,42.903554069999998,-76.664186849999993,"828","0","454","0","4","0","0","230","1","0","810","80","1","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","2","42","102","25","3","5","403","2","3","0","174","59","1","1","1","0","5","1","0"
GAB_ALL,42.923639999999999,-73.680890000000005,"56","0","0","0","0","0","0","0","0","0","10","14","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","333","209","264","192","43","7","666","36","556","5","203","627","8","0","0","0","0","0","0"
GAB_HEN,43.005490000000002,-73.561160000000001,"881","1","352","0","0","0","0","0","3","12","558","97","0","0","0","0","0","3","2","7","3","0","1","12","0","0","0","0","5","28","104","97","37","18","322","89","205","3","365","40","0","0","0","0","0","0","0"
GAB_STE,43.072170000000000,-73.523499999999999,"125","0","0","0","0","0","0","0","0","0","144","43","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","44","32","26","16","5","18","1566","576","285","1","284","64","9","0","0","0","0","0","0"
