,Field ID,Latitude,Longitude,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_228,VALUE_242,VALUE_243,Total,Ag,Nat,Semi_Nat,Dev,Other
0,DEG_DIE_HILL,42.60486,-76.15013,297,0,6,0,0,35,13,9,117,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,18,9,4,0,34,0,1,0,139,1,0,0,0,6,0,775.4547299999999,0.0,0.0,0.0,0.0,0.0
1,DEG_FOU_WOOD,42.57729,-76.28135,338,0,2,0,0,1,0,0,65,136,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55,24,0,0,0,21,0,1,1,155,2,0,0,0,1,0,770.29594,0.0,0.0,0.0,0.0,0.0
2,DEG_PER_STRIP,42.67339,-76.22911,192,1,57,0,0,125,0,1,86,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,1,2,0,86,0,4,1,147,1,0,0,0,0,0,771.4442799999999,0.0,0.0,0.0,0.0,0.0
3,DEG_VIL,42.68901,-76.16868,446,0,19,4,0,2,0,1,12,17,0,0,0,0,0,0,0,0,0,0,1,0,0,18,43,46,15,0,0,50,0,4,7,104,17,0,0,0,0,0,772.5203300000001,0.0,0.0,0.0,0.0,0.0
4,DIP_CUR,42.43290495,-76.2440504,311,0,6,0,0,0,0,0,95,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,20,3,0,0,86,7,15,0,124,1,2,0,31,0,0,766.18885455,0.0,0.0,0.0,0.0,0.0
5,DIP_FLE,42.60098098,-76.51318513,373,0,2,0,0,0,0,1,81,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,20,6,0,0,123,0,10,2,136,21,1,0,0,0,0,773.08779585,0.0,0.0,0.0,0.0,0.0
6,DIP_PAT,42.90355407,-76.66418685,313,0,19,0,0,72,1,0,38,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,243,2,2,0,44,25,0,0,0,0,0,772.2393672200001,0.0,0.0,0.0,0.0,0.0
7,GAB_ALL,42.92364,-73.68089,4,0,0,0,0,0,0,0,3,9,0,0,0,0,0,1,1,0,0,0,0,0,0,9,58,82,31,9,0,162,10,107,1,118,203,4,0,0,0,0,781.24275,0.0,0.0,0.0,0.0,0.0
8,GAB_HEN,43.00549,-73.56116,266,0,134,0,0,0,0,0,186,9,0,0,0,3,0,4,1,0,0,0,0,0,0,0,4,24,23,14,4,28,2,38,1,63,5,0,0,0,0,0,778.44433,0.0,0.0,0.0,0.0,0.0
9,GAB_STE,43.07217,-73.5235,20,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,426,250,58,0,42,3,1,0,0,0,0,784.54867,0.0,0.0,0.0,0.0,0.0
10,HUN_PLE_9,44.2865002,-75.8554739,25,0,4,0,0,6,0,0,4,408,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,7,0,0,0,365,5,1,0,0,0,0,799.4310263,0.0,0.0,0.0,0.0,0.0
11,KAT_HAB_3,42.503889,-78.913889,254,0,175,0,0,0,0,0,8,101,0,2,0,0,1,0,1,0,0,21,0,0,0,0,51,17,0,1,0,35,0,18,0,116,4,0,0,0,0,0,768.59,0.0,0.0,0.0,0.0,0.0
12,KAT_HAB_4,42.547222,-78.870556,317,0,12,0,0,2,0,0,6,154,0,6,0,0,0,0,0,0,0,4,0,0,0,0,29,9,6,2,0,60,28,48,0,120,2,0,0,0,0,0,768.6766660000001,0.0,0.0,0.0,0.0,0.0
13,KAT_JEF,42.243611,-79.070556,65,0,0,0,0,1,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,2,3,0,171,65,135,0,162,5,1,0,0,0,0,762.173055,0.0,0.0,0.0,0.0,0.0
14,KAT_JEF_2,42.271111,-79.087778,83,0,9,0,0,0,0,0,15,149,0,2,0,0,1,0,0,0,0,0,1,0,0,1,33,18,3,2,0,92,3,28,0,174,115,74,0,0,0,0,766.183333,0.0,0.0,0.0,0.0,0.0
15,KAT_MAH,42.409722,-77.711667,630,0,7,0,0,6,0,1,16,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,17,7,0,3,2,0,1,0,62,0,0,0,0,0,0,768.698055,0.0,0.0,0.0,0.0,0.0
16,KAT_SAU,42.060556,-77.799722,119,13,1,0,0,151,0,3,29,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5,2,0,0,74,3,20,0,126,1,0,0,0,0,0,766.2608339999999,0.0,0.0,0.0,0.0,0.0
17,KAT_SAU_3,42.063889,-77.793333,33,9,2,0,0,51,0,0,28,169,3,0,0,1,0,0,0,0,0,0,0,0,1,0,63,6,1,0,0,218,1,19,0,194,0,0,0,0,0,0,763.2705559999999,0.0,0.0,0.0,0.0,0.0
18,KAT_TEE,42.333889,-78.760833,212,0,0,0,0,0,0,0,8,37,0,0,0,0,0,0,1,0,0,2,0,0,0,0,38,14,7,0,0,261,7,46,0,150,16,2,0,0,0,0,764.573056,0.0,0.0,0.0,0.0,0.0
19,KAT_TEE_3,42.344722,-78.739167,159,0,5,0,0,0,0,1,19,136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,2,1,0,0,243,34,106,0,48,2,0,0,0,0,0,762.605555,0.0,0.0,0.0,0.0,0.0
20,POV_DUN,42.38746004,-76.39924839,2,0,1,0,0,0,0,0,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10,0,0,0,239,1,139,2,269,8,0,0,0,0,0,771.98821165,0.0,0.0,0.0,0.0,0.0
21,SEA_HOO,42.627472,-77.018172,154,0,107,2,0,157,1,2,142,17,0,4,1,0,8,6,2,0,0,8,0,0,0,0,56,18,5,3,0,56,0,2,1,32,16,0,2,0,0,2,769.6093,0.0,0.0,0.0,0.0,0.0
22,STA_AYR,42.989351,-77.260081,63,0,196,1,0,102,0,1,17,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,9,2,1,1,209,0,8,0,107,47,0,0,0,0,0,774.72927,0.0,0.0,0.0,0.0,0.0
23,STA_BRA,42.909417,-77.788306,423,0,5,0,0,13,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,7,2,0,0,142,0,4,0,54,86,4,0,0,0,0,773.1211109999999,0.0,0.0,0.0,0.0,0.0
24,STA_FRE,42.84381,-76.88684,416,0,173,0,0,20,0,0,96,6,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,1,1,0,0,33,0,4,0,34,10,0,0,0,0,0,771.95697,0.0,0.0,0.0,0.0,0.0
25,STA_HEM,42.996,-77.103944,47,0,4,0,0,0,0,0,430,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,6,3,0,0,107,7,35,0,48,67,1,1,0,0,0,774.892056,0.0,0.0,0.0,0.0,0.0
26,STA_MAC,42.73875,-77.809417,173,0,210,0,0,258,0,0,9,8,0,8,20,1,0,0,2,0,0,0,0,0,0,0,37,35,5,3,1,3,0,0,0,36,0,0,0,0,0,0,773.929333,0.0,0.0,0.0,0.0,0.0
27,STA_NOB,42.85805,-77.95054,344,0,22,5,0,3,0,4,144,13,0,24,1,0,0,0,1,0,1,0,0,0,0,1,38,9,11,7,1,94,0,3,0,71,11,0,0,0,0,0,772.90751,0.0,0.0,0.0,0.0,0.0
28,STA_PAN,42.5805,-78.078917,301,103,3,0,0,0,1,0,294,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,5,2,0,13,0,1,0,30,2,0,0,0,0,0,769.501583,0.0,0.0,0.0,0.0,0.0
29,STA_SWE,42.798278,-78.099611,285,0,0,0,1,1,0,0,220,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53,21,3,0,0,38,0,1,3,126,23,5,0,0,0,0,772.698667,0.0,0.0,0.0,0.0,0.0
30,STA_THO,43.137601,-77.316857,146,0,209,0,0,77,0,0,58,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,22,4,0,0,29,0,3,2,115,8,0,0,0,0,0,776.820744,0.0,0.0,0.0,0.0,0.0
31,STA_WAT,42.909417,-77.788306,423,0,5,0,0,13,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,7,2,0,0,142,0,4,0,54,86,4,0,0,0,0,773.1211109999999,0.0,0.0,0.0,0.0,0.0
32,WIS_COO,41.879388,-73.614722,206,0,24,0,1,0,0,0,139,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,19,0,0,0,0,75,0,4,3,290,7,1,0,0,0,0,763.264666,0.0,0.0,0.0,0.0,0.0
33,WIS_COO_2,41.871069,-73.62796,20,0,1,0,17,17,3,0,142,119,0,0,0,0,1,0,5,0,2,0,0,1,0,3,22,30,7,0,0,44,8,8,1,340,2,1,0,0,0,0,762.243109,0.0,0.0,0.0,0.0,0.0
34,WIS_KEN,41.66554,-73.95627,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,1,3,63,0,0,4,0,76,84,89,52,18,0,197,2,12,2,141,26,16,0,0,0,0,759.7092700000001,0.0,0.0,0.0,0.0,0.0
35,ZUE_REE,42.783494,-76.983186,76,0,171,3,0,124,1,0,29,26,0,4,0,0,0,0,3,0,2,8,0,0,0,0,34,11,5,0,0,119,0,14,0,151,13,0,0,0,0,18,777.800308,0.0,0.0,0.0,0.0,0.0
36,SMI_CAN_2,42.875556,-75.055333,73,0,30,0,0,0,0,0,60,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,31,32,10,15,264,3,10,1,170,19,2,0,0,0,0,772.8202229999999,0.0,0.0,0.0,0.0,0.0
