,Field ID,Latitude,Longitude,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_236,VALUE_237,VALUE_243,VALUE_244,VALUE_249,Total,Ag,Nat,Semi_Nat,Dev,Other
0,DEG_DIE_HILL,42.60486,-76.15013,574,0,276,0,2,0,1,0,0,0,0,0,0,134,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,55,339,301,106,23,2,515,93,75,0,926,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431.45473,0.0,0.0,0.0,0.0,0.0
1,DEG_FOU_WOOD,42.57729,-76.28135,848,0,49,0,0,0,0,0,0,0,0,0,0,278,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,176,57,1,0,0,583,26,71,0,1308,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426.29594,0.0,0.0,0.0,0.0,0.0
2,DEG_PER_STRIP,42.67339,-76.22911,811,0,254,0,0,0,0,10,8,0,0,0,0,179,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145,28,6,0,0,977,48,140,0,818,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3433.4442799999997,0.0,0.0,0.0,0.0,0.0
3,DEG_VIL,42.68901,-76.16868,952,0,140,4,4,0,0,0,0,0,76,0,0,128,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,194,156,32,1,1,780,17,14,0,739,80,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430.5203300000003,0.0,0.0,0.0,0.0,0.0
4,DIP_CUR,42.43290495,-76.2440504,833,0,398,0,1,0,1,0,0,0,14,0,0,48,1,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,146,43,16,17,2,666,10,28,0,856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,3430.18885455,0.0,0.0,0.0,0.0,0.0
5,DIP_FLE,42.60098098,-76.51318513,929,0,7,0,2,0,0,0,0,0,0,0,0,914,44,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,64,57,9,22,14,545,0,6,0,765,28,0,0,0,0,0,0,0,0,0,7,0,0,0,44,0,0,0,0,0,0,3431.08779585,0.0,0.0,0.0,0.0,0.0
6,DIP_PAT,42.90355407,-76.66418685,1232,0,16,0,2,0,1,0,363,7,0,0,0,590,1,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,61,56,13,8,49,513,0,2,0,513,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3431.23936722,0.0,0.0,0.0,0.0,0.0
7,GAB_ALL,42.92364,-73.68089,23,0,3,1,5,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,361,325,335,162,7,6,1341,47,265,0,288,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3436.24275,0.0,0.0,0.0,0.0,0.0
8,GAB_HEN,43.00549,-73.56116,796,0,385,14,2,1,34,0,28,11,63,0,0,213,3,0,0,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,40,93,52,66,18,402,88,182,0,827,21,0,3,0,0,1,0,0,0,0,0,0,0,0,94,0,0,7,0,0,0,3428.4443300000003,0.0,0.0,0.0,0.0,0.0
9,GAB_STE,43.07217,-73.5235,76,10,3,4,1,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,34,54,13,4,13,1908,145,587,0,486,29,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3435.54867,0.0,0.0,0.0,0.0,0.0
