,Field ID,Latitude,Longitude,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,VALUE_60,Fallow/Idle Cropland,Peaches,Apples,Grapes,Other Tree Crops,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Garlic,Peppers,Greens,Plums,Strawberries,Squash,VALUE_226,Lettuce,Dbl Crop Triticale/Corn,Pumpkins,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other
0,DEG_DIE_HILL,42.60486,-76.15013,163,0,261,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,4,2,0,40,4,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831.4547299999999,499,44,265,57,0
1,DEG_FOU_WOOD,42.57729,-76.28135,294,0,0,0,0,0,0,0,0,0,0,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,19,1,0,0,46,0,4,0,336,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.29594,391,53,336,82,0
2,DEG_PER_STRIP,42.67339,-76.22911,148,0,168,0,0,0,10,4,0,0,0,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,109,0,0,0,324,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,835.4442799999999,391,110,324,41,0
3,DEG_VIL,42.68901,-76.16868,471,0,23,4,4,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,26,10,1,1,125,0,1,0,103,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,832.5203300000001,516,141,103,87,20
4,DIP_CUR,42.43290495,-76.2440504,95,0,33,0,1,0,0,0,0,14,0,40,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,56,15,1,0,0,138,4,9,0,363,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,831.18885455,279,151,363,72,0
5,DIP_FLE,42.60098098,-76.51318513,357,0,2,0,1,0,0,0,0,0,0,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,18,1,0,0,173,0,2,0,168,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,833.08779585,450,198,168,44,0
6,DIP_PAT,42.90355407,-76.66418685,331,0,4,0,1,1,0,71,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,287,0,2,0,140,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.2393672200001,410,312,140,6,0
7,GAB_ALL,42.92364,-73.68089,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,110,103,15,3,1,268,28,69,0,150,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.24275,3,477,150,232,6
8,GAB_HEN,43.00549,-73.56116,248,0,170,5,0,0,0,0,0,2,0,122,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9,17,13,22,5,64,3,14,0,159,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,835.44433,558,86,159,66,0
9,GAB_STE,43.07217,-73.5235,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,574,40,165,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.54867,12,779,76,2,0
10,HUN_PLE_9,44.2865002,-75.8554739,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,4,32,0,0,0,806,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.4310263,2,50,806,10,0
11,KAT_HAB_3,42.503889,-78.913889,239,0,58,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,32,0,0,0,0,1,1,3,0,0,0,0,57,17,0,0,1,76,0,43,0,223,0,0,0,0,0,0,0,0,2,0,0,0,4,0,33,70,833.59,452,120,223,75,0
12,KAT_HAB_4,42.547222,-78.870556,269,0,1,0,0,0,0,50,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,11,2,7,11,93,26,50,0,303,2,2,1,0,0,0,0,0,0,0,4,0,0,2,0,4,834.6766660000001,329,184,303,61,0
13,KAT_JEF,42.243611,-79.070556,59,0,0,0,0,0,0,0,2,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,0,1,0,174,37,182,0,340,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.173055,70,397,340,52,0
14,KAT_JEF_2,42.271111,-79.087778,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,39,19,0,10,2,252,2,46,0,309,56,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,832.183333,130,361,309,70,0
15,KAT_MAH,42.409722,-77.711667,608,0,2,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10,5,1,2,42,0,2,0,118,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.698055,625,53,118,71,0
16,KAT_SAU,42.060556,-77.799722,54,0,0,0,0,0,0,0,14,152,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,99,5,40,0,413,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,831.2608339999999,251,144,413,59,0
17,KAT_SAU_3,42.063889,-77.793333,10,0,0,0,0,1,0,4,4,59,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,6,1,1,1,274,0,12,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.2705559999999,84,287,416,77,2
18,KAT_TEE,42.333889,-78.760833,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,56,8,2,0,0,268,6,71,0,205,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828.573056,215,374,205,66,5
19,KAT_TEE_3,42.344722,-78.739167,152,0,0,0,0,0,0,0,0,0,0,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,285,47,101,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832.605555,208,433,132,55,0
20,POV_DUN,42.38746004,-76.39924839,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,0,0,316,1,113,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.98821165,2,430,357,78,0
