Field ID,Latitude,Longitude,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_50,VALUE_53,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_71,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_243,VALUE_244
DEG_DIE_HILL,42.604860000000002,-76.150130000000004,"163","0","261","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","7","4","2","0","40","4","0","0","265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
DEG_FOU_WOOD,42.577289999999998,-76.281350000000003,"294","0","0","0","0","0","0","0","0","0","0","97","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62","19","1","0","0","46","0","4","0","336","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
DEG_PER_STRIP,42.673389999999998,-76.229110000000006,"148","0","168","0","0","0","10","4","0","0","0","58","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","5","0","0","0","109","0","0","0","324","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
DEG_VIL,42.689010000000003,-76.168679999999995,"471","0","23","4","4","0","0","0","0","0","0","1","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","49","26","10","1","1","125","0","1","0","103","13","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
DIP_CUR,42.432904950000001,-76.244050400000006,"95","0","33","0","1","0","0","0","0","14","0","40","0","0","0","0","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","56","15","1","0","0","138","4","9","0","363","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0"
DIP_FLE,42.600980980000003,-76.513185129999997,"357","0","2","0","1","0","0","0","0","0","0","87","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","25","18","1","0","0","173","0","2","0","168","23","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
DIP_PAT,42.903554069999998,-76.664186849999993,"331","0","4","0","1","1","0","71","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","287","0","2","0","140","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
GAB_ALL,42.923639999999999,-73.680890000000005,"1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","110","103","15","3","1","268","28","69","0","150","111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
GAB_HEN,43.005490000000002,-73.561160000000001,"248","0","170","5","0","0","0","0","0","2","0","122","1","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","9","17","13","22","5","64","3","14","0","159","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0"
GAB_STE,43.072170000000000,-73.523499999999999,"9","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","574","40","165","0","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
