,card_id,field_id,date_collected,total_scm,scm_male,scm_female,florilega,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,total_flies,week,year,ppt_in,tmin_f,tmean_f,tmax_f,tdmean_f,vpdmin_hPa,vpdmax_hPa,prop_corn_current_year_500m,prop_soy_current_year_500m,prop_ag_current_year_500m,prop_nat_current_year_500m,prop_semi_nat_current_year_500m,prop_corn_current_year_1000m,prop_soy_current_year_1000m,prop_ag_current_year_1000m,prop_nat_current_year_1000m,prop_semi_nat_current_year_1000m,prop_corn_previous_year_500m,prop_soy_previous_year_500m,prop_ag_previous_year_500m,prop_nat_previous_year_500m,prop_semi_nat_previous_year_500m,prop_corn_previous_year_1000m,prop_soy_previous_year_1000m,prop_ag_previous_year_1000m,prop_nat_previous_year_1000m,prop_semi_nat_previous_year_1000m,previous_crop,cover_crop,manure,tillage,soil_texture,ph,organic_matter
0,2006,DIP_FLE,3/13/23,0,0,0,0,1556,780,776,0,0,0,0,0,11,2023,0.148571429,24.85714286,32.08571429,39.34285714,24.51428571,0.4,3.751428571,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
1,2001,DIP_CUR,3/13/23,0,0,0,0,1308,655,653,0,0,0,0,0,11,2023,0.145714286,19.15714286,28.41428571,37.71428571,21.15714286,0.604285714,3.735714286,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
2,2002,DIP_CUR,3/13/23,0,0,0,0,1308,655,653,0,0,0,0,0,11,2023,0.145714286,19.15714286,28.41428571,37.71428571,21.15714286,0.604285714,3.735714286,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
3,2005,DIP_FLE,3/13/23,0,0,0,0,1556,780,776,0,0,0,0,0,11,2023,0.148571429,24.85714286,32.08571429,39.34285714,24.51428571,0.4,3.751428571,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.302484472,0.005590062,0.604658385,0.145652174,0.12173913,0.440424205,0.006862133,0.580786026,0.190268247,0.173424828,0.314892952,0.00531333,0.69792155,0.143928739,0.116580716,Silage Corn,Yes,No,No,5,6.317162514,28.22133827
4,2004,POV_DUN,3/13/23,0,0,0,0,275,185,90,0,0,0,0,0,11,2023,0.154285714,21.72857143,30.5,39.31428571,23.1,0.395714286,3.991428571,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.006926952,0.001889169,0.10768262,0.47418136,0.331234257,0.002672116,0.00047155,0.116944357,0.487896888,0.261867337,Silage Corn,No,No,No,4,5.781182766,20.7029171
5,2003,POV_DUN,3/13/23,0,0,0,0,275,185,90,0,0,0,0,0,11,2023,0.154285714,21.72857143,30.5,39.31428571,23.1,0.395714286,3.991428571,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.006926952,0.001889169,0.10768262,0.47418136,0.331234257,0.002672116,0.00047155,0.116944357,0.487896888,0.261867337,Silage Corn,No,No,No,4,5.781182766,20.7029171
6,2012,POV_DUN,3/21/23,0,0,0,0,275,185,90,0,0,0,0,0,12,2023,0.075714286,27.65714286,38.15714286,48.61428571,25.14285714,0.79,7.235714286,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.006926952,0.001889169,0.10768262,0.47418136,0.331234257,0.002672116,0.00047155,0.116944357,0.487896888,0.261867337,Silage Corn,No,No,No,4,5.781182766,20.7029171
7,2011,POV_DUN,3/21/23,0,0,0,0,275,185,90,0,0,0,0,0,12,2023,0.075714286,27.65714286,38.15714286,48.61428571,25.14285714,0.79,7.235714286,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.002804612,0.001246494,0.031785603,0.479588657,0.272982237,0.006926952,0.001889169,0.10768262,0.47418136,0.331234257,0.002672116,0.00047155,0.116944357,0.487896888,0.261867337,Silage Corn,No,No,No,4,5.781182766,20.7029171
8,2010,DIP_CUR,3/21/23,0,0,0,0,1308,655,653,0,0,0,0,0,12,2023,0.084285714,26.18571429,36.71428571,47.21428571,23.61428571,0.824285714,6.881428571,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
9,2009,DIP_CUR,3/21/23,0,0,0,0,1308,655,653,0,0,0,0,0,12,2023,0.084285714,26.18571429,36.71428571,47.21428571,23.61428571,0.824285714,6.881428571,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.308626596,0.06944877,0.54936157,0.164123326,0.143880411,0.338983051,0.03138732,0.61393597,0.133082235,0.16007533,0.350290469,0.063118229,0.613597111,0.169414351,0.138326268,Silage Corn,Yes,No,No,4,5.927192211,18.15420723
