Container Number,Container Type,Project,Field ID,Treatment,Collection Date,Seed Type,Number Seeds,SCM Larvae Sum,SCM Pupae Sum,SCM Seed,Phorid Seed,Other Damage,Wireworms,Other Seeds,Wireworm Presence/absence,Grub presence/absence,Checked?,Ordered Entered,Notes
25_D_1181,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,14,1,0,0,0,1,3,0,YES,YES,Y,294,
25_D_1182,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,293,
25_D_1183,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,17,2,0,0,0,0,0,0,NO,NO,Y,380,
25_D_1184,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,308,
25_D_1185,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,2,0,0,0,0,0,0,NO,NO,Y,51,
25_D_1186,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,5,0,0,0,0,0,0,NO,NO,Y,50,
25_D_1187,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,49,
25_D_1188,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,1,0,YES,NO,Y,365,
25_D_1189,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,382,
25_D_1190,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,16,0,0,0,0,0,2,0,NO,NO,Y,383,wireworms not circled on sheet
25_D_1191,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,1,0,1,0,0,0,0,NO,NO,Y,381,
25_D_1192,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,54,
25_D_1193,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,YES,Y,53,
25_D_1194,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,16,0,0,0,1,0,0,0,NO,NO,Y,385,
25_D_1195,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,384,
25_D_1196,DELI,R,CER_DEL_1,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,307,
25_D_1197,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,YES,Y,305,
25_D_1198,DELI,R,CER_DEL_1,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,YES,Y,306,
25_D_1199,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,10,1,0,0,0,0,0,0,NO,NO,Y,290,
25_D_1200,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,289,
25_D_1201,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,388,
25_D_1202,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,14,0,0,0,0,0,0,0,NO,NO,Y,387,
25_D_1203,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,59,
25_D_1204,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,1,0,0,0,0,0,0,NO,YES,Y,58,
25_D_1205,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,57,
25_D_1206,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,56,
25_D_1207,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,2,2,YES,NO,Y,63,
25_D_1208,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,17,0,0,0,0,0,0,0,NO,NO,Y,386,
25_D_1209,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,379,
25_D_1210,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,1,0,0,0,0,0,0,NO,NO,Y,378,
25_D_1211,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,1,0,0,0,0,1,0,YES,NO,Y,377,
25_D_1212,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,376,
25_D_1213,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,2,0,1,0,0,1,0,YES,NO,Y,375,
25_D_1214,DELI,R,CER_DEL_2,FUNG,5/28/25,FIELD CORN,16,3,0,1,0,0,0,0,NO,NO,Y,374,
25_D_1215,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,0,0,0,0,0,0,0,NO,NO,Y,508,
25_D_1216,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,15,1,0,0,0,0,0,0,NO,YES,Y,373,
25_D_1447,DELI,R,CHO_GEN,NEONIC,6/6/25,SOY,15,0,0,0,0,0,0,0,NO,NO,Y,209,
