Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Section number,Plant growth stage,Number of plants,Total weight (g),Notes,Untared weight (g)
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,1,V4,15,865.7,Corrected for 42.3 g bag,908
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,2,V4,15,578.7,Corrected for 42.3 g bag,621
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,3,V4,15,658.7,Corrected for 42.3 g bag,701
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,4,V4,15,818.7,Corrected for 42.3 g bag,861
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,5,V4,15,776.7,Corrected for 42.3 g bag,819
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,6,V4,15,629.7,Corrected for 42.3 g bag,672
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,7,V4,15,794.7,Corrected for 42.3 g bag,837
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,8,V4,15,779.7,Corrected for 42.3 g bag,822
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Neonic,9,V4,15,724.7,Corrected for 42.3 g bag,767
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,1,V4,15,765.7,Corrected for 42.3 g bag,808
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,2,V4,15,929.7,Corrected for 42.3 g bag,972
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,3,V4,15,986.7,Corrected for 42.3 g bag,1029
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,4,V4,15,667.7,Corrected for 42.3 g bag,710
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,5,V4,15,585.7,Corrected for 42.3 g bag,628
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,6,V4,15,776.7,Corrected for 42.3 g bag,819
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,7,V4,15,867.7,Corrected for 42.3 g bag,910
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,8,V4,15,807.7,Corrected for 42.3 g bag,850
Paul Cerosaletti,CER_DEL_1,6/26/25,V3/V4,Field corn,Fung,9,V4,15,801.7,Corrected for 42.3 g bag,844
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,1,V4,15,394.7,Corrected for 42.3 g bag,437
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,2,V4,15,441.7,Corrected for 42.3 g bag,484
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,3,V4,15,291.7,Corrected for 42.3 g bag,334
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,4,V4,15,381.7,Corrected for 42.3 g bag,424
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,5,V4,15,346.7,Corrected for 42.3 g bag,389
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,6,V4,15,416.7,Corrected for 42.3 g bag,459
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,7,V4,15,301.7,Corrected for 42.3 g bag,344
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,8,V4,15,608.7,Corrected for 42.3 g bag,651
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Neonic,9,V4,15,441.7,Corrected for 42.3 g bag,484
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,1,V4,15,416.7,Corrected for 42.3 g bag,459
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,2,V4,15,445.7,Corrected for 42.3 g bag,488
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,3,V4,15,595.7,Corrected for 42.3 g bag,638
Paul Cerosaletti,CER_DEL_2,6/26/25,V3/V4,Field corn,Fung,4,V4,15,559.7,Corrected for 42.3 g bag,602
