Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Section number,Plant number,Aphids,Presence/absence,Notes
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,1,1,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,1,2,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,1,3,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,1,4,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,1,5,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,2,1,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,2,2,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,2,3,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,2,4,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,2,5,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,3,1,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,3,2,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,3,3,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,3,4,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,3,5,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,4,1,0,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,4,2,0,No,
