Field ID,Longitude,Latitude,Elevation (ft),Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
MIL_ERIE,-78.9286,42.4823,892,1/1/25,31.7,40,48.3
MIL_ERIE,-78.9286,42.4823,892,1/2/25,30.3,33.2,36.2
MIL_ERIE,-78.9286,42.4823,892,1/3/25,25.9,28.9,32
MIL_ERIE,-78.9286,42.4823,892,1/4/25,19.7,24.5,29.2
MIL_ERIE,-78.9286,42.4823,892,1/5/25,18.4,21.8,25.2
MIL_ERIE,-78.9286,42.4823,892,1/6/25,18.5,22,25.5
MIL_ERIE,-78.9286,42.4823,892,1/7/25,15.7,19.7,23.6
MIL_ERIE,-78.9286,42.4823,892,1/8/25,14.6,19.8,25
MIL_ERIE,-78.9286,42.4823,892,1/9/25,13.1,16.3,19.4
MIL_ERIE,-78.9286,42.4823,892,1/10/25,12.5,16.2,19.9
MIL_ERIE,-78.9286,42.4823,892,1/11/25,14.8,21,27.2
MIL_ERIE,-78.9286,42.4823,892,1/12/25,18,24.2,30.4
MIL_ERIE,-78.9286,42.4823,892,1/13/25,23.9,29.2,34.5
MIL_ERIE,-78.9286,42.4823,892,1/14/25,15,22.7,30.5
MIL_ERIE,-78.9286,42.4823,892,1/15/25,13.3,17.8,22.3
MIL_ERIE,-78.9286,42.4823,892,1/16/25,12,18.2,24.4
MIL_ERIE,-78.9286,42.4823,892,1/17/25,14.2,23,31.9
MIL_ERIE,-78.9286,42.4823,892,1/18/25,27.2,33.1,39
MIL_ERIE,-78.9286,42.4823,892,1/19/25,15.1,26.3,37.5
MIL_ERIE,-78.9286,42.4823,892,1/20/25,9.9,16,22.1
MIL_ERIE,-78.9286,42.4823,892,1/21/25,-0.2,6.5,13.2
MIL_ERIE,-78.9286,42.4823,892,1/22/25,-5.9,3.1,12
MIL_ERIE,-78.9286,42.4823,892,1/23/25,-5.6,4.2,13.9
MIL_ERIE,-78.9286,42.4823,892,1/24/25,10,17.8,25.6
MIL_ERIE,-78.9286,42.4823,892,1/25/25,7.1,14.4,21.8
MIL_ERIE,-78.9286,42.4823,892,1/26/25,12.4,22.9,33.4
MIL_ERIE,-78.9286,42.4823,892,1/27/25,18.8,24.6,30.3
MIL_ERIE,-78.9286,42.4823,892,1/28/25,19.2,25.8,32.4
MIL_ERIE,-78.9286,42.4823,892,1/29/25,19,29.5,40
MIL_ERIE,-78.9286,42.4823,892,1/30/25,17.6,26.6,35.6
MIL_ERIE,-78.9286,42.4823,892,1/31/25,18.8,29.9,41.1
MIL_ERIE,-78.9286,42.4823,892,2/1/25,9.2,24.3,39.4
MIL_ERIE,-78.9286,42.4823,892,2/2/25,3.9,10.4,16.9
MIL_ERIE,-78.9286,42.4823,892,2/3/25,15.2,25.2,35.1
MIL_ERIE,-78.9286,42.4823,892,2/4/25,25.1,34.8,44.5
MIL_ERIE,-78.9286,42.4823,892,2/5/25,14.7,22.9,31
MIL_ERIE,-78.9286,42.4823,892,2/6/25,15.4,23.8,32.3
MIL_ERIE,-78.9286,42.4823,892,2/7/25,17.7,27.1,36.5
MIL_ERIE,-78.9286,42.4823,892,2/8/25,12.8,17.3,21.9
MIL_ERIE,-78.9286,42.4823,892,2/9/25,13.9,22.1,30.2
MIL_ERIE,-78.9286,42.4823,892,2/10/25,16.3,21.9,27.4
MIL_ERIE,-78.9286,42.4823,892,2/11/25,11.4,18.7,25.9
MIL_ERIE,-78.9286,42.4823,892,2/12/25,10,20.2,30.3
MIL_ERIE,-78.9286,42.4823,892,2/13/25,16.5,27.6,38.8
MIL_ERIE,-78.9286,42.4823,892,2/14/25,15.3,24.6,33.9
MIL_ERIE,-78.9286,42.4823,892,2/15/25,15,19.8,24.7
MIL_ERIE,-78.9286,42.4823,892,2/16/25,19.4,27.4,35.4
MIL_ERIE,-78.9286,42.4823,892,2/17/25,16.1,23.8,31.6
MIL_ERIE,-78.9286,42.4823,892,2/18/25,4.1,12.5,20.9
MIL_ERIE,-78.9286,42.4823,892,2/19/25,3.5,9.5,15.4
MIL_ERIE,-78.9286,42.4823,892,2/20/25,9.1,13.6,18.1
MIL_ERIE,-78.9286,42.4823,892,2/21/25,12.9,15.5,18.1
MIL_ERIE,-78.9286,42.4823,892,2/22/25,13.7,19.2,24.8
MIL_ERIE,-78.9286,42.4823,892,2/23/25,20.8,27,33.3
MIL_ERIE,-78.9286,42.4823,892,2/24/25,24.8,30.9,36.9
MIL_ERIE,-78.9286,42.4823,892,2/25/25,29.1,39.8,50.6
MIL_ERIE,-78.9286,42.4823,892,2/26/25,30,37.5,45.1
MIL_ERIE,-78.9286,42.4823,892,2/27/25,30.4,37.5,44.7
MIL_ERIE,-78.9286,42.4823,892,2/28/25,28.1,34.2,40.4
MIL_ERIE,-78.9286,42.4823,892,3/1/25,25,36.4,47.8
MIL_ERIE,-78.9286,42.4823,892,3/2/25,9.3,17.4,25.6
MIL_ERIE,-78.9286,42.4823,892,3/3/25,10.6,15.9,21.1
MIL_ERIE,-78.9286,42.4823,892,3/4/25,15.2,27.6,40.1
MIL_ERIE,-78.9286,42.4823,892,3/5/25,32.4,45.9,59.5
MIL_ERIE,-78.9286,42.4823,892,3/6/25,29.7,44.5,59.3
MIL_ERIE,-78.9286,42.4823,892,3/7/25,24.5,28.4,32.4
MIL_ERIE,-78.9286,42.4823,892,3/8/25,23,29.5,35.9
MIL_ERIE,-78.9286,42.4823,892,3/9/25,21.4,28.1,34.8
MIL_ERIE,-78.9286,42.4823,892,3/10/25,30.2,39,47.8
MIL_ERIE,-78.9286,42.4823,892,3/11/25,35.2,46.9,58.6
MIL_ERIE,-78.9286,42.4823,892,3/12/25,24.6,43.2,61.8
MIL_ERIE,-78.9286,42.4823,892,3/13/25,24.7,34.1,43.5
MIL_ERIE,-78.9286,42.4823,892,3/14/25,27.9,41.2,54.5
MIL_ERIE,-78.9286,42.4823,892,3/15/25,33.4,53.6,73.9
MIL_ERIE,-78.9286,42.4823,892,3/16/25,51.9,58.1,64.2
MIL_ERIE,-78.9286,42.4823,892,3/17/25,29,50.8,72.7
MIL_ERIE,-78.9286,42.4823,892,3/18/25,24.7,30.7,36.8
MIL_ERIE,-78.9286,42.4823,892,3/19/25,30.9,48.3,65.7
MIL_ERIE,-78.9286,42.4823,892,3/20/25,45.5,61.1,76.8
MIL_ERIE,-78.9286,42.4823,892,3/21/25,27.6,42.7,57.9
MIL_ERIE,-78.9286,42.4823,892,3/22/25,28.2,38.2,48.2
MIL_ERIE,-78.9286,42.4823,892,3/23/25,17.8,33.1,48.4
MIL_ERIE,-78.9286,42.4823,892,3/24/25,19.7,33.5,47.4
MIL_ERIE,-78.9286,42.4823,892,3/25/25,28.9,39.7,50.5
MIL_ERIE,-78.9286,42.4823,892,3/26/25,27.2,33,38.8
MIL_ERIE,-78.9286,42.4823,892,3/27/25,19.5,28.1,36.7
MIL_ERIE,-78.9286,42.4823,892,3/28/25,22.6,37.1,51.5
MIL_ERIE,-78.9286,42.4823,892,3/29/25,34.6,49.7,64.7
MIL_ERIE,-78.9286,42.4823,892,3/30/25,41.3,49.7,58.2
MIL_ERIE,-78.9286,42.4823,892,3/31/25,44.1,54.3,64.4
MIL_ERIE,-78.9286,42.4823,892,4/1/25,29.9,45.3,60.7
MIL_ERIE,-78.9286,42.4823,892,4/2/25,28.8,34.3,39.8
MIL_ERIE,-78.9286,42.4823,892,4/3/25,30.4,45.4,60.5
