Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Section number,Seeds present,Dead seeds,White grubs,Wireworm,Seedcorn maggot,Other damage,Notes
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,1,10,2,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,2,10,0,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,3,10,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,4,6,2,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,5,10,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,6,8,1,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,7,5,4,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,8,10,1,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Neonic,9,10,3,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,1,7,2,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,2,3,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,3,9,3,No,No,Yes,Fungal,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,4,10,4,No,No,Yes,Mites,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,5,9,0,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,6,10,2,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,7,6,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,8,6,2,No,No,No,Mites,
Chloe Yi-Luo Cho,CHO_GEN,6/9/2025,VE/V1,Soybean,Fung,9,7,1,No,No,Yes,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,1,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,2,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,3,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,4,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,5,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,6,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,7,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,8,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,9,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,1,0,0,No,No,No,Cutworm,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,2,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,3,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,4,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,5,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,6,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,7,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,8,0,0,No,No,No,No,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,9,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,1,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,2,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,3,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,4,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,5,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,6,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,7,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,8,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Neonic,9,0,0,No,No,No,Bird,Heavily rocky area with immense bird pressure
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,1,0,0,No,No,No,Bird,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,2,2,0,No,No,No,No,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,3,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,4,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,5,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,6,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,7,0,0,No,No,No,Bird,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,8,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/18/2025,VE/V1,Field corn,Fung,9,0,0,No,Yes,No,Bird,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,1,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,2,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,3,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,4,0,0,No,No,No,Bird,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,5,0,0,No,No,No,Bird,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,6,0,0,No,No,No,Bird,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,7,0,0,No,No,No,No,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,8,0,0,No,No,No,Bird,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,9,0,0,No,No,No,Bird,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,1,0,0,No,No,No,No,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,2,0,0,No,No,No,Bird,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,3,0,0,No,No,No,Bird,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,4,0,0,No,No,No,No,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,5,0,0,No,No,No,No,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,6,0,0,No,No,No,No,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,7,0,0,No,No,No,No,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,8,0,0,No,No,No,No,"6/22 - Storm and high winds, underwater"
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Fung,9,0,0,No,No,No,No,"6/22 - Storm and high winds, underwater"
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,1,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,2,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,3,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,4,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,5,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,6,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,7,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,8,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Neonic,9,0,0,No,No,No,No,
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,1,0,0,No,No,No,No,No stand loss
Katelyn Miller,MIL_COB,5/23/2025,VE/V1,Soybean,Fung,2,0,0,Yes,No,No,No,Seeds missing
