,Name,Data Collector,Site ID,Crop,Planting Date,Lat,Long,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Corn_Prop,Soybean_Prop,Forest_Prop
0,CER_DEL_1,Paul Cerosaletti,CER_DEL_1,Field Corn,5/20/25,42.2073,-74.968,431,0,60,0,0,0,0,0,5,315,599,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,13,315,297,51,17,1,1554,60,356,12,2059,144,17,0,0,0,0,4,0,0,6287.2393,819,0.13026385,2144,0.341008175,2059,0.327488728,0.06855155,0.009543139,0.313333071
1,CER_DEL_2,Paul Cerosaletti,CER_DEL_2,Field Corn,5/20/25,42.1954,-74.9876,219,0,47,5,0,0,1,1,2,155,672,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,351,235,76,7,6,1641,228,778,10,1736,125,6,0,0,0,0,0,0,0,6288.2078,431,0.068540992,2794,0.444323739,1736,0.276072302,0.034827093,0.007474308,0.420946649
2,CHO_GEN,Mike Hunter/Chloe,CHO_GEN,Soybean,5/27/25,42.8754,-77.0281,856,0,682,3,0,0,379,4,8,706,222,3,0,6,0,0,4,0,4,0,1,0,6,0,17,36,8,0,0,21,181,122,29,0,0,884,13,148,0,1210,904,1,0,0,0,0,0,0,2,6425.8473,2719,0.42313486,1950,0.303461926,1210,0.188302016,0.133212005,0.106133863,0.162624468
3,DEG_DIE,Janice Degni,DEG_DIE,Field Corn,6/4/25,42.6062,-76.15,1027,0,27,0,0,0,77,31,18,899,407,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,35,366,715,231,48,5,933,99,238,8,1069,131,18,0,0,0,0,0,11,0,6367.4562,2094,0.328859742,1432,0.224893577,1069,0.16788494,0.161288899,0.004240312,0.199451706
4,DEG_FOU,Janice Degni,DEG_FOU,Field Corn,6/3/25,42.5872,-76.2765,2071,0,73,0,0,2,217,0,1,414,801,6,0,2,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,332,206,38,4,0,1310,48,98,5,714,41,3,0,1,0,0,0,0,0,6362.3107,2794,0.439148626,1505,0.236549278,714,0.112223378,0.325510667,0.011473819,0.228847673
5,DEG_FRI_1,Janice Degni,DEG_FRI_1,Field Corn,5/22/25,42.1262,-76.4336,175,0,106,0,0,0,23,10,0,77,187,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,8,348,72,2,2,0,1450,289,2293,15,1114,80,29,4,0,0,0,0,0,0,6272.6926,398,0.063449626,4156,0.662554387,1114,0.177595185,0.027898705,0.016898644,0.642786162
6,DEG_FRI_2,Janice Degni,DEG_FRI_2,Soybean,5/15/25,42.1256,-76.4346,175,0,106,0,0,0,23,10,0,73,175,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,5,344,72,2,2,0,1525,278,2368,19,996,74,29,4,0,0,0,0,0,0,6268.691,394,0.062852037,4293,0.684831969,996,0.158884845,0.027916514,0.016909431,0.665370171
7,DEG_LAF_1,Janice Degni,DEG_LAF_1,Field Corn,6/4/25,42.6514,-76.4738,772,0,222,3,1,2,289,5,20,1062,389,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,5,0,0,1,227,139,29,8,0,1979,20,120,2,874,215,6,5,0,0,0,0,7,0,6374.1776,2395,0.375734746,2342,0.367419948,874,0.137115728,0.121113663,0.034828022,0.332435042
8,DEG_LAF_2,Janice Degni,DEG_LAF_2,Soybean,5/28/25,42.6789,-76.4626,928,1,406,0,0,0,244,1,9,1487,294,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,138,102,26,1,0,2144,5,8,2,586,27,4,0,0,0,0,0,0,0,6384.2163,3081,0.482596431,2190,0.34303349,586,0.09178887,0.145358484,0.063594337,0.337864492
9,DEG_PER_1,Janice Degni,DEG_PER_1,Field Corn,5/20/25,42.7274,-76.252,1181,0,322,0,0,0,0,0,2,240,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,442,232,26,2,0,2460,40,232,13,757,79,7,0,0,0,0,0,0,0,6391.4754,1745,0.273019904,2831,0.442933724,757,0.118439007,0.184777368,0.050379604,0.427444343
10,DEG_PER_2,Janice Degni,DEG_PER_2,Soybean,5/12/25,42.6728,-76.2223,1238,1,287,0,0,0,329,9,6,586,426,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,366,204,26,1,0,1049,156,281,4,1193,230,8,0,0,0,0,0,1,0,6378.4505,2466,0.386614273,1728,0.270912191,1193,0.187036021,0.194091026,0.044995254,0.232971942
11,DEG_VIL,Janice Degni,DEG_VIL,Field Corn,5/12/25,42.6954,-76.1717,1194,0,61,6,2,0,4,0,135,309,200,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,0,0,210,228,191,61,2,2,2009,93,415,16,1069,187,12,0,0,0,3,0,0,0,6386.5237,1723,0.269786833,2734,0.428088915,1069,0.167383705,0.186956168,0.009551362,0.394111119
12,HUN_REE,Mike Hunter,HUN_REE,Soybean,6/4/25,43.8987,-76.0152,1015,2,918,0,34,1,96,2,9,905,1177,0,0,0,0,0,0,0,2,0,0,0,12,3,0,0,0,0,0,0,92,93,35,9,0,1055,43,31,37,792,258,58,1,0,0,0,0,0,0,6647.8835,2988,0.44946636,1482,0.222928094,792,0.119135662,0.152680173,0.138089062,0.169828488
13,KUH_COL,Michaela Kuhn,KUH_COL,Field Corn,6/5/25,43.2865,-75.5186,1565,0,127,2,0,0,10,0,26,634,299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,128,19,0,3,1688,275,46,29,913,276,1,0,0,0,0,0,0,0,6510.7679,2365,0.363244403,2318,0.356025593,913,0.140229235,0.240371032,0.019506148,0.308565753
14,LET_MAC,Jodi Letham,LET_MAC,Field Corn,6/17/25,42.8608,-78.2529,1991,0,67,0,0,0,53,0,2,1809,70,0,4,60,4,0,17,2,23,0,1,6,0,0,3,0,0,0,0,0,428,247,188,58,5,651,4,33,3,578,133,7,9,0,0,0,0,0,0,6420.6079,4051,0.630937142,836,0.13020574,578,0.090022629,0.310095248,0.010435149,0.107154963
15,LET_STE_1,Jodi Letham,LET_STE_1,Field Corn,6/8/25,43.0255,-77.8821,2722,2,338,0,0,0,541,0,2,836,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271,189,142,0,3,366,0,8,0,523,339,1,0,0,0,182,0,0,0,6457.1434,4633,0.71749994,717,0.111039814,523,0.080995568,0.421548637,0.052345128,0.057920349
16,LET_STE_2,Jodi Letham,LET_STE_2,Field Corn,6/8/25,43.0255,-77.8844,2622,2,340,0,0,0,519,0,2,960,26,0,0,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,274,192,151,0,3,295,0,5,0,572,289,7,0,0,0,184,0,0,1,6453.1411,4674,0.724298435,599,0.092823013,572,0.088639004,0.406313756,0.05268752,0.046488988
17,LET_VER,Jodi Letham,LET_VER,Field Corn,5/15/25,43.2147,-78.5547,1319,4,428,7,0,0,48,0,5,2117,111,0,0,35,0,0,0,1,14,0,2,0,26,0,163,10,2,0,0,4,235,94,24,6,8,894,5,114,1,528,313,8,0,0,0,0,0,0,0,6490.66,4155,0.640150616,1343,0.206912702,528,0.08134766,0.203215081,0.065940906,0.156070415
18,LET_WAT,Jodi Letham,LET_WAT,Field Corn,6/12/25,42.943,-77.706,1377,0,285,5,0,0,430,0,8,1987,78,0,0,37,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,309,183,53,0,1,556,1,73,5,913,153,4,5,0,0,1,0,0,0,6435.237,4136,0.642711372,793,0.123227785,913,0.141875117,0.213978133,0.044287413,0.097898492
19,MIL_BAR_1,Katelyn Miller,MIL_BAR_1,Soybean,5/30/25,42.05,-77.1375,944,0,141,3,0,0,12,0,1,58,156,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16,1,0,0,263,327,195,166,12,7,1432,49,1392,1,1007,78,20,3,0,0,0,0,0,0,6254.9125,1185,0.189451091,2979,0.476265655,1007,0.160993459,0.150921376,0.022542282,0.459318975
20,MIL_BAR_2,Katelyn Miller,MIL_BAR_2,Soybean,6/19/25,42.0519,-77.0617,11,0,3,0,0,0,0,0,0,32,611,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,303,44,20,10,2,1337,153,1288,0,2384,15,15,0,0,0,0,0,0,0,6254.9902,47,0.007514001,2810,0.449241311,2384,0.381135689,0.001758596,0.000479617,0.444125396
21,MIL_COB,Katelyn Miller,MIL_COB,Soybean,5/8/25,42.4614,-78.7122,451,2,433,0,0,0,2,0,19,46,447,0,0,192,169,0,0,0,10,0,10,0,6,0,0,10,0,0,0,7,187,84,23,0,2,1168,989,1311,0,728,68,9,0,0,0,0,0,0,0,6336.7492,1344,0.212096133,3547,0.559750731,728,0.114885405,0.07117214,0.068331567,0.547283771
22,MIL_CRO_1,Katelyn Miller,MIL_CRO_1,Field Corn,6/4/25,42.3617,-79.1719,2088,0,240,0,0,0,45,0,75,75,842,0,0,22,0,0,0,0,0,0,2,0,1,0,0,7,2,0,0,0,230,108,44,8,0,1022,267,655,0,497,121,1,2,0,0,0,0,0,0,6317.1898,2558,0.404926887,2066,0.327044155,497,0.078674223,0.330526716,0.037991577,0.30773177
23,MIL_CRO_2,Katelyn Miller,MIL_CRO_2,Field Corn,6/4/25,42.3747,-79.1458,863,0,114,0,2,0,32,0,96,31,1074,0,0,5,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,255,80,41,4,0,1909,77,730,2,738,277,0,7,0,0,0,0,0,0,6313.2289,1160,0.18374116,2995,0.474400667,738,0.116897393,0.136697087,0.018057321,0.43020775
24,MIL_TEL,Katelyn Miller,MIL_TEL,Field Corn,6/11/25,42.3294,-78.7161,466,0,123,0,0,0,9,1,21,217,941,0,0,12,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,256,40,35,15,0,2131,186,1178,0,699,9,0,0,0,0,2,0,0,0,6310.6133,855,0.135486039,3504,0.555255065,699,0.110765779,0.073843853,0.019490974,0.553828896
