Container Number,Container Type,Project,Field ID,Treatment,Collection Date,Seed Type,Number Seeds,SCM Larvae Sum,SCM Pupae Sum,Phorid Seed,Other Damage,Wireworms,Other Seeds,Wireworm Presence/absence,Grub prsence/absence,Checked?,Ordered Entered,Notes
25_D_1592,DELI,R,MIL_ZIT_2,FUNG,6/10/25,FIELD CORN,7,0,0,0,0,0,0,NO,NO,Y,454,
25_D_1596,DELI,R,MIL_ZIT_2,FUNG,6/10/25,FIELD CORN,8,0,0,0,0,0,0,NO,NO,Y,450,
25_D_1638,DELI,R,DEG_FOU,NEONIC,6/10/25,FIELD CORN,8,0,0,0,0,0,0,NO,YES,Y,444,
25_D_1115,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,10,0,0,0,0,0,0,NO,YES,Y,47,
25_D_1199,DELI,R,CER_DEL_2,NEONIC,5/28/25,FIELD CORN,10,1,0,0,0,0,0,NO,NO,Y,290,
25_D_1605,DELI,R,MIL_ZIT_2,FUNG,6/10/25,FIELD CORN,10,0,0,0,0,0,0,NO,NO,Y,475,
25_D_1406,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,11,0,0,0,0,0,0,YES,NO,Y,161,
25_D_1046,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,12,0,0,0,0,0,0,NO,NO,Y,641,
25_D_1436,DELI,R,DEG_PER_1,FUNG,6/6/25,FIELD CORN,12,0,0,0,0,1,0,YES,NO,Y,179,
25_D_1627,DELI,R,DEG_DIE,NEONIC,6/12/25,FIELD CORN,12,0,0,0,0,3,0,YES,NO,Y,456,
25_D_1025,DELI,R,DEG_PER_2,FUNG,5/19/25,SOY,13,6,0,0,0,0,0,YES,NO,Y,261,
25_D_1028,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,13,1,0,0,0,0,0,NO,NO,Y,659,
25_D_1031,DELI,R,DEG_VIL,FUNG,5/20/25,FIELD CORN,13,0,0,0,0,0,0,NO,NO,Y,642,
25_D_1040,DELI,R,DEG_VIL,NEONIC,5/21/25,FIELD CORN,13,0,0,0,0,0,0,NO,NO,Y,259,
25_D_1077,DELI,R,SMI_DOU,NEONIC,5/20/25,SOY,13,0,1,0,3,1,3,YES,NO,Y,257,
25_D_1110,DELI,R,SMI_ARN_1,NEONIC,5/21/25,FIELD CORN,13,0,0,0,0,0,0,NO,NO,Y,48,
25_D_1121,DELI,R,SMI_ARN_1,FUNG,5/21/25,FIELD CORN,13,0,0,0,0,0,0,NO,NO,Y,253,
25_D_1132,DELI,R,DEG_FRI_2,NEONIC,5/23/25,SOY,13,0,0,0,0,0,0,NO,NO,Y,510,
25_D_1142,DELI,R,DEG_FRI_2,FUNG,5/23/25,SOY,13,0,0,0,0,0,0,NO,NO,Y,37,
25_D_1152,DELI,R,STA_WOO,NEONIC,5/23/25,FIELD CORN,13,0,0,0,0,0,0,NO,NO,Y,62,
25_D_1376,DELI,R,SMI_ARN_2_F,FUNG,6/3/25,SOY,13,0,0,0,2,0,2,NO,NO,Y,89,
25_D_1394,DELI,R,DEG_FRI_1,FUNG,6/6/25,FIELD CORN,13,0,0,0,0,0,0,YES,NO,Y,162,
25_D_1476,DELI,R,STA_REE_2,NEONIC,6/4/25,SOY,13,0,0,0,0,0,0,NO,NO,Y,236,
25_D_1486,DELI,R,CHO_GEN,FUNG,6/6/25,SOY,13,0,0,0,0,0,0,NO,NO,Y,228,
25_D_1500,DELI,R,MIL_BAR_1,NEONIC,6/6/25,SOY,13,0,0,0,0,0,0,NO,NO,Y,243,
