Data Collector,Field ID,Date,Sampling period,Crop,Treatment,Section number,Plant growth stage,Number of plants,Total weight (g),Notes,Untared weight (g)
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,1,V3,15,79.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,2,V3,15,73.8,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,3,V3,15,73.4,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,4,V3,15,78.6,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,5,V3,15,97.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,6,V3,15,82.3,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,7,V3,15,91.3,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,8,V3,15,73.4,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Neonic,9,V3,15,89.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,1,V3,15,80.2,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,2,V3,15,88.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,3,V3,15,79.2,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,4,V3,15,102.7,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,5,V3,15,112.5,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,6,V3,15,110.5,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,7,V3,15,92.8,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,8,V3,15,91.2,,
Chloe Yi-Luo Cho,CHO_GEN,6/27/2025,V3/V4,Soybean,Fung,9,V3,15,86.8,,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,1,V4,15,70.9,,
Natika Walters,KUH_COL,6/24/2025,V3/V4,Field corn,Neonic,2,V4,15,93.6,,
