Data Collector,Field ID,Date,Sampling period,Treatment,Section,Number of Pods,Total weight (kg),Number of Plants,Notes
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Neonic,1,856,1.4,110,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Neonic,2,783,1.5,115,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Neonic,3,896,1.76,114,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Neonic,4,907,1.86,96,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Neonic,5,644,0.94,106,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Neonic,6,483,0.94,104,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Fung,1,416,1.04,43,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Fung,2,661,1.42,69,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Fung,3,441,0.64,59,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Fung,4,370,0.75,61,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Fung,5,655,1.56,69,
Marion Zuefle,ZUE_MYT,8/12/2025,Harvest,Fung,6,500,1.1,68,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Neonic,1,772,0.93,110,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Neonic,2,1231,1.74,121,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Neonic,3,834,1.09,112,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Neonic,4,1362,2.02,124,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Neonic,5,641,0.62,112,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Neonic,6,615,0.82,111,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Fung,1,2074,3.34,134,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Fung,2,1759,3.36,117,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Fung,3,1558,2.74,105,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Fung,4,1657,3.14,108,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Fung,5,2028,3.86,128,
Marion Zuefle,ZUE_VOT,8/14/2025,Harvest,Fung,6,1648,3.34,114,
