Data Collector,Field ID,Date,Sampling period,Treatment,Section,Ears,Total weight (kg),Number of Plants,Notes
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Neonic,1,19,9.98,27,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Neonic,2,16,6.18,18,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Neonic,3,16,7.32,15,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Neonic,4,21,9.64,19,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Neonic,5,18,8.1,20,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Neonic,6,19,8.34,18,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Fung,1,22,7.28,22,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Fung,2,21,7.56,24,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Fung,3,18,5.72,21,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Fung,4,18,5.46,21,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Fung,5,23,7.72,23,
Julie Kikkert,KIK_MYT,8/26/2025,Harvest,Fung,6,22,6.58,22,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Neonic,1,20,7.16,20,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Neonic,2,19,8.9,23,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Neonic,3,18,6.34,22,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Neonic,4,13,6.14,18,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Neonic,5,20,7.02,20,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Neonic,6,20,8.04,21,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Fung,1,16,6.42,18,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Fung,2,18,7.5,21,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Fung,3,20,7.78,20,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Fung,4,18,7.18,23,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Fung,5,17,6.46,20,
Julie Kikkert,KIK_MBF,8/26/2025,Harvest,Fung,6,19,6.06,24,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Neonic,1,20,8.36,21,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Neonic,2,17,7.06,17,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Neonic,3,14,6.1,14,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Neonic,4,14,6.34,15,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Neonic,5,18,8.18,18,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Neonic,6,16,7.72,19,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Fung,1,18,7.28,18,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Fung,2,20,8.78,20,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Fung,3,19,8.02,19,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Fung,4,18,7.78,16,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Fung,5,17,6.84,17,
Julie Kikkert,KIK_HAR,9/9/2025,Harvest,Fung,6,16,5.74,19,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Neonic,1,22,8.24,22,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Neonic,2,22,7.94,22,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Neonic,3,22,8.36,21,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Neonic,4,20,7.7,22,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Neonic,5,21,8.68,21,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Neonic,6,19,8.6,20,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Fung,1,18,7.18,19,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Fung,2,16,6.24,17,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Fung,3,21,7.62,21,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Fung,4,18,7.58,19,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Fung,5,20,7.96,20,
Julie Kikkert,KIK_SWE,9/9/2025,Harvest,Fung,6,22,9.82,21,
