Latitude,Longitude,Site ID,SAMPLE_1
42.207278,-74.968,CER_DEL_1,"8"
42.195417,-74.987639,CER_DEL_2,"8"
42.875361,-77.028139,CHO_GEN,"2"
42.606212,-76.150033,DEG_DIE,"8"
42.587209,-76.276495,DEG_FOU,"8"
42.12625,-76.433639,DEG_FRI_1,"3"
42.125556,-76.434583,DEG_FRI_2,"3"
42.651417,-76.473778,DEG_LAF_1,"2"
42.678944,-76.462611,DEG_LAF_2,"2"
42.727444,-76.252028,DEG_PER_1,"8"
42.672806,-76.222333,DEG_PER_2,"2"
42.695361,-76.171722,DEG_VIL,"8"
43.898667,-76.01525,HUN_REE,"2"
42.93389,-77.96979,KIK_HAR,"2"
42.957669,-77.948278,KIK_MBF,"2"
42.974092,-78.184051,KIK_MYT,"8"
42.853652,-77.965313,KIK_SWE,"5"
43.286472,-75.518583,KUH_COL,"4"
42.86075,-78.252917,LET_MAC,"8"
43.02546,-77.882132,LET_STE_1,"2"
43.025487,-77.884436,LET_STE_2,"2"
43.214667,-78.554722,LET_VER,"2"
42.943028,-77.706028,LET_WAT,"8"
42.05,-77.137467,MIL_BAR_1,"8"
42.051944,-77.061667,MIL_BAR_2,"5"
42.4613889,-78.712222,MIL_COB,"8"
42.3616666,-79.17194,MIL_CRO_1,"2"
42.3747,-79.1458,MIL_CRO_2,"2"
42.329445,-78.716111,MIL_TEL,"8"
42.68861111,-78.80805556,MIL_ZIT_1,"5"
42.679722,-78.807222,MIL_ZIT_2,"5"
42.689111,-78.810278,MIL_ZIT_3,"5"
42.982978,-74.035696,SMI_ARN_1,"2"
42.970222,-74.025944,SMI_ARN_2,"2"
43.231444,-75.035444,SMI_BUR,"1"
42.663806,-74.515306,SMI_COB,"8"
42.826389,-74.5775,SMI_CON_1,"5"
42.839331,-74.613545,SMI_CON_2,"2"
43.053024,-74.835235,SMI_DOU,"8"
42.344444,-75.713333,SMI_HOF_1,"8"
42.751,-74.570972,SMI_HOF_2,"8"
42.709361,-75.568417,SMI_LAT,"8"
43.115278,-74.842194,SMI_MCC,"8"
42.892139,-77.571167,STA_BLO,"2"
42.806861,-76.816667,STA_FRE,"2"
43.049389,-77.566556,STA_KRE,"7"
42.764167,-77.735778,STA_MAC,"2"
42.728222,-77.041361,STA_MAR,"2"
43.129694,-76.779167,STA_REE_1,"2"
43.096972,-76.786833,STA_REE_2,"7"
43.123861,-78.214778,STA_STA,"7"
43.064667,-76.825444,STA_WIL,"5"
43.312722,-78.365833,STA_WOO,"2"
43.019944,-78.189806,ZUE_MYT,"2"
42.625784,-77.558704,ZUE_VOT,"2"
