Raw File Name,Batch ID,Sample_ID 1,Sample #,Site,Date of Collection,Pesticide Treatment,Weight (g),Acephate,Dinotefuran,Aldicarb sulfone,"2,4-Dimethylaniline",Thiabendazole,Nitenpyram,"N'-(2,4-Dimethylphenyl)-N-methylformamidine",Flonicamid,Thiamethoxam,Clothianidin,Mevinphos,Imidacloprid,Acetamiprid,Flupyradifurone,Thiacloprid,Aldicarb,Sulfoxaflor,Tebuthiuron,Prometon,Cyanazine,Thiophanate-methyl,Ametryn,Bendiocarb,Malaoxon,Carbofuran,4-Hydroxy-chlorothalonil,Carbaryl,Pyrimethanil,Fluometuron,Atrazine,Sulfentrazone,Diuron,Metalaxyl,Cyantraniliprole,Prometryn,Metazachlor,Terbutryn,Clomazone,Propazine,Chlorantraniliprole,Coumaphos oxon,Methiocarb,Azinphos methyl,Fludioxonil,Spirotetramat,Cyprodinil,Phosmet,Bromuconazole,Azoxystrobin,Myclobutanil,Fenamidone,Triadimefon,Fluxapyroxad,Boscalid,Mandipropamid,Fenhexamid,Napropamide,Fluopicolide,Tetraconazole,Tebuconazole,Fluopyram,Methoxyfenozide,Diflubenzuron,Fenbuconazole,Malathion,Spinosyn A,Metolachlor,Metconazole,Dimoxystrobin,Fluoxastrobin,Propiconazole,Tebufenozide,Fipronil,Triflumizole,Difenoconazole,Picoxystrobin,Spinetoram,Penthiopyrad,Diazinon,Coumaphos,Pyraclostrobin,Thiobencarb,Fipronil sulfide,Chlorpyrifos methyl,Cyflufenamid,Profenophos,(S)-Indoxacarb,Trifloxystrobin,Piperonyl butoxide,Tetramethrin,Fluazinam,Pyriproxyfen,Pendimethalin,Chlorpyrifos,(E)-Fenpyroximate,Avermectin B1a
2026-03-20_P136_SP_022,"Soil, P136-RA1",1,RA1,CHO_GEN,6/6/25,Neonicotinoid,10.33,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,6.16,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.63,n.d.,n.d.,0.62,n.d.,n.d.,0.23,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.58,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,6.80,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.50,n.d.,n.d.,n.d.
2026-03-20_P136_SP_023,"Soil, P136-RA2",2,RA2,CHO_GEN,6/6/25,Fungicide,10.26,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.35,1.97,n.d.,25.76,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,3.89,n.d.,n.d.,2.97,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,15.59,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.30,n.d.,n.d.,n.d.,n.d.,n.d.,4.73,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.80,n.d.,n.d.,n.d.
2026-03-20_P136_SP_024,"Soil, P136-RA3",3,RA3,CHO_GEN,11/3/25,Neonicotinoid,10.19,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.79,1.78,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.46,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,16.97,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.92,n.d.,n.d.,n.d.
2026-03-20_P136_SP_025,"Soil, P136-RA4",4,RA4,CHO_GEN,11/3/25,Fungicide,10.26,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.82,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13.38,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.23,n.d.,n.d.,n.d.,n.d.,n.d.,31.13,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.42,n.d.,n.d.,n.d.
2026-03-20_P136_SP_026,"Soil, P136-RA5",5,RA5,DEG_DIE,6/12/25,Neonicotinoid,10.23,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.27,5.85,n.d.,1.75,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.05,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,13.38,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,11.10,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.51,n.d.,n.d.,n.d.
2026-03-20_P136_SP_027,"Soil, P136-RA6",6,RA6,DEG_DIE,6/12/25,Fungicide,10.13,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.69,6.47,n.d.,2.34,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.86,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,15.07,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,9.88,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.78,n.d.,n.d.,n.d.
2026-03-20_P136_SP_028,"Soil, P136-RA7",7,RA7,DEG_DIE,10/13/25,Neonicotinoid,10.21,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.43,7.93,n.d.,2.69,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.88,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,9.92,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,46.92,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.24,n.d.,n.d.,n.d.
2026-03-20_P136_SP_029,"Soil, P136-RA8",8,RA8,DEG_DIE,10/13/25,Fungicide,10.09,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.43,9.51,n.d.,2.54,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.27,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,11.34,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,42.10,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.64,n.d.,n.d.,n.d.
2026-03-20_P136_SP_030,"Soil, P136-RA9",9,RA9,DEG_FRI_1,6/3/25,Neonicotinoid,10.19,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.88,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.83,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.68,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.04,n.d.,n.d.,n.d.
2026-03-20_P136_SP_031,"Soil, P136-RA10",10,RA10,DEG_FRI_1,6/3/25,Fungicide,10.23,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.65,n.d.,<LOQ,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.66,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.32,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.69,n.d.,n.d.,n.d.
