Number,Sample ID,Ammonium,Nitrate + Nitrite
1,25_SN_1008 ,77.1,2.0
2,25_SN_1009,99.1,5.4
3,25_SN_1010 ,60.0,3.1
4,25_SN_1011 ,23.4,1.7
5,25_SN_1012 ,39.4,1.4
6,25_SN_1013,36.8,6.8
7,25_SN_1014 ,26.3,2.4
8,25_SN_1015,26.1,1.6
9,25_SN_1029,39.9,3.6
10,25_SN_1030,35.0,4.9
11,25_SN_1031,19.9,1.2
12,25_SN_1032,16.4,1.1
13,25_SN_1033,43.4,3.8
14,25_SN_1034,39.5,1.8
15,25_SN_1035,54.6,2.8
16,25_SN_1036,63.3,2.0
17,25_SN_1037,45.0,6.3
18,25_SN_1038,31.6,3.2
19,25_SN_1039,19.4,4.9
20,25_SN_1040,22.2,4.1
21,25_SN_1041,22.1,5.3
22,25_SN_1042,18.5,2.4
23,25_SN_1043,17.3,2.6
24,25_SN_1044,15.6,2.3
25,25_SN_1045,15.9,2.1
26,25_SN_1046,16.4,2.2
27,25_SN_1047,17.0,2.1
28,25_SN_1048,30.7,4.2
29,25_SN_1049,25.2,3.5
30,25_SN_1050,21.2,3.4
31,25_SN_1051,19.1,3.1
32,25_SN_1052,66.0,4.5
33,25_SN_1053,77.1,5.0
34,25_SN_1054,36.2,3.4
35,25_SN_1055,33.1,5.4
36,25_SN_1056,35.1,11.7
37,25_SN_1057,44.3,7.6
38,25_SN_1058,26.9,8.0
39,25_SN_1059,37.2,7.3
40,25_SN_1060,10.6,5.2
81,25_SN_1117,144.3,3.5
82,25_SN_1118,77.5,16.5
83,25_SN_1119,89.5,11.2
84,25_SN_1120,128.1,1.3
85,25_SN_1121,113.0,1.3
86,25_SN_1122,91.0,1.5
87,25_SN_1123,138.9,4.5
88,25_SN_1124,17.1,12.3
89,25_SN_1125,9.6,9.1
90,25_SN_1126,57.9,14.3
91,25_SN_1127,54.0,11.3
92,25_SN_1128,34.7,1.1
93,25_SN_1129,26.2,1.1
94,25_SN_1130,86.8,1.8
95,25_SN_1131,36.2,6.1
96,25_SN_1132,76.5,23.4
97,25_SN_1133,59.5,7.4
98,25_SN_1134,12.9,1.8
99,25_SN_1135,10.0,1.9
100,25_SN_1136,78.1,3.5
101,25_SN_1137,49.6,3.3
102,25_SN_1138,73.0,6.5
103,25_SN_1139,94.2,0.8
104,25_SN_1140,37.0,5.4
105,25_SN_1141,23.5,7.2
106,25_SN_1142,34.8,17.5
107,25_SN_1143,16.0,8.3
108,25_SN_1144,16.2,0.6
109,25_SN_1145,16.9,1.5
110,25_SN_1146,23.8,4.5
111,25_SN_1147,24.3,3.2
112,25_SN_1212,34.4,7.8
113,25_SN_1213,30.5,10.6
114,25_SN_1214,63.4,26.3
115,25_SN_1215,59.9,7.2
116,25_SN_1216,31.4,34.0
117,25_SN_1217,24.4,1.5
118,25_SN_1218,18.6,7.8
119,25_SN_1219,21.8,10.2
120,25_SN_1220,18.2,2.9
161,25_SN_1380,34.8,0.9
162,25_SN_1381,13.2,32.1
163,25_SN_1382,12.9,3.8
164,25_SN_1383,15.2,5.4
165,25_SN_1384,11.6,44.4
166,25_SN_1385,42.9,34.5
167,25_SN_1386,38.8,41.3
168,25_SN_1387,7.2,1.5
169,25_SN_1388,10.4,3.0
170,25_SN_1403,47.8,1.0
171,25_SN_1404,71.9,6.9
172,25_SN_1407,27.8,1.0
173,25_SN_1408,20.0,0.3
174,25_SN_1409,22.3,0.9
175,25_SN_1410,33.7,0.6
176,25_SN_1411,40.0,0.7
177,25_SN_1412,47.9,0.1
178,25_SN_1413,43.7,3.8
179,25_SN_1414,46.5,2.2
180,25_SN_1415,13.4,0.6
181,25_SN_1416,11.7,0.6
182,25_SN_1417,38.3,1.1
183,25_SN_1418,33.3,0.9
184,25_SN_1419,8.0,1.1
185,25_SN_1420,8.9,0.9
186,25_SN_1421,30.5,28.7
187,25_SN_1422,46.8,20.3
188,25_SN_1423,10.9,1.0
189,25_SN_1424,10.6,1.3
190,25_SN_1425,35.6,36.9
191,25_SN_1426,28.2,78.6
192,25_SN_1427,37.0,2.4
193,25_SN_1428,50.8,1.3
194,25_SN_1429,26.0,4.0
195,25_SN_1430,30.5,1.5
196,25_SN_1431,40.9,14.8
197,25_SN_1432,35.6,13.4
41,25_SN_1061,13.1,3.7
42,25_SN_1062,63.2,3.6
43,25_SN_1063,39.1,4.3
44,25_SN_1064,70.3,3.0
45,25_SN_1065,32.7,3.3
46,25_SN_1066,13.3,2.3
47,25_SN_1067,29.9,1.7
48,25_SN_1068,14.7,3.6
49,25_SN_1069,11.9,1.9
50,25_SN_1070,36.1,7.8
51,25_SN_1071,46.8,7.7
52,25_SN_1072,33.5,3.9
53,25_SN_1073,36.2,2.9
54,25_SN_1074,26.2,5.3
55,25_SN_1075,18.5,4.2
56,25_SN_1076,20.6,27.7
57,25_SN_1077,15.7,6.5
58,25_SN_1078,12.5,5.0
59,25_SN_1079,30.6,26.1
60,25_SN_1080,17.6,6.1
61,25_SN_1081,16.1,8.3
62,25_SN_1082,16.6,2.6
63,25_SN_1083,20.4,1.9
64,25_SN_1084,20.9,2.6
65,25_SN_1085,20.9,2.7
66,25_SN_1086,20.7,7.7
67,25_SN_1087,27.4,4.3
68,25_SN_1088,20.5,9.3
69,25_SN_1089,22.7,2.9
70,25_SN_1090,30.8,3.0
71,25_SN_1091,28.8,5.2
72,25_SN_1092,119.5,44.1
73,25_SN_1093,63.8,26.9
74,25_SN_1094,33.5,6.3
75,25_SN_1095,31.9,11.2
76,25_SN_1096,10.3,2.1
77,25_SN_1097,38.5,26.9
78,25_SN_1098,53.7,9.6
79,25_SN_1099,8.0,2.1
80,25_SN_1116,183.2,1.9
121,25_SN_1221,18.5,4.8
122,25_SN_1222,13.6,10.5
123,25_SN_1223,32.5,108.9
124,25_SN_1224,7.1,1.8
125,25_SN_1225,6.6,3.7
126,25_SN_1226,42.6,3.3
127,25_SN_1227,26.8,7.5
128,25_SN_1228,23.1,14.1
129,25_SN_1229,11.3,1.9
130,25_SN_1230,10.0,2.9
131,25_SN_1231,18.4,38.7
132,25_SN_1232,17.5,17.0
133,25_SN_1233,24.6,8.7
134,25_SN_1234,21.4,7.3
135,25_SN_1235,41.1,14.7
136,25_SN_1236,7.2,3.2
137,25_SN_1237,9.1,1.7
138,25_SN_1238,21.5,26.7
139,25_SN_1239,17.8,2.0
140,25_SN_1240,9.7,6.2
141,25_SN_1241,12.7,1.9
142,25_SN_1242,95.1,147.2
143,25_SN_1243,26.0,19.7
144,25_SN_1244,42.7,1.2
145,25_SN_1245,20.9,16.5
146,25_SN_1246,24.9,105.3
147,25_SN_1247,13.3,3.6
148,25_SN_1248,26.5,15.4
149,25_SN_1249,21.3,1.2
150,25_SN_1250,47.8,3.2
151,25_SN_1251,53.1,6.4
152,25_SN_1264,9.9,3.1
153,25_SN_1265,10.7,2.4
154,25_SN_1286,21.0,19.4
155,25_SN_1287,18.4,22.6
156,25_SN_1288,22.8,38.0
157,25_SN_1289,21.3,16.9
158,25_SN_1290,53.2,4.4
159,25_SN_1291,39.3,5.2
160,25_SN_1379,38.2,0.8
