Sample ID,Project,Site,Field ID,Collection Date,Treatment,Notes,Nitrogen Testing?,Sample dried? (Y/N),Sample ground? (Y/N),(Emily) SHIPPING ->,Sample sent for processing? (Y/N),Where samples were sent
25_SN_1058,R,,CER_DEL_1,5/20/25,F,,Y,Y,Y,,,
25_SN_1059,R,,CER_DEL_1,5/20/25,N,,Y,Y,Y,,,
25_SN_1417,R,,CER_DEL_1,12/1/25,NEONIC,,,,,,,
25_SN_1418,R,,CER_DEL_1,12/1/25,FUNG,,,,,,,
25_SN_1060,R,,CER_DEL_2,5/20/25,F,,Y,Y,Y,,,
25_SN_1061,R,,CER_DEL_2,5/20/25,N,,Y,Y,Y,,,
25_SN_1415,R,,CER_DEL_2,12/1/25,NEONIC,,,,,,,
25_SN_1416,R,,CER_DEL_2,12/1/25,FUNG,,,,,,,
25_SN_1264,R,,CHO_GEN,11/3/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1265,R,,CHO_GEN,11/3/25,FUNG,Harvest,Y,Y,,,,
25_SN_1047,R,,CHO_GEN,5/15/25,N,,Y,Y,Y,,,
25_SN_1046,R,,CHO_GEN,5/15/25,F,,Y,Y,Y,,,
25_SN_1262,R,,DEG_DIE,9/30/25,NEONIC,Harvest,N,Y,,,,
25_SN_1263,R,,DEG_DIE,9/30/25,FUNG,Harvest,N,Y,,,,
25_SN_1008,R,,DEG_DIE,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1010,R,,DEG_DIE,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1256,R,,DEG_FOU,10/9/25,NEONIC,Harvest,N,Y,,,,
25_SN_1257,R,,DEG_FOU,10/9/25,FUNG,Harvest,N,Y,,,,
25_SN_1009,R,,DEG_FOU,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1013,R,,DEG_FOU,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1375,R,,DEG_FRI_1,11/17/25,NEONIC,,,Y,,,,
25_SN_1376,R,,DEG_FRI_1,11/17/25,FUNG,,,Y,,,,
25_SN_1377,R,,DEG_FRI_2,11/17/25,NEONIC,,,Y,,,,
25_SN_1378,R,,DEG_FRI_2,11/17/25,FUNG,,,Y,,,,
25_SN_1030,R,,DEG_FRI,5/11/25,,,Y,Y,Y,,,
25_SN_1029,R,,DEG_FRI,5/11/25,,,Y,Y,Y,,,
25_SN_1038,R,,DEG_FRI,5/11/25,,,Y,Y,Y,,,
25_SN_1037,R,,DEG_FRI,5/11/25,,,Y,Y,Y,,,
25_SN_1405,R,,DEG_LAF_1,11/26/25,FUNG,,N,,,,,
25_SN_1406,R,,DEG_LAF_1,12/10/25,NEONIC,,N,,,,,
25_SN_1260,R,,DEG_LAF_2,10/9/25,NEONIC,Harvest,N,Y,,,,
25_SN_1261,R,,DEG_LAF_2,10/9/25,FUNG,Harvest,N,Y,,,,
25_SN_1014,R,,DEG_LAF_1,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1015,R,,DEG_LAF_1,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1012,R,,DEG_LAF_2,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1011,R,,DEG_LAF_2,4/28/25,,arrived frozen,Y,Y,Y,,N,
25_SN_1258,R,,DEG_PER_1,10/14/25,NEONIC,Harvest,N,Y,,,,
25_SN_1259,R,,DEG_PER_1,10/14/25,FUNG,Harvest,N,Y,,,,
25_SN_1252,R,,DEG_PER_2,10/9/25,NEONIC,Harvest,N,Y,,,,
25_SN_1253,R,,DEG_PER_2,10/9/25,FUNG,Harvest,N,Y,,,,
25_SN_1034,R,,DEG_PER_1,5/11/25,,,Y,Y,Y,,,
25_SN_1033,R,,DEG_PER_1,5/11/25,,,Y,Y,Y,,,
25_SN_1036,R,,DEG_PER_2,5/11/25,F,,Y,Y,Y,,,
25_SN_1035,R,,DEG_PER_2,5/11/25,N,,Y,Y,Y,,,
25_SN_1254,R,,DEG_VIL,10/1/25,NEONIC,Harvest,N,Y,,,,
25_SN_1255,R,,DEG_VIL,10/1/25,FUNG,Harvest,N,Y,,,,
25_SN_1031,R,,DEG_VIL,5/11/25,N,,Y,Y,Y,,,
25_SN_1032,R,,DEG_VIL,5/11/25,F,,Y,Y,Y,,,
25_SN_1146,R,,HUN_REE,6/4/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1147,R,,HUN_REE,6/4/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1379,R,,HUN_REE,11/17/25,NEONIC,,,Y,,,,
25_SN_1380,R,,HUN_REE,11/17/25,FUNG,,,Y,,,,
25_SN_1144,R,,KIK_HAR,6/18/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1145,R,,KIK_HAR,6/18/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1233,R,,KIK_HAR,9/9/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1245,R,,KIK_HAR,9/9/25,FUNG,Harvest,Y,Y,,,,
25_SN_1076,R,,KIK_MBF,5/12/25,N,Planting,Y ,Y,Y,,,
25_SN_1079,R,,KIK_MBF,5/12/25,F,Planting,Y ,Y,Y,,,
25_SN_1223,R,,KIK_MBF,8/26/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1231,R,,KIK_MBF,8/26/25,FUNG,Harvest,Y,Y,,,,
25_SN_1074,R,,KIK_MYT,6/4/25,N,Planting,Y ,Y,Y,,,
25_SN_1075,R,,KIK_MYT,6/4/25,F,Planting,Y ,Y,Y,,,
25_SN_1224,R,,KIK_MYT,8/26/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1225,R,,KIK_MYT,8/26/25,FUNG,Harvest,Y,Y,,,,
25_SN_1082,R,,KIK_SWE,6/5/25,N,Planting- OLD,Y ,Y,Y,,,
25_SN_1083,R,,KIK_SWE,6/5/25,F,Planting- OLD,Y ,Y,Y,,,
25_SN_1142,R,,KIK_SWE,6/23/25,NEONIC,Planting- NEW,Y,Y,Y,,,
25_SN_1143,R,,KIK_SWE,6/23/25,FUNG,Planting- NEW,Y,Y,Y,,,
25_SN_1227,R,,KIK_SWE,9/9/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1232,R,,KIK_SWE,9/9/25,FUNG,Harvest,Y,Y,,,,
25_SN_1094,R,,KUH_COL,6/5/25,F,Planting,Y ,Y,Y,,,
25_SN_1095,R,,KUH_COL,6/5/25,N,Planting,Y ,Y,Y,,,
25_SN_1216,R,,KUH_COL,9/23/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1217,R,,KUH_COL,9/23/25,FUNG,Harvest,Y,Y,,,,
25_SN_1242,R,,LET_ VER,8/29/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1097,R,,LET_MAC,6/17/25,N,Planting,Y ,Y,Y,,,
25_SN_1098,R,,LET_MAC,6/17/25,F,Planting,Y ,Y,Y,,,
25_SN_1238,R,,LET_MAC,9/30/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1239,R,,LET_MAC,9/30/25,FUNG,Harvest,Y,Y,,,,
25_SN_1236,R,,LET_STE,9/29/25,FUNG,Harvest,Y,Y,,,,
25_SN_1237,R,,LET_STE,9/29/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1086,R,,LET_STE_1,6/10/25,F,,Y ,Y,Y,,,
25_SN_1087,R,,LET_STE_1,6/10/25,N,,Y ,Y,Y,,,
25_SN_1088,R,,LET_STE_2,6/10/25,F,,Y ,Y,Y,,,
25_SN_1089,R,,LET_STE_2,6/10/25,N,,Y ,Y,Y,,,
25_SN_1056,R,,LET_VER,5/15/25,F,,Y,Y,Y,,,
25_SN_1057,R,,LET_VER,5/15/25,N,,Y,Y,Y,,,
25_SN_1246,R,,LET_VER,8/29/25,FUNG,Harvest,Y,Y,,,,
25_SN_1090,R,,LET_WAT,6/12/25,F,Planting,Y ,Y,Y,,,
25_SN_1091,R,,LET_WAT,6/12/25,N,Planting,Y ,Y,Y,,,
25_SN_1244,R,,LET_WAT,10/8/25,FUNG,Harvest,Y,Y,,,,
25_SN_1249,R,,LET_WAT,10/8/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1124,R,,MIL_BAR_1,5/30/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1125,R,,MIL_BAR_1,5/30/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1419,R,,MIL_BAR_1,12/22/25,NEONIC,HARVEST,,,,,,
25_SN_1420,R,,MIL_BAR_1,12/22/25,FUNG,HARVEST,,,,,,
25_SN_1128,R,,MIL_BAR_2,6/19/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1129,R,,MIL_BAR_2,6/19/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1134,R,,MIL_COB,5/8/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1135,R,,MIL_COB,5/8/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1423,R,,MIL_COB,10/17/25,FUNG,HARVEST,,,,,,
25_SN_1424,R,,MIL_COB,10/17/25,NEONIC,HARVEST,,,,,,
25_SN_1122,R,,MIL_CRO_1,6/4/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1123,R,,MIL_CRO_1,6/4/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1421,R,,MIL_CRO_1,10/1/25,FUNG,HARVEST,,,,,,
25_SN_1422,R,,MIL_CRO_1,10/1/25,NEONIC,HARVEST,,,,,,
25_SN_1126,R,,MIL_CRO_2,6/4/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1127,R,,MIL_CRO_2,6/4/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1425,R,,MIL_CRO_2,10/1/25,NEONIC,HARVEST,,,,,,
25_SN_1426,R,,MIL_CRO_2,10/1/25,FUNG,HARVEST,,,,,,
25_SN_1132,R,,MIL_TEL,6/11/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1133,R,,MIL_TEL,6/11/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1138,R,,MIL_ZIT_1,6/23/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1139,R,,MIL_ZIT_1,6/23/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1427,R,,MIL_ZIT_1,11/5/25,FUNG,HARVEST,,,,,,
25_SN_1428,R,,MIL_ZIT_1,11/5/25,NEONIC,HARVEST,,,,,,
25_SN_1130,R,,MIL_ZIT_2,6/3/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1131,R,,MIL_ZIT_2,6/3/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1429,R,,MIL_ZIT_2,11/13/25,FUNG,HARVEST,,,,,,
25_SN_1430,R,,MIL_ZIT_2,11/13/25,NEONIC,HARVEST,,,,,,
25_SN_1136,R,,MIL_ZIT_3,6/23/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1137,R,,MIL_ZIT_3,6/23/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1431,R,,MIL_ZIT_3,11/25/25,FUNG,HARVEST,,,,,,
25_SN_1432,R,,MIL_ZIT_3,11/25/25,NEONIC,HARVEST,,,,,,
25_SN_1064,R,,SMI_ARN_2,5/28/25,N,,Y ,Y,Y,,,
25_SN_1044,R,,SMI_ARN_1,5/13/25,F,Corn,Y,Y,Y,,,
25_SN_1045,R,,SMI_ARN_1,5/13/25,N,Corn,Y,Y,Y,,,
25_SN_1408,R,,SMI_ARN_1,12/15/25,NEONIC,HARVEST,,,,,,
25_SN_1409,R,,SMI_ARN_1,12/15/25,FUNG,HARVEST,,,,,,
25_SN_1250,R,,SMI_ARN_2,10/27/25,FUNG,Harvest,Y,Y,,,,
25_SN_1251,R,,SMI_ARN_2,10/27/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1062,R,,SMI_ARN_2,5/28/25,F,,Y ,Y,Y,,,
25_SN_1413,R,,SMI_BUR,11/20/25,NEONIC,HARVEST,,,,,,
25_SN_1414,R,,SMI_BUR,11/20/25,FUNG,HARVEST,,,,,,
25_SN_1063,R,,SMI_BUR,5/27/25,F,,Y ,Y,Y,,,
25_SN_1065,R,,SMI_BUR,5/27/25,N,,Y ,Y,Y,,,
25_SN_1039,R,,SMI_COB,5/14/25,N,,Y,Y,Y,,,
25_SN_1040,R,,SMI_COB,5/14/25,N,,Y,Y,Y,,,
25_SN_1041,R,,SMI_COB,5/14/25,F,,Y,Y,Y,,,
25_SN_1218,R,,SMI_COB,9/15/25,FUNG,Harvest,Y,Y,,,,
25_SN_1219,R,,SMI_COB,9/15/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1048,R,,SMI_CON_1,5/20/25,N,,Y,Y,Y,,,
25_SN_1049,R,,SMI_CON_1,5/20/25,F,,Y,Y,Y,,,
25_SN_1120,R,,SMI_CON_1,6/25/25,FUNG,Planting,Y,Y,Y,,,
25_SN_1121,R,,SMI_CON_1,6/25/25,NEONIC,Planting,Y,Y,Y,,,
25_SN_1410,R,,SMI_CON_1,12/15/25,NEONIC,,,,,,,
25_SN_1411,R,,SMI_CON_1,12/15/25,FUNG,,,,,,,
25_SN_1407,R,,SMI_CON_2,12/15/25,FUNG,HARVEST,,,,,,
25_SN_1412,R,,SMI_CON_2,12/15/25,NEONIC,HARVEST,,,,,,
25_SN_1042,R,,SMI_DOU,5/13/25,N,,Y,Y,Y,,,
25_SN_1043,R,,SMI_DOU,5/13/25,F,,Y,Y,Y,,,
25_SN_1212,R,,SMI_DOU,10/6/25,NEONIC,Harvest,Y,Y,,,,
25_SN_1213,R,,SMI_DOU,10/6/25,FUNG,Harvest,Y,Y,,,,
25_SN_1118,R,,SMI_HOF_1,6/19/25,FUNG,Planting,Y,Y,Y,,,
