Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmean (degrees F)
CER_DEL_1,-74.968,42.2073,1299,1/1/25,0.5,38.5
CER_DEL_1,-74.968,42.2073,1299,1/2/25,0.13,34.5
CER_DEL_1,-74.968,42.2073,1299,1/3/25,0.04,29.2
CER_DEL_1,-74.968,42.2073,1299,1/4/25,0.01,23.2
CER_DEL_1,-74.968,42.2073,1299,1/5/25,0,21.5
CER_DEL_1,-74.968,42.2073,1299,1/6/25,0,21.7
CER_DEL_1,-74.968,42.2073,1299,1/7/25,0,15.5
CER_DEL_1,-74.968,42.2073,1299,1/8/25,0.05,17.2
CER_DEL_1,-74.968,42.2073,1299,1/9/25,0,14.8
CER_DEL_1,-74.968,42.2073,1299,1/10/25,0.01,18.5
CER_DEL_1,-74.968,42.2073,1299,1/11/25,0.14,22.6
CER_DEL_1,-74.968,42.2073,1299,1/12/25,0.01,23
CER_DEL_1,-74.968,42.2073,1299,1/13/25,0,22.4
CER_DEL_1,-74.968,42.2073,1299,1/14/25,0.05,25.6
CER_DEL_1,-74.968,42.2073,1299,1/15/25,0,17.6
CER_DEL_1,-74.968,42.2073,1299,1/16/25,0,15.4
CER_DEL_1,-74.968,42.2073,1299,1/17/25,0.05,18
CER_DEL_1,-74.968,42.2073,1299,1/18/25,0,26.7
CER_DEL_1,-74.968,42.2073,1299,1/19/25,0.08,28.3
CER_DEL_1,-74.968,42.2073,1299,1/20/25,0.19,14.5
CER_DEL_1,-74.968,42.2073,1299,1/21/25,0,2.6
CER_DEL_1,-74.968,42.2073,1299,1/22/25,0,-2.1
CER_DEL_1,-74.968,42.2073,1299,1/23/25,0,-0.9
CER_DEL_1,-74.968,42.2073,1299,1/24/25,0,15
CER_DEL_1,-74.968,42.2073,1299,1/25/25,0,14.8
CER_DEL_1,-74.968,42.2073,1299,1/26/25,0.02,17.7
CER_DEL_1,-74.968,42.2073,1299,1/27/25,0,19.7
CER_DEL_1,-74.968,42.2073,1299,1/28/25,0.02,24.1
CER_DEL_1,-74.968,42.2073,1299,1/29/25,0.09,23.6
CER_DEL_1,-74.968,42.2073,1299,1/30/25,0.09,25.7
CER_DEL_1,-74.968,42.2073,1299,1/31/25,0,23.7
CER_DEL_1,-74.968,42.2073,1299,2/1/25,0.51,28
CER_DEL_1,-74.968,42.2073,1299,2/2/25,0,11.9
CER_DEL_1,-74.968,42.2073,1299,2/3/25,0.13,13.1
CER_DEL_1,-74.968,42.2073,1299,2/4/25,0.01,33.9
CER_DEL_1,-74.968,42.2073,1299,2/5/25,0.01,23.6
CER_DEL_1,-74.968,42.2073,1299,2/6/25,0.05,16.5
CER_DEL_1,-74.968,42.2073,1299,2/7/25,0.12,29.1
CER_DEL_1,-74.968,42.2073,1299,2/8/25,0,20.3
CER_DEL_1,-74.968,42.2073,1299,2/9/25,0.34,21.3
CER_DEL_1,-74.968,42.2073,1299,2/10/25,0,21.6
CER_DEL_1,-74.968,42.2073,1299,2/11/25,0,18.6
CER_DEL_1,-74.968,42.2073,1299,2/12/25,0,19.5
CER_DEL_1,-74.968,42.2073,1299,2/13/25,0.14,24.3
CER_DEL_1,-74.968,42.2073,1299,2/14/25,0.14,30
CER_DEL_1,-74.968,42.2073,1299,2/15/25,0,20.5
CER_DEL_1,-74.968,42.2073,1299,2/16/25,0.5,24.4
CER_DEL_1,-74.968,42.2073,1299,2/17/25,0.43,27.3
CER_DEL_1,-74.968,42.2073,1299,2/18/25,0,15.3
CER_DEL_1,-74.968,42.2073,1299,2/19/25,0,11.2
CER_DEL_1,-74.968,42.2073,1299,2/20/25,0,15.4
CER_DEL_1,-74.968,42.2073,1299,2/21/25,0.07,15.1
CER_DEL_1,-74.968,42.2073,1299,2/22/25,0,17.3
CER_DEL_1,-74.968,42.2073,1299,2/23/25,0,25.4
CER_DEL_1,-74.968,42.2073,1299,2/24/25,0,28
CER_DEL_1,-74.968,42.2073,1299,2/25/25,0,35.1
CER_DEL_1,-74.968,42.2073,1299,2/26/25,0.11,39.5
CER_DEL_1,-74.968,42.2073,1299,2/27/25,0.14,36.4
CER_DEL_1,-74.968,42.2073,1299,2/28/25,0.24,38.4
CER_DEL_1,-74.968,42.2073,1299,3/1/25,0.01,34.5
CER_DEL_1,-74.968,42.2073,1299,3/2/25,0.04,27.5
CER_DEL_1,-74.968,42.2073,1299,3/3/25,0,14.2
CER_DEL_1,-74.968,42.2073,1299,3/4/25,0,21.4
CER_DEL_1,-74.968,42.2073,1299,3/5/25,0.01,35.5
CER_DEL_1,-74.968,42.2073,1299,3/6/25,0.84,44.7
CER_DEL_1,-74.968,42.2073,1299,3/7/25,0.02,32.4
CER_DEL_1,-74.968,42.2073,1299,3/8/25,0.02,29.3
CER_DEL_1,-74.968,42.2073,1299,3/9/25,0,25.6
CER_DEL_1,-74.968,42.2073,1299,3/10/25,0,33.2
CER_DEL_1,-74.968,42.2073,1299,3/11/25,0,42.6
CER_DEL_1,-74.968,42.2073,1299,3/12/25,0,45.1
CER_DEL_1,-74.968,42.2073,1299,3/13/25,0,36.8
CER_DEL_1,-74.968,42.2073,1299,3/14/25,0,39.9
CER_DEL_1,-74.968,42.2073,1299,3/15/25,0,44.7
CER_DEL_1,-74.968,42.2073,1299,3/16/25,0,50.9
CER_DEL_1,-74.968,42.2073,1299,3/17/25,0.86,54.8
CER_DEL_1,-74.968,42.2073,1299,3/18/25,0.05,33.6
CER_DEL_1,-74.968,42.2073,1299,3/19/25,0,41.2
CER_DEL_1,-74.968,42.2073,1299,3/20/25,0,50.8
CER_DEL_1,-74.968,42.2073,1299,3/21/25,0.28,46.8
CER_DEL_1,-74.968,42.2073,1299,3/22/25,0,32.4
CER_DEL_1,-74.968,42.2073,1299,3/23/25,0.04,36.5
CER_DEL_1,-74.968,42.2073,1299,3/24/25,0,29.2
CER_DEL_1,-74.968,42.2073,1299,3/25/25,0,39.7
CER_DEL_1,-74.968,42.2073,1299,3/26/25,0,33
CER_DEL_1,-74.968,42.2073,1299,3/27/25,0.06,29.7
CER_DEL_1,-74.968,42.2073,1299,3/28/25,0,33.9
CER_DEL_1,-74.968,42.2073,1299,3/29/25,0.09,45.3
CER_DEL_1,-74.968,42.2073,1299,3/30/25,0.18,53.9
CER_DEL_1,-74.968,42.2073,1299,3/31/25,0.02,48.9
CER_DEL_1,-74.968,42.2073,1299,4/1/25,0,51.6
CER_DEL_1,-74.968,42.2073,1299,4/2/25,0,32.4
CER_DEL_1,-74.968,42.2073,1299,4/3/25,0.15,34.6
CER_DEL_1,-74.968,42.2073,1299,4/4/25,0.02,55.7
CER_DEL_1,-74.968,42.2073,1299,4/5/25,0.02,47.8
CER_DEL_1,-74.968,42.2073,1299,4/6/25,0.45,42.6
CER_DEL_1,-74.968,42.2073,1299,4/7/25,0.05,38.9
CER_DEL_1,-74.968,42.2073,1299,4/8/25,0.04,30.6
CER_DEL_1,-74.968,42.2073,1299,4/9/25,0.02,25.4
CER_DEL_1,-74.968,42.2073,1299,4/10/25,0,32.2
CER_DEL_1,-74.968,42.2073,1299,4/11/25,0.13,37
CER_DEL_1,-74.968,42.2073,1299,4/12/25,0.3,40.7
CER_DEL_1,-74.968,42.2073,1299,4/13/25,0.11,35.6
CER_DEL_1,-74.968,42.2073,1299,4/14/25,0,41.5
CER_DEL_1,-74.968,42.2073,1299,4/15/25,0.03,47.7
CER_DEL_1,-74.968,42.2073,1299,4/16/25,0.15,45.3
CER_DEL_1,-74.968,42.2073,1299,4/17/25,0.01,31.2
CER_DEL_1,-74.968,42.2073,1299,4/18/25,0,39
CER_DEL_1,-74.968,42.2073,1299,4/19/25,0,53.5
CER_DEL_1,-74.968,42.2073,1299,4/20/25,0.21,57.4
CER_DEL_1,-74.968,42.2073,1299,4/21/25,0,43.6
CER_DEL_1,-74.968,42.2073,1299,4/22/25,0.01,48.6
CER_DEL_1,-74.968,42.2073,1299,4/23/25,0,50.7
CER_DEL_1,-74.968,42.2073,1299,4/24/25,0,55
CER_DEL_1,-74.968,42.2073,1299,4/25/25,0,61.5
CER_DEL_1,-74.968,42.2073,1299,4/26/25,0.44,63
