Sample ID,"Project (R, L, C)",Field ID,Treatment,Collection Date,Seed Type,Number Seeds,SCM Larvae Sum,SCM Pupae Sum,SCM Seed,Phorid Seed,Other Damage,Wireworms,Other Seeds,Wireworm Presence/absence,Grub presence/absence,Checked?,Ordered Entered,Notes
26_D_1434,R,CHO_GEN,F,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,181,
26_D_1433,R,CHO_GEN,F,5/28/26,Field Corn,15,2,0,0,0,0,0,0,No,No,Yes,185,
26_D_1432,R,CHO_GEN,F,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,186,
26_D_1426,R,CHO_GEN,F,5/28/26,Field Corn,15,0,0,0,0,2,0,2,No,No,Yes,205,
26_D_1430,R,CHO_GEN,F,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,343,
26_D_1429,R,CHO_GEN,F,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,344,
26_D_1428,R,CHO_GEN,F,5/28/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,345,
26_D_1427,R,CHO_GEN,F,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,346,
26_D_1431,R,CHO_GEN,F,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,351,
26_D_1437,R,CHO_GEN,N,5/28/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,169,
26_D_1442,R,CHO_GEN,N,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,170,
26_D_1438,R,CHO_GEN,N,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,171,
26_D_1436,R,CHO_GEN,N,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,172,
26_D_1439,R,CHO_GEN,N,5/28/26,Field Corn,15,0,0,0,0,2,0,2,No,No,Yes,153,
26_D_1443,R,CHO_GEN,N,5/28/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,154,
26_D_1440,R,CHO_GEN,N,5/28/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,155,
26_D_1441,R,CHO_GEN,N,5/28/26,Field Corn,13,0,0,0,0,1,0,1,No,No,Yes,165,
26_D_1435,R,CHO_GEN,N,5/28/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,347,
26_D_1190,R,DEG_VIL,F,5/26/26,Field Corn,16,1,0,0,0,0,0,0,No,No,Yes,141,
26_D_1335,R,DEG_VIL,F,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,225,
26_D_1334,R,DEG_VIL,F,5/26/26,Field Corn,14,0,0,0,0,0,0,0,No,No,Yes,226,
26_D_1333,R,DEG_VIL,F,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,234,
26_D_1332,R,DEG_VIL,F,5/26/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,235,
26_D_1375,R,DEG_VIL,F,5/26/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,254,
26_D_1339,R,DEG_VIL,F,5/26/26,Field Corn,13,0,0,0,0,4,0,4,No,No,Yes,271,
26_D_1338,R,DEG_VIL,F,5/26/26,Field Corn,14,0,0,0,0,1,0,1,No,No,Yes,272,
26_D_1334,R,DEG_VIL,F,5/26/26,Field Corn,15,0,0,0,0,4,0,4,No,No,Yes,273,
26_D_1329,R,DEG_VIL,N,5/26/26,Field Corn,13,0,0,0,0,3,0,3,No,No,Yes,217,
26_D_1328,R,DEG_VIL,N,5/26/26,Field Corn,13,1,0,0,0,1,1,1,Yes,No,Yes,218,
26_D_1327,R,DEG_VIL,N,5/26/26,Field Corn,15,0,0,0,0,2,0,2,No,No,Yes,219,
26_D_1326,R,DEG_VIL,N,5/26/26,Field Corn,16,1,0,1,0,2,0,2,No,No,Yes,220,
26_D_1336,R,DEG_VIL,N,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,227,
26_D_1337,R,DEG_VIL,N,5/26/26,Field Corn,15,2,0,0,0,0,0,0,No,No,Yes,228,
26_D_1330,R,DEG_VIL,N,5/26/26,Field Corn,15,0,1,0,0,0,0,0,No,No,Yes,233,
26_D_1331,R,DEG_VIL,N,5/26/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,236,
26_D_1376,R,DEG_VIL,N,5/26/26,Field Corn,15,4,0,2,0,1,0,1,No,No,Yes,253,
26_D_1101,R,DOE_ZIE,D,5/12/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,398,
26_D_1100,R,DOE_ZIE,D,5/12/26,Field Corn,15,0,0,0,0,0,2,0,Yes,Yes,Yes,399,
26_D_1096,R,DOE_ZIE,D,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,402,
26_D_1095,R,DOE_ZIE,D,5/12/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,403,
26_D_1102,R,DOE_ZIE,D,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,51,
26_D_1098,R,DOE_ZIE,D,5/12/26,Field Corn,15,0,0,0,0,0,2,0,Yes,Yes,Yes,58,
26_D_1097,R,DOE_ZIE,D,5/12/26,Field Corn,15,0,0,0,0,0,2,0,Yes,Yes,Yes,59,
26_D_1099,R,DOE_ZIE,D,5/12/26,Field Corn,15,1,0,0,0,0,0,0,No,Yes,Yes,67,
26_D_1103,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,52,
26_D_1106,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,1,0,1,No,Yes,Yes,68,
26_D_1112,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,69,
26_D_1109,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,72,
26_D_1110,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,74,
26_D_1107,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,76,
26_D_1108,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,77,
26_D_1113,R,DOE_ZIE,F,5/12/26,Field Corn,16,0,0,0,0,1,0,1,No,No,Yes,78,
26_D_1111,R,DOE_ZIE,F,5/12/26,Field Corn,16,0,0,0,0,0,0,0,No,Yes,Yes,86,
26_D_1094,R,DOE_ZIE,F,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,404,
26_D_1089,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,2,0,Yes,Yes,Yes,395,
26_D_1088,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,396,
26_D_1090,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,46,
26_D_1091,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,No,Yes,47,
26_D_1093,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,1,0,Yes,Yes,Yes,48,
26_D_1092,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,1,1,1,Yes,Yes,Yes,49,
26_D_1104,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,2,0,Yes,Yes,Yes,50,
26_D_1114,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,79,
26_D_1105,R,DOE_ZIE,N,5/12/26,Field Corn,15,0,0,0,0,0,0,0,No,Yes,Yes,83,
26_D_1407,R,KUH_COL,F,5/19/26,Field Corn,13,0,0,0,0,2,0,2,No,No,Yes,32,
26_D_1402,R,KUH_COL,F,5/19/26,Field Corn,15,0,0,0,0,1,0,1,No,No,Yes,33,
26_D_1408,R,KUH_COL,F,5/19/26,Field Corn,15,0,0,0,0,4,0,4,No,No,Yes,161,
26_D_1404,R,KUH_COL,F,5/19/26,Field Corn,14,0,0,0,0,0,0,0,No,No,Yes,177,
26_D_1405,R,KUH_COL,F,5/19/26,Field Corn,15,0,0,0,0,0,3,0,Yes,No,Yes,178,
26_D_1401,R,KUH_COL,F,5/19/26,Field Corn,16,0,0,0,0,0,0,0,No,No,Yes,179,
26_D_1403,R,KUH_COL,F,5/19/26,Field Corn,15,0,0,0,0,1,1,1,Yes,No,Yes,191,
