host_plant,family,blueberry_family
American Holly,Aquifoliaceae,No
Autum Olive,Elaeagnaceae,No
Autumn olive,Elaeagnaceae,No
Bayberry,Myricaceae,No
Black Cherry,Rosaceae,No
Black Gum,Cornaceae,No
Blackberry,Rosaceae,No
Blueberry,Ericaceae,Yes
Blueberry and Banana,,
Buckthorn,Rhamnaceae,No
Bunchberry,Cornaceae,No
Bush Cherry,Rosaceae,No
Carolina Horsenettle,Solanaceae,No
Chokeberry,Rosaceae,No
Chokeberryberry,Rosaceae,No
Cranberry,Ericaceae,Yes
Dangleberry,Ericaceae,Yes
Dogwood + Solanum,Cornaceae,No
Elderberry,Adoxaceae,No
Grape,Vitaceae,No
Green Briar,Smilacaceae,No
Highbush Blueberry,Ericaceae,Yes
Highbush Blueberry (D),Ericaceae,Yes
Honey suckle,Caprifoliaceae,No
Honeysuckle,Caprifoliaceae,No
Huckleberry,Ericaceae,Yes
Inkberry,Aquifoliaceae,No
Inkberryberry,Aquifoliaceae,No
Japanese Honeysuckle,Caprifoliaceae,No
Juniper,Cupressaceae,No
Lowbush Blueberry,Ericaceae,Yes
Night Shade,Solanaceae,No
Nightshade,Solanaceae,No
Partridgeberry,Rubiaceae,No
Pokewee + Buckthorn,Phytolaccaceae,No
Pokeweed,Phytolaccaceae,No
Pokeweed ,Phytolaccaceae,No
Pokeweed Weed,Phytolaccaceae,No
Roundleaf Greenbriar,Smilacaceae,No
Sassafras,Lauraceae,No
Sentinel,,
Service Berry,Rosaceae,No
Viburnum nudum,Adoxaceae,No
Virginia Creep,Vitaceae,No
Virginia Creeper,Vitaceae,No
Virginia Creeper ,Vitaceae,No
Wild Raspberry,Rosaceae,No
Winterberry Holly,Aquifoliaceae,No
Wintergreen,Ericaceae,Yes
