State/province,Lab/group (e.g. Fanning),Site Location Latitude,Site Location Longitude,"Site name (e.g., farm, or how you identify this site)",Collection Date,Sample type,Hosts,Ganaspis kimorum present,Total Ganaspis kimorum in the sample,Leptopilina japonica present,Total Leptopilina japonica in the sample,"Habitat/fruit where Gb or Lj detected (ie., wooded, riparian)","Further details (e.g. Gb found 100 m from release, or describe sentinel trap, mass fruit collected (g))",Timing of when sample was taken,"Type of fruit(s) collected, or used in sentinel","Other species present? (e.g., 4 Asobara)"
Maine,Fanning,44.111895,-69.703734,L&F,7/9/24,Fruit Collection,25,No,0,Yes,7,Field edge,14.7,Pre-release,Wild Raspberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/16/24,Fruit Collection,4,No,0,No,0,Field edge,31,Pre-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/16/24,Fruit Collection,0,No,0,No,0,1m into field,94.6,Pre-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/16/24,Fruit Collection,0,No,0,No,0,10m into field,95.1,Pre-release,Lowbush Blueberry,1 R. mendax parasitoid
Maine,Fanning,44.111895,-69.703734,L&F,7/16/24,Fruit Collection,0,No,0,No,0,25m into field,93.3,Pre-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/23/24,Fruit Collection,74,No,0,No,0,Field edge,57,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/23/24,Fruit Collection,25,No,0,No,0,1m into field,100.2,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/23/24,Fruit Collection,6,No,0,No,0,10m into field,64.9,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/23/24,Fruit Collection,2,No,0,No,0,25m into field,66.1,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/23/24,Fruit Collection,32,No,0,Yes,1,Field edge,11.8,Post-release,Blackberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/30/24,Fruit Collection,182,Yes,2,Yes,2,Field edge,42.7,Post-release,Blackberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/30/24,Fruit Collection,120,No,0,Yes,1,1m into field,67.2,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/30/24,Fruit Collection,116,No,0,No,0,10m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,7/30/24,Fruit Collection,82,No,0,No,0,25m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,8/6/24,Fruit Collection,154,No,0,Yes,22,Field edge,52.9,Post-release,Blackberry,No
Maine,Fanning,44.111895,-69.703734,L&F,8/13/24,Fruit Collection,69,Yes,5,Yes,18,Field edge,38.8,Post-release,Blackberry,No
Maine,Fanning,44.111895,-69.703734,L&F,8/20/24,Fruit Collection,62,No,0,Yes,16,Field edge,16.4,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.111895,-69.703734,L&F,8/20/24,Fruit Collection,155,Yes,4,Yes,57,Field edge,100,Post-release,Blackberry,No
Maine,Fanning,44.111895,-69.703734,L&F,8/27/24,Fruit Collection,189,Yes,4,Yes,33,Field edge,66,Post-release,Blackberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/16/24,Fruit Collection,0,No,0,No,0,Field edge,101,Pre-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/16/24,Fruit Collection,2,No,0,No,0,1m into field,101.9,Pre-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/16/24,Fruit Collection,0,No,0,No,0,10m into field,101.2,Pre-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/16/24,Fruit Collection,0,No,0,No,0,25m into field,95.8,Pre-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/23/24,Fruit Collection,30,No,0,No,0,Field edge,84.8,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/23/24,Fruit Collection,4,No,0,No,0,1m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/23/24,Fruit Collection,3,No,0,No,0,10m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/23/24,Fruit Collection,0,No,0,No,0,25m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/30/24,Fruit Collection,53,No,0,No,0,Field edge,64,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/30/24,Fruit Collection,130,No,0,No,0,1m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/30/24,Fruit Collection,24,No,0,No,0,10m into field,80.5,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,7/30/24,Fruit Collection,57,No,0,No,0,25m into field,100,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,8/6/24,Fruit Collection,93,No,0,Yes,1,1m into field,66.8,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.120655,-69.679062,FF,8/13/24,Fruit Collection,35,No,0,Yes,1,1m into field,20.5,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.121548,-69.679019,FFDL,8/6/24,Fruit Collection,49,No,0,Yes,15,Field edge,18.3,Post-release,Blackberry,No
Maine,Fanning,44.121548,-69.679019,FFDL,8/13/24,Fruit Collection,27,No,0,No,0,Field edge,7.84,Post-release,Lowbush Blueberry,No
Maine,Fanning,44.193233,-69.326642,ME_2022_1,9/17/22,Sentinel,NA,No,0,Yes,80,Wooded,"SWD infested blueberries (10) and banana slices (3), 6 sentinel traps per site",Post-release,Blueberry and Banana,No
Maine,Fanning,44.193233,-69.326642,CHH,7/27/23,Sentinel,0,No,0,No,0,Field edge,2 sentinel traps baited with 33g SWD infested blueberries,Pre-release,Blueberry,No
Maine,Fanning,44.193233,-69.326642,CHH,7/27/23,Sentinel,0,No,0,No,0,1m into wild blueberry field from edge,2 sentinel traps baited with 33g SWD infested blueberries,Pre-release,Blueberry,No
Maine,Fanning,44.193233,-69.326642,CHH,7/27/23,Sentinel,0,No,0,No,0,10m into wild blueberry field from edge,2 sentinel traps baited with 33g SWD infested blueberries,Pre-release,Blueberry,No
Maine,Fanning,44.193233,-69.326642,CHH,7/27/23,Sentinel,0,No,0,No,0,25m into wild blueberry field from edge,2 sentinel traps baited with 33g SWD infested blueberries,Pre-release,Blueberry,No
Maine,Fanning,44.193233,-69.326642,CHH,8/25/23,Sentinel,58,No,0,No,0,Field edge,2 sentinel traps baited with 33g SWD infested blueberries,Post-release,Blueberry,No
Maine,Fanning,44.193233,-69.326642,CHH,8/25/23,Sentinel,18,No,0,No,0,1m into wild blueberry field from edge,2 sentinel traps baited with 33g SWD infested blueberries,Post-release,Blueberry,No
Maine,Fanning,44.193233,-69.326642,CHH,8/25/23,Sentinel,22,No,0,No,0,10m into wild blueberry field from edge,2 sentinel traps baited with 33g SWD infested blueberries,Post-release,Blueberry,No
Maine,Fanning,44.193233,-69.326642,CHH,8/25/23,Sentinel,2,No,0,No,0,25m into wild blueberry field from edge,2 sentinel traps baited with 33g SWD infested blueberries,Post-release,Blueberry,No
