Collection Date,Country/Ocean,Farm,State/Province,Latitude,Longitude,Type of collection (select from the menu),Host plant,N° of subsample (if any),Sample weight (gr),SWD pupae,SWD,L. japonica,G. kimorum,Other parasitoids,Other drosophilid pupae,Other drosophilid,L. japonica,Other parasitoids ,Notes (if any)
11-Jun-24,USA,Denny Doyle,New Jersey,"39° 57' 911""N","74° 39' 985""W",Fruit from plant,Highbush Blueberry,,6.8,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Denny Doyle,New Jersey,"39° 56' 396""N","74°36'979""W",Fruit from plant,Highbush Blueberry,,21.9,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Denny Doyle,New Jersey,"39° 55' 135""N","74° 39' 341""W",Fruit from plant,Highbush Blueberry,,7.9,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Haines Berry Farm,New Jersey,"39° 55' 780""N","74° 38' 054""W",Fruit from plant,Highbush Blueberry,,5.8,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Haines Berry Farm,New Jersey,"39° 55' 939""N","74° 37' 754""W",Fruit from plant,Highbush Blueberry,,7,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Little Buck,New Jersey,"39° 40' 987""N","74° 41' 900""W",Fruit from plant,Highbush Blueberry,,24.9,,3,0,0,0,0,0,0,0,
12-Jun-24,USA,Little Buck,New Jersey,"39° 40 987""N","74° 41' 900""W",Fruit from plant,Highbush Blueberry,,23.9,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Pastore Orchards,New Jersey,"39° 41' 162""N","74° 44' 970""W",Fruit from plant,Blackberry,,5.1,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Pastore Orchards,New Jersey,"39° 41' 162""N","74° 44' 878""W",Fruit from plant,Blackberry,,9.5,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39° 49' 907""N","74° 34' 696""W",Fruit from plant,Highbush Blueberry,,21.6,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39° 49' 921""N","74° 34' 690""W",Fruit from plant,Highbush Blueberry,,25.5,,11,0,0,0,0,0,0,0,
12-Jun-24,USA,Stoney Creek,New Jersey,"39° 37' 333""N","74° 47' 097""W",Fruit from plant,Highbush Blueberry,,13,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Stoney Creek,New Jersey,"39° 37' 399""N","74° 47' 099""W",Fruit from plant,Highbush Blueberry,,23.6,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Home,New Jersey,"39° 46' 079""N","74° 43' 522""W",Fruit from plant,Highbush Blueberry,,11.6,,11,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Home,New Jersey,"39° 46' 121""N","74° 43' 525""W",Fruit from plant,Highbush Blueberry,,22.3,,1,0,0,0,0,0,0,0,
11-Jun-24,USA,Whalen - Home,New Jersey,"39° 34' 858""N","74° 41' 524""W",Fruit from plant,Highbush Blueberry,,11.1,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC - Mays Landing,New Jersey,"39° 29' 040""N","74° 39' 072""W",Fruit from plant,Highbush Blueberry,,24.6,,1,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC - Mays Landing,New Jersey,"39° 29' 040""N","74° 39' 072""W",Fruit from plant,Highbush Blueberry,,14.9,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC - Mays Landing,New Jersey,"39° 29' 040""N","74° 39' 072""W",Fruit from plant,Highbush Blueberry,,17.7,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC - Mays Landing,New Jersey,"39° 29' 040""N","74° 39' 072""W",Fruit from plant,Highbush Blueberry,,2.5,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC - Home,New Jersey,"39° 32' 406""N","74° 40' 346""W",Fruit from plant,Highbush Blueberry,,11.4,,14,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC - Home,New Jersey,"39° 32' 406""N","74° 40' 346""W",Fruit from plant,Highbush Blueberry,,25.2,,2,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC - Home,New Jersey,"39° 32' 406""N","74° 40' 346""W",Fruit from plant,Highbush Blueberry,,24.2,,6,0,0,0,0,0,0,0,
12-Jun-24,USA,Macrie - Home,New Jersey,"39° 34' 858""N","74° 41' 524""W",Fruit from plant,Highbush Blueberry,,30.7,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Macrie - Home,New Jersey,"39° 31' 388""N","74° 45' 953""W",Fruit from plant,Highbush Blueberry,,20.8,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Nesco,New Jersey,"39° 56' 612""N","74° 32' 585""W",Fruit from plant,Blackberry,,9.8,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Nesco,New Jersey,"39° 56' 612""N","74° 32' 585""W",Fruit from plant,Blackberry,,2.4,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Nesco,New Jersey,"39° 37' 881""N","74° 35' 471""W",Fruit from plant,American Holly,,9.3,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39° 39' 474""N","74° 41' 278""W",Fruit from plant,Highbush Blueberry,,17.6,,23,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39° 39' 278""N","74° 41' 278""W",Fruit from plant,Highbush Blueberry,,15,,50,0,0,2,0,0,0,0,
12-Jun-24,USA,Moore's Meadows,New Jersey,"39° 49' 198""N","74° 38' 128""W",Fruit from plant,Highbush Blueberry,,12.7,,10,0,0,0,0,0,0,0,
12-Jun-24,USA,Moore's Meadows,New Jersey,"39° 49' 063""N","74° 38' 237""W",Fruit from plant,Highbush Blueberry,,27.9,,8,0,0,0,0,0,0,0,
11-Jun-24,USA,Macrie - 206,New Jersey,"39° 42' 265""N","74° 45' 728""W",Fruit from plant,Highbush Blueberry,,14.5,,4,0,0,0,0,0,0,0,
11-Jun-24,USA,Macrie - 206,New Jersey,"39° 42' 345""N","74° 45' 707""W",Fruit from plant,Highbush Blueberry,,23.2,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Macrie - 206,New Jersey,"39° 42' 254""N","74° 45' 712""W",Fruit from plant,Highbush Blueberry,,8.8,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Fred Miller,New Jersey,"39° 47' 503""N","74° 46' 859""W",Fruit from plant,Highbush Blueberry,,9.1,,14,0,0,0,0,0,0,0,
11-Jun-24,USA,Fred Miller,New Jersey,"39° 47' 647""N","74° 47' 091""W",Fruit from plant,Highbush Blueberry,,11,,0,0,0,0,0,0,0,0,
