Site,Collection Date,Fruit,Mean(GPS Long),Mean(GPS Lat),Sum(# berries),N(Sample #),Sum(Frt W (g)),Sum(Fem SWD),Sum(Male SWD),Sum(Male Lj),Sum(Fem Lj),Sum(Male Gk),Sum(Fem Gk),Sum(Other),Notes
Abbott,06/26/2024,Blueberry,43.134334,-76.280247,125,5,222.1,0,0,0,0,0,0,0,
Abbott,06/26/2024,Honey suckle,43.134334,-76.280247,500,5,197,0,0,0,0,0,0,0,
Abbott,07/25/2024,Blueberry,43.134334,-76.280247,125,5,268,81,73,0,0,0,0,0,
Abbott,07/25/2024,Honey suckle,43.134334,-76.280247,500,5,159.5,334,276,3,0,0,0,0,
Abbott,09/04/2024,Buckthorn,43.134334,-76.280247,500,5,181.9,18,11,1,2,0,2,0,
Berry Patch,06/26/2024,Bush Cherry,42.527522,-73.357818,50,1,64.5,14,12,7,2,0,0,0,
Berry Patch,06/26/2024,Service Berry,42.527522,-73.357818,250,5,167.8,140,154,1,0,0,0,0,
Berry Patch,07/25/2024,Honeysuckle,42.527522,-73.357818,500,5,139.3,114,100,31,78,0,0,0,
Emmi,06/26/2024,Blueberry,43.1734333,-76.401175,125,5,214,0,0,0,0,0,0,2,
Emmi,06/26/2024,Honeysuckle,43.1734333,-76.401175,500,5,137.7,12,5,0,0,0,0,0,
Emmi,07/25/2024,Blueberry,43.1734333,-76.401175,125,5,175.5,67,60,0,0,0,0,0,
Emmi,09/04/2024,Autum Olive,43.1734333,-76.401175,100,1,27.7,0,1,0,0,0,0,0,
Emmi,09/04/2024,Buckthorn,43.1734333,-76.401175,200,2,94.2,6,5,0,0,0,0,0,
Emmi,09/04/2024,Pokeweed,43.1734333,-76.401175,200,2,98.2,3,7,0,0,0,0,0,
G&S Orchards,06/26/2024,Blueberry,43.1681944,-77.3317583,125,5,296,0,0,0,0,0,0,0,
G&S Orchards,06/26/2024,Honeysuckle,43.1681944,-77.3317583,500,5,189.9,1,1,0,0,0,0,0,
G&S Orchards,07/25/2024,Blueberry,43.1681944,-77.3317583,125,5,325.7,0,0,0,0,0,0,0,
G&S Orchards,07/25/2024,Honeysuckle,43.1681944,-77.3317583,500,5,149.6,145,106,1,2,0,0,0,
G&S Orchards,09/04/2024,Buckthorn,43.1681944,-77.3317583,300,3,127.7,0,0,0,0,0,0,0,
G&S Orchards,09/04/2024,Pokeweed,43.1681944,-77.3317583,200,2,69.3,0,0,0,0,0,0,0,
Pre Emption,06/26/2024,Blueberry,42.7933861,-77.1338917,125,5,204.4,0,3,0,0,0,0,0,
Pre Emption,06/26/2024,Honeysuckle,42.7933861,-77.1338917,500,5,164.6,3,5,0,0,0,0,0,
Pre Emption,06/26/2024,Sentinel,42.7933861,-77.1338917,,6,198,,,0,9,0,0,0,
Pre Emption,07/25/2024,Blueberry,42.7933861,-77.1338917,125,5,157.6,396,348,1,0,0,0,0,
Pre Emption,09/04/2024,Buckthorn,42.7933861,-77.1338917,392,4,144.4,6,5,2,2,0,0,0,
Pre Emption,09/04/2024,Pokeweed,42.7933861,-77.1338917,100,1,42.4,5,11,0,0,0,0,0,
Pre Emption,8/1/23,Honeysuckle,42.7933861,-77.1338917,500,5,,326,353,8,12,0,1,2,
Abbott,8/1/23,Honeysuckle,43.134334,-76.280247,500,5,,276,261,0,0,0,0,0,
Emmi,8/1/23,Honeysuckle,43.1734333,-76.401175,500,5,,122,115,0,1,0,0,0,
G&S Orchards,8/1/23,Honeysuckle,43.1681944,-77.3317583,500,5,,62,68,0,0,0,0,0,
Pre Emption,7/12/23,Honeysuckle,42.7933861,-77.1338917,500,5,,39,29,0,0,0,0,0,
Abbott,7/12/23,Honeysuckle,43.134334,-76.280247,500,5,,0,0,0,0,0,0,0,
Emmi,7/12/23,Honeysuckle,43.1734333,-76.401175,500,5,,6,5,0,0,0,0,0,
G&S Orchards,7/12/23,Honeysuckle,43.1681944,-77.3317583,500,5,,0,0,0,0,0,0,0,
Pre Emption,9/19/23,Pokewee + Buckthorn,42.7933861,-77.1338917,500,5,,19,16,0,0,0,0,0,
Abbott,9/19/23,Pokewee + Buckthorn,43.134334,-76.280247,500,5,,7,12,0,0,0,0,0,
Emmi,9/19/23,Pokeweed,43.1734333,-76.401175,500,5,,19,10,0,0,0,0,0,
