Date Set,Date Collected,Site,Distance Into Field (m),Location,SWD
7/16/24,7/23/24,L&F,Border,1,64
7/16/24,7/23/24,L&F,Border,2,36
7/16/24,7/23/24,L&F,1,1,33
7/16/24,7/23/24,L&F,1,2,29
7/16/24,7/23/24,L&F,10,1,16
7/16/24,7/23/24,L&F,10,2,16
7/16/24,7/23/24,L&F,25,2,14
7/16/24,7/23/24,FF,Border,1,31
7/16/24,7/23/24,FF,Border,2,44
7/16/24,7/23/24,FF,1,1,29
7/16/24,7/23/24,FF,1,2,29
7/16/24,7/23/24,FF,10,1,18
7/16/24,7/23/24,FF,10,2,27
7/16/24,7/23/24,FF,25,1,65
7/16/24,7/23/24,FF,25,2,15
7/16/24,7/23/24,TT,Border,1,81
7/16/24,7/23/24,TT,Border,2,33
7/16/24,7/23/24,TT,1,1,16
7/16/24,7/23/24,TT,1,2,21
7/16/24,7/23/24,TT,10,1,28
7/16/24,7/23/24,TT,10,2,10
7/16/24,7/23/24,TT,25,1,51
7/16/24,7/23/24,TT,25,2,32
7/16/24,7/23/24,CN,Border,1,37
7/16/24,7/23/24,CN,Border,2,31
7/16/24,7/23/24,CN,1,1,31
7/16/24,7/23/24,CN,1,2,33
7/16/24,7/23/24,CN,10,1,20
7/16/24,7/23/24,CN,10,2,15
7/16/24,7/23/24,CN,25,1,75
7/16/24,7/23/24,CN,25,2,49
8/6/24,8/13/24,L&F,Border,1,286
8/6/24,8/13/24,L&F,Border,2,696
8/6/24,8/13/24,L&F,1,1,45
8/6/24,8/13/24,L&F,1,2,27
8/6/24,8/13/24,L&F,10,1,118
8/6/24,8/13/24,L&F,10,2,99
8/6/24,8/13/24,L&F,25,1,102
8/6/24,8/13/24,L&F,25,2,45
8/6/24,8/13/24,FF,Border,1,351
8/6/24,8/13/24,FF,Border,2,217
8/6/24,8/13/24,FF,1,1,162
8/6/24,8/13/24,FF,1,2,72
8/6/24,8/13/24,FF,10,1,92
8/6/24,8/13/24,FF,10,2,69
8/6/24,8/13/24,FF,25,1,87
8/6/24,8/13/24,FF,25,2,68
8/6/24,8/13/24,TT,Border,1,995
8/6/24,8/13/24,TT,Border,2,471
8/6/24,8/13/24,TT,1,1,334
8/6/24,8/13/24,TT,1,2,89
8/6/24,8/13/24,TT,10,1,40
8/6/24,8/13/24,TT,10,2,40
8/6/24,8/13/24,TT,25,1,27
8/6/24,8/13/24,TT,25,2,125
8/6/24,8/13/24,CN,Border,1,648
8/6/24,8/13/24,CN,Border,2,232
8/6/24,8/13/24,CN,1,2,315
8/6/24,8/13/24,CN,10,1,189
8/6/24,8/13/24,CN,10,2,70
8/6/24,8/13/24,CN,25,1,322
8/6/24,8/13/24,CN,25,2,115
8/20/24,8/27/24,L&F,Border,1,244
8/20/24,8/27/24,L&F,Border,2,232
8/20/24,8/27/24,L&F,1,1,26
8/20/24,8/27/24,L&F,1,2,24
8/20/24,8/27/24,L&F,10,1,59
8/20/24,8/27/24,L&F,10,2,28
8/20/24,8/27/24,L&F,25,1,30
8/20/24,8/27/24,L&F,25,2,62
8/20/24,8/27/24,FF,Border,1,186
8/20/24,8/27/24,FF,Border,2,191
8/20/24,8/27/24,FF,1,1,60
8/20/24,8/27/24,FF,1,2,85
8/20/24,8/27/24,FF,10,1,91
8/20/24,8/27/24,FF,10,2,118
8/20/24,8/27/24,FF,25,1,102
8/20/24,8/27/24,FF,25,2,97
8/20/24,8/27/24,TT,Border,1,762
8/20/24,8/27/24,TT,Border,2,446
8/20/24,8/27/24,TT,1,1,312
