,Name,VALUE_0,Corn,Oats,Alfalfa,Other Hay/Non Alfalfa,Potatoes,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Strawberries,Pumpkins,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,M1,0,5,0,2,72,2,5,0,38,98,41,30,2,2,2972,32,653,33,163,84,16,0,0,2494,6744,2503,0.3711447212336892,3792,0.5622775800711743,163,0.024169632265717673,173,0.025652431791221827,38,0.005634638196915777,0.5422597864768683,0.586447212336892,1000
1,M2,1108,4,0,0,61,0,2,0,15,72,349,225,21,94,268,987,2718,80,278,244,36,0,0,253,6815,257,0.03771093176815848,4427,0.6495964783565664,278,0.04079236977256053,761,0.11166544387380778,15,0.0022010271460014674,0.5829787234042553,0.6903888481291269,1000
2,M3,0,1,0,1,108,4,0,0,149,118,197,18,2,4,3638,99,2035,7,61,249,15,0,0,137,6843,143,0.02089726728043256,6047,0.8836767499634663,61,0.008914218909834867,339,0.049539675580885574,149,0.021774075697793365,0.843489697501096,0.8925909688733012,1000
3,M4,0,0,0,0,15,0,0,0,0,103,255,37,0,2,1364,191,4144,47,35,212,30,0,0,413,6848,413,0.06030957943925234,5990,0.8747079439252337,35,0.005110981308411215,397,0.0579731308411215,0,0.0,0.8322137850467289,0.8798189252336449,1000
4,M5,0,4,0,1,71,0,2,0,238,273,62,19,3,1,3068,319,1683,39,130,78,10,0,0,759,6760,764,0.11301775147928994,5198,0.7689349112426036,130,0.019230769230769232,358,0.0529585798816568,238,0.03520710059171597,0.75,0.7881656804733729,1000
5,M6,0,4,0,2,341,0,2,3,1812,283,63,20,0,3,467,402,1573,10,341,986,177,0,0,275,6764,284,0.041986989946777055,3618,0.5348905972797161,341,0.050413956238911886,369,0.05455351862803075,1812,0.2678888231815494,0.3610289769367238,0.585304553518628,1000
6,M7,0,4,0,0,328,0,2,3,0,165,140,29,0,0,1551,397,2264,21,468,1013,100,0,0,283,6768,290,0.04284869976359338,5346,0.7898936170212766,468,0.06914893617021277,334,0.04934988179669031,0,0.0,0.6223404255319149,0.8590425531914894,1000
7,M8,0,0,0,0,124,0,18,0,7,112,23,10,2,0,4288,234,1403,32,70,36,4,0,2,402,6767,404,0.05970149253731343,5997,0.8862125018471997,70,0.010344318013890942,147,0.021723067829170977,7,0.0010344318013890941,0.8755726318900546,0.8965568198610906,1000
8,M9,0,3,0,0,175,0,2,0,7,357,112,13,0,0,1495,832,3084,28,273,272,37,0,0,45,6735,48,0.0071269487750556795,5748,0.8534521158129176,273,0.04053452115812917,482,0.07156644394951744,7,0.0010393466963622866,0.8034149962880475,0.8939866369710467,1000
9,M10,0,0,0,0,249,0,0,3,25,260,74,5,0,0,2215,391,2450,37,698,183,50,0,0,91,6731,94,0.013965235477640767,5326,0.7912642995097311,698,0.10369930173822611,339,0.05036398752042787,25,0.00371415837171297,0.751151389095231,0.8949636012479572,1000
10,M11,0,0,0,0,108,0,3,0,0,298,109,14,0,0,1954,567,2876,5,56,78,1,0,0,704,6773,704,0.1039421231359811,5481,0.809242580835671,56,0.008268123431271224,421,0.06215857079580688,0,0.0,0.7968403956887642,0.8175107042669423,1000
11,M12,0,0,0,0,74,0,18,0,0,135,36,5,0,0,4554,176,1239,32,65,30,0,0,2,402,6768,404,0.05969267139479906,6031,0.8911052009456265,65,0.00960401891252955,176,0.026004728132387706,0,0.0,0.8819444444444444,0.9007092198581561,1000
12,M13,0,0,0,1,202,0,0,0,58,86,32,9,0,0,2900,440,1469,19,173,62,7,0,0,1305,6763,1306,0.19310956676031346,4897,0.7240869436640545,173,0.025580363743900637,127,0.018778648528759427,58,0.008576075706047612,0.7110749667307408,0.7496673074079551,1000
