,Name,Alfalfa,Other Hay/Non Alfalfa,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,M1,0,0,0,0,0,0,0,0,0,16,0,10,0,1,0,0,39,66,39,0.5909090909090909,26,0.3939393939393939,1,0.015151515151515152,0,0.0,0,0.0,0.3939393939393939,0.40909090909090906,100
1,M2,0,0,0,0,0,0,0,0,0,20,0,3,0,2,0,0,44,69,44,0.6376811594202898,23,0.3333333333333333,2,0.028985507246376812,0,0.0,0,0.0,0.3333333333333333,0.36231884057971014,100
2,M3,0,3,0,0,0,2,5,1,0,34,0,0,0,0,0,0,22,67,22,0.3283582089552239,34,0.5074626865671642,0,0.0,8,0.11940298507462686,0,0.0,0.5074626865671642,0.5074626865671642,100
3,M4,0,0,0,0,0,0,0,0,0,7,0,21,1,0,0,0,40,69,40,0.5797101449275363,29,0.42028985507246375,0,0.0,0,0.0,0,0.0,0.4057971014492754,0.42028985507246375,100
4,M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,69,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,100
5,M6,0,30,0,0,0,0,0,0,0,0,0,0,0,17,0,0,20,67,20,0.29850746268656714,0,0.0,17,0.2537313432835821,0,0.0,0,0.0,0.0,0.2537313432835821,100
6,M7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,66,64,0.9696969696969697,1,0.015151515151515152,0,0.0,0,0.0,0,0.0,0.0,0.015151515151515152,100
7,M8,0,0,0,0,0,0,0,0,0,26,0,6,2,0,0,0,33,67,33,0.4925373134328358,34,0.5074626865671642,0,0.0,0,0.0,0,0.0,0.47761194029850745,0.5074626865671642,100
8,M9,0,18,2,0,0,0,0,0,0,2,0,4,1,41,0,1,0,69,0,0.0,8,0.11594202898550725,41,0.5942028985507246,0,0.0,0,0.0,0.08695652173913043,0.7101449275362318,100
9,M10,0,3,0,0,0,0,0,0,0,15,0,4,2,33,0,0,10,67,10,0.14925373134328357,21,0.31343283582089554,33,0.4925373134328358,0,0.0,0,0.0,0.2835820895522388,0.8059701492537313,100
10,M11,0,0,0,0,0,15,0,0,0,5,0,19,0,2,0,0,28,69,28,0.4057971014492754,24,0.34782608695652173,2,0.028985507246376812,15,0.21739130434782608,0,0.0,0.34782608695652173,0.37681159420289856,100
11,M12,0,0,0,0,0,0,0,0,0,33,0,6,0,2,0,0,25,66,25,0.3787878787878788,39,0.5909090909090909,2,0.030303030303030304,0,0.0,0,0.0,0.5909090909090909,0.6212121212121212,100
12,M13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,100
13,M14,0,0,0,0,3,0,0,0,0,2,11,15,0,0,9,0,28,68,28,0.4117647058823529,37,0.5441176470588235,0,0.0,0,0.0,3,0.04411764705882353,0.4117647058823529,0.5441176470588235,100
14,M15,0,0,0,0,0,0,0,0,0,33,0,6,0,2,0,0,26,67,26,0.3880597014925373,39,0.582089552238806,2,0.029850746268656716,0,0.0,0,0.0,0.582089552238806,0.6119402985074627,100
15,M16,0,0,0,0,0,0,0,0,0,20,0,3,0,2,0,0,44,69,44,0.6376811594202898,23,0.3333333333333333,2,0.028985507246376812,0,0.0,0,0.0,0.3333333333333333,0.36231884057971014,100
16,M17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,66,65,0.9848484848484849,1,0.015151515151515152,0,0.0,0,0.0,0,0.0,0.015151515151515152,0.015151515151515152,100
17,M18,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,60,66,61,0.9242424242424242,5,0.07575757575757576,0,0.0,0,0.0,0,0.0,0.07575757575757576,0.07575757575757576,100
18,M19,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,56,68,56,0.8235294117647058,12,0.17647058823529413,0,0.0,0,0.0,0,0.0,0.17647058823529413,0.17647058823529413,100
19,M20,0,0,5,0,0,0,0,0,0,34,0,6,3,0,0,0,20,68,20,0.29411764705882354,43,0.6323529411764706,0,0.0,0,0.0,0,0.0,0.5882352941176471,0.6323529411764706,100
20,M21,0,7,0,0,0,0,0,0,0,14,0,10,2,30,0,0,4,67,4,0.05970149253731343,26,0.3880597014925373,30,0.44776119402985076,0,0.0,0,0.0,0.3582089552238806,0.835820895522388,100
21,M22,0,18,0,2,0,0,0,0,0,6,0,32,1,10,0,0,0,69,2,0.028985507246376812,39,0.5652173913043478,10,0.14492753623188406,0,0.0,0,0.0,0.5507246376811594,0.7101449275362318,100
22,M23,0,4,0,0,3,0,0,0,2,2,2,8,2,20,2,24,0,69,0,0.0,42,0.6086956521739131,20,0.2898550724637681,2,0.028985507246376812,3,0.043478260869565216,0.17391304347826086,0.8985507246376812,100
