,Name,VALUE_0,Corn,Oats,Alfalfa,Other Hay/Non Alfalfa,Dry Beans,Potatoes,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Strawberries,Pumpkins,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,M1,0,6,0,2,191,0,4,9,0,604,371,114,37,2,2,7395,205,2515,85,347,334,51,0,0,2912,15186,2924,0.1925457658369551,10587,0.6971552745950217,347,0.022849993414987488,526,0.03463716581061504,604,0.03977347556960358,0.6660740155406295,0.7200052680100092,1500
1,M2,1924,4,0,0,75,0,0,4,2,131,170,739,397,27,103,422,3403,6260,152,470,629,125,0,0,303,15340,309,0.02014341590612777,11094,0.7232073011734028,470,0.030638852672750978,1436,0.09361147327249023,131,0.008539765319426336,0.6574315514993481,0.7538461538461538,1500
2,M3,0,1,0,3,198,0,4,0,0,220,230,505,245,27,36,7550,262,4836,41,137,461,40,0,0,606,15402,614,0.03986495260355798,13226,0.8587196467991169,137,0.008894948707960005,1043,0.06771847811972471,220,0.014283859239059862,0.8211920529801324,0.867614595507077,1500
3,M4,0,0,0,0,23,0,0,4,0,19,164,415,146,0,5,2198,1123,9054,108,75,1241,174,0,0,656,15405,656,0.04258357676079195,13903,0.9024991885751379,75,0.004868549172346641,730,0.04738721194417397,19,0.0012333657903278157,0.8033106134371957,0.9073677377474846,1500
4,M5,0,6,0,2,386,0,0,4,0,409,686,204,72,3,8,6192,697,3970,61,541,259,23,0,0,1687,15210,1695,0.11143984220907298,11210,0.7370151216305062,541,0.03556870479947403,973,0.06397107166337936,409,0.026890203813280736,0.7139381985535832,0.7725838264299802,1500
5,M6,0,25,0,2,920,0,0,4,3,2959,653,301,75,5,11,2076,749,4016,55,1069,1601,255,0,0,435,15214,465,0.03056395425266202,8763,0.5759826475614566,1069,0.0702642303141843,1045,0.06868673590114369,2959,0.19449191534113316,0.44965163665045355,0.6462468778756408,1500
6,M7,0,13,0,2,882,0,0,2,3,50,659,325,76,4,8,3802,832,5211,63,1172,1539,176,0,0,401,15220,419,0.027529566360052563,11631,0.76419185282523,1172,0.07700394218134034,1072,0.07043363994743758,50,0.0032851511169513796,0.6468462549277266,0.8411957950065703,1500
7,M8,0,4,0,0,451,0,0,18,3,7,649,186,29,4,4,9931,449,2538,46,395,78,4,0,2,419,15217,428,0.028126437536965237,13050,0.857593480975225,395,0.025957810343694553,872,0.057304330682788986,7,0.00046001182887559964,0.8489189722021423,0.8835512913189196,1500
8,M9,0,5,0,0,236,0,0,2,0,284,601,174,22,0,1,3006,1774,7279,41,388,795,480,0,0,49,15137,54,0.0035674175860474335,13376,0.8836625487216754,388,0.025632555988637114,798,0.05271850432714541,284,0.01876197397106428,0.7966571975952963,0.9092951047103125,1500
9,M10,0,4,0,0,460,0,0,2,3,145,485,112,31,0,1,4107,1077,6660,107,1130,533,137,0,0,149,15143,156,0.010301789605758437,12622,0.8335204384864294,1130,0.07462193752889124,629,0.041537343987320875,145,0.009575381364326752,0.782143564683352,0.9081423760153207,1500
