,Name,Corn,Alfalfa,Other Hay/Non Alfalfa,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Pumpkins,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,M1,0,0,0,0,0,0,0,0,0,0,116,0,30,0,4,0,0,0,273,423,273,0.6453900709219859,146,0.34515366430260047,4,0.009456264775413711,0,0.0,0,0.0,0.34515366430260047,0.3546099290780142,250
1,M2,0,0,6,0,0,0,0,22,15,0,99,3,115,3,20,0,0,0,145,428,145,0.338785046728972,220,0.514018691588785,20,0.04672897196261682,37,0.08644859813084112,0,0.0,0.5070093457943925,0.5607476635514018,250
2,M3,1,0,9,0,0,0,23,20,1,0,267,0,17,0,16,0,0,0,71,425,72,0.16941176470588235,284,0.668235294117647,16,0.03764705882352941,44,0.10352941176470588,0,0.0,0.668235294117647,0.7058823529411764,250
3,M4,0,0,0,0,0,0,3,38,0,0,78,2,204,7,2,3,0,0,90,427,90,0.2107728337236534,294,0.6885245901639344,2,0.00468384074941452,41,0.09601873536299765,0,0.0,0.6651053864168618,0.6932084309133489,250
4,M5,0,0,0,0,0,0,12,4,3,0,87,1,23,4,0,3,0,0,282,419,282,0.6730310262529833,118,0.28162291169451076,0,0.0,19,0.045346062052505964,0,0.0,0.2649164677804296,0.28162291169451076,250
5,M6,3,0,55,2,0,0,26,6,0,0,62,2,46,0,63,10,0,0,147,422,150,0.35545023696682465,120,0.2843601895734597,63,0.14928909952606634,32,0.07582938388625593,0,0.0,0.26066350710900477,0.43364928909952605,250
6,M7,3,0,13,0,0,0,16,37,4,0,23,2,68,6,26,3,0,0,222,423,225,0.5319148936170213,102,0.24113475177304963,26,0.061465721040189124,57,0.1347517730496454,0,0.0,0.2198581560283688,0.30260047281323876,250
7,M8,0,0,0,5,0,0,0,0,0,0,183,0,35,8,2,3,0,0,188,424,188,0.44339622641509435,229,0.5400943396226415,2,0.0047169811320754715,0,0.0,0,0.0,0.5141509433962265,0.544811320754717,250
8,M9,0,0,76,2,0,0,4,5,0,0,57,8,115,4,123,8,8,0,12,422,12,0.02843601895734597,200,0.47393364928909953,123,0.2914691943127962,9,0.02132701421800948,0,0.0,0.4265402843601896,0.7654028436018958,250
9,M10,0,0,25,0,0,0,0,0,0,0,104,5,89,13,151,2,0,0,31,420,31,0.07380952380952381,213,0.5071428571428571,151,0.3595238095238095,0,0.0,0,0.0,0.4714285714285714,0.8666666666666667,250
