,Name,VALUE_0,Corn,Oats,Alfalfa,Other Hay/Non Alfalfa,Fallow/Idle Cropland,Apples,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Strawberries,Pumpkins,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,M1,0,0,0,0,4,1,0,8,1,2,3,0,0,455,2,72,3,12,14,0,0,0,1108,1685,1108,0.657566765578635,546,0.32403560830860534,12,0.007121661721068249,6,0.0035608308605341245,8,0.004747774480712166,0.313946587537092,0.3311572700296736,500
1,M2,1,0,0,0,27,1,0,7,22,146,72,0,71,131,196,617,45,138,37,4,0,0,185,1700,185,0.10882352941176471,1101,0.6476470588235295,138,0.0811764705882353,311,0.18294117647058825,7,0.00411764705882353,0.5552941176470588,0.7288235294117648,500
2,M3,0,1,0,0,74,0,0,0,54,33,1,0,0,1399,0,38,0,29,0,0,0,0,84,1713,85,0.049620548744892,1437,0.8388791593695272,29,0.016929363689433742,88,0.05137186223000584,0,0.0,0.8388791593695272,0.8558085230589609,500
3,M4,0,0,0,0,3,0,0,0,27,112,15,0,0,392,48,844,16,13,14,0,0,0,231,1715,231,0.1346938775510204,1314,0.7661807580174927,13,0.007580174927113703,154,0.08979591836734693,0,0.0,0.7486880466472303,0.7737609329446065,500
4,M5,0,4,0,1,0,1,0,128,51,7,7,3,0,661,36,204,9,3,20,0,0,0,557,1692,562,0.3321513002364066,930,0.549645390070922,3,0.0017730496453900709,68,0.04018912529550828,128,0.07565011820330969,0.5325059101654847,0.551418439716312,500
5,M6,0,4,0,0,89,2,0,216,94,9,2,0,0,157,117,361,2,111,216,37,0,0,273,1690,277,0.16390532544378697,890,0.5266272189349113,111,0.06568047337278106,105,0.0621301775147929,216,0.12781065088757396,0.3757396449704142,0.5923076923076923,500
6,M7,0,3,0,0,74,0,0,0,66,89,16,0,0,345,48,557,12,135,59,8,0,0,281,1693,284,0.16774955699940933,1029,0.6077968103957472,135,0.07974010632014177,171,0.10100413467217956,0,0.0,0.5611340815121086,0.6875369167158889,500
7,M8,0,0,0,0,1,13,0,0,13,8,2,0,0,941,26,272,23,8,7,0,0,2,376,1692,378,0.22340425531914893,1269,0.75,8,0.004728132387706856,23,0.013593380614657211,0,0.0,0.7322695035460993,0.7547281323877069,500
8,M9,0,0,0,0,140,2,0,0,141,37,5,0,0,477,15,557,18,196,35,12,0,0,45,1680,45,0.026785714285714284,1114,0.6630952380952381,196,0.11666666666666667,183,0.10892857142857143,0,0.0,0.6244047619047619,0.7797619047619048,500
9,M10,0,0,0,0,66,0,1,0,30,17,1,0,0,656,8,504,25,331,6,3,0,0,33,1681,34,0.020226055919095775,1202,0.7150505651397977,331,0.19690660321237358,48,0.028554431885782272,0,0.0,0.6948245092207019,0.9119571683521712,500
10,M11,0,0,0,0,12,0,0,0,95,28,2,0,0,314,65,509,4,12,7,1,0,0,642,1691,642,0.37965700768775873,900,0.5322294500295683,12,0.007096392667060911,125,0.07392075694855116,0,0.0,0.5251330573625074,0.5393258426966292,500
11,M12,0,0,0,0,15,13,0,0,28,8,4,0,0,958,27,256,21,10,5,0,0,2,346,1693,348,0.20555227406969875,1267,0.748375664500886,10,0.005906674542232723,40,0.02362669816893089,0,0.0,0.7330183106910809,0.7542823390431187,500
12,M13,0,0,0,1,100,0,0,0,2,0,0,0,0,618,3,130,3,46,0,0,0,0,790,1693,791,0.46721795629060836,754,0.4453632604843473,46,0.027170702894270527,2,0.0011813349084465446,0,0.0,0.4435912581216775,0.47253396337861786,500
13,M14,0,0,0,0,23,0,0,7,39,2,1,0,0,658,144,262,13,33,39,2,0,0,465,1688,465,0.2754739336492891,1118,0.6623222748815166,33,0.019549763033175356,42,0.024881516587677725,7,0.004146919431279621,0.6303317535545023,0.681872037914692,500
14,M15,0,0,0,0,15,13,0,0,28,8,4,0,0,956,27,257,21,10,5,0,0,2,344,1690,346,0.20473372781065088,1266,0.749112426035503,10,0.005917159763313609,40,0.023668639053254437,0,0.0,0.7337278106508875,0.7550295857988166,500
15,M16,1,0,0,0,27,1,0,7,22,146,72,0,71,131,196,618,45,138,37,4,0,0,185,1701,185,0.10875955320399765,1102,0.647854203409759,138,0.08112874779541446,311,0.18283362727807173,7,0.00411522633744856,0.5555555555555556,0.7289829512051734,500
16,M17,0,0,0,1,80,0,0,0,17,12,0,0,0,684,2,116,5,79,1,0,0,0,696,1693,697,0.41169521559362077,808,0.477259303012404,79,0.04666272888363851,29,0.017129356172474897,0,0.0,0.4737152982870644,0.5239220318960425,500
17,M18,0,0,0,1,77,0,0,0,0,0,0,0,0,532,71,326,2,30,1,0,0,0,654,1694,655,0.38665879574970485,932,0.5501770956316411,30,0.01770956316410862,0,0.0,0,0.0,0.5484061393152302,0.5678866587957497,500
18,M19,0,0,0,1,63,0,0,0,0,0,0,0,0,490,113,364,2,29,3,0,0,0,625,1690,626,0.37041420118343193,972,0.5751479289940828,29,0.017159763313609466,0,0.0,0,0.0,0.572189349112426,0.5923076923076923,500
19,M20,0,0,0,0,15,13,0,0,27,8,4,0,0,945,17,240,23,13,6,0,0,2,374,1687,376,0.2228808535862478,1231,0.7296976882039122,13,0.007705986959098993,39,0.023117960877296978,0,0.0,0.7125074096028453,0.7374036751630112,500
20,M21,0,0,0,0,88,0,1,0,45,34,1,0,0,620,11,427,25,382,9,3,0,0,36,1682,37,0.021997621878715814,1095,0.6510107015457788,382,0.22711058263971462,80,0.04756242568370987,0,0.0,0.629013079667063,0.8781212841854934,500
21,M22,0,0,0,0,113,0,10,0,121,56,2,0,0,37,402,768,21,120,22,0,3,0,3,1678,16,0.009535160905840286,1250,0.7449344457687723,120,0.07151370679380215,179,0.1066746126340882,0,0.0,0.7193087008343266,0.8164481525625744,500
22,M23,0,28,3,0,55,0,0,571,101,38,9,6,4,26,103,270,8,185,106,160,0,0,0,1673,31,0.01852958756724447,677,0.4046622833233712,185,0.11057979677226538,158,0.09444112372982666,571,0.3413030484160191,0.2384937238493724,0.5152420800956365,500
