,Name,Corn,Sorghum,Soybeans,Rye,Other Hay/Non Alfalfa,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Blueberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,J1,0,0,0,0,0,0,0,0,0,0,12,0,13,1,0,5,0,27,58,27,0.46551724137931033,31,0.5344827586206896,0,0.0,0,0.0,0,0.0,0.43103448275862066,0.5344827586206896,100
1,J2,0,2,0,0,0,0,5,3,7,2,2,9,5,0,2,8,0,16,61,18,0.29508196721311475,26,0.4262295081967213,2,0.03278688524590164,17,0.2786885245901639,0,0.0,0.26229508196721313,0.4590163934426229,100
2,J3,0,0,0,0,0,0,0,0,0,0,2,8,19,0,0,12,0,17,58,17,0.29310344827586204,41,0.7068965517241379,0,0.0,0,0.0,0,0.0,0.5,0.7068965517241379,100
3,J4,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,31,2,20,60,20,0.3333333333333333,39,0.65,0,0.0,0,0.0,1,0.016666666666666666,0.1,0.65,100
4,J5,1,0,1,0,0,0,0,0,0,1,0,10,7,0,0,24,0,12,56,14,0.25,42,0.75,0,0.0,1,0.017857142857142856,0,0.0,0.30357142857142855,0.75,100
5,J6,0,0,10,2,1,0,0,0,0,3,9,2,7,1,0,12,0,13,60,25,0.4166666666666667,34,0.5666666666666667,0,0.0,3,0.05,0,0.0,0.3,0.5666666666666667,100
6,J7,4,0,3,0,0,0,0,0,0,3,8,0,3,3,0,22,0,14,60,21,0.35,39,0.65,0,0.0,3,0.05,0,0.0,0.18333333333333332,0.65,100
7,J8,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,29,5,15,58,17,0.29310344827586204,41,0.7068965517241379,0,0.0,0,0.0,0,0.0,0.1206896551724138,0.7068965517241379,100
8,J9,0,0,0,0,0,0,7,9,0,0,0,7,2,0,0,20,2,12,59,12,0.2033898305084746,31,0.5254237288135594,0,0.0,16,0.2711864406779661,0,0.0,0.15254237288135594,0.5254237288135594,100
9,J10,0,0,0,0,0,2,0,3,0,0,0,12,2,1,0,12,0,26,58,26,0.4482758620689655,27,0.46551724137931033,0,0.0,3,0.05172413793103448,2,0.034482758620689655,0.2413793103448276,0.46551724137931033,100
10,J11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,29,57,29,0.5087719298245614,28,0.49122807017543857,0,0.0,0,0.0,0,0.0,0.0,0.49122807017543857,100
11,J12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,0,19,56,19,0.3392857142857143,37,0.6607142857142857,0,0.0,0,0.0,0,0.0,0.03571428571428571,0.6607142857142857,100
12,J13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45,0,13,60,15,0.25,45,0.75,0,0.0,0,0.0,0,0.0,0.0,0.75,100
13,J14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,59,0,0.0,59,1.0,0,0.0,0,0.0,0,0.0,0.0,1.0,100
14,J15,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,45,1,10,59,12,0.2033898305084746,47,0.7966101694915254,0,0.0,0,0.0,0,0.0,0.01694915254237288,0.7966101694915254,100
