,Name,Corn,Sorghum,Soybeans,Sweet Corn,Dbl Crop WinWht/Soybeans,Rye,Millet,Other Hay/Non Alfalfa,Potatoes,Other Crops,Sweet Potatoes,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Blueberries,Cranberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,J1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,68,1,0,96,0,175,0,365,175,0.4794520547945205,190,0.5205479452054794,0,0.0,0,0.0,0,0.0,0.2547945205479452,0.5205479452054794,250
1,J2,0,2,7,0,2,0,0,0,0,0,0,10,9,22,9,2,7,83,8,0,2,98,0,104,0,365,115,0.3150684931506849,198,0.5424657534246575,2,0.005479452054794521,42,0.11506849315068493,10,0.0273972602739726,0.2684931506849315,0.547945205479452,250
2,J3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,79,58,0,3,176,0,36,0,366,38,0.10382513661202186,325,0.8879781420765027,3,0.00819672131147541,3,0.00819672131147541,0,0.0,0.3989071038251366,0.8961748633879781,250
3,J4,2,0,0,0,0,0,0,0,1,0,0,1,2,8,7,1,16,33,12,2,6,198,3,75,0,367,78,0.2125340599455041,265,0.7220708446866485,6,0.01634877384196185,18,0.04904632152588556,1,0.0027247956403269754,0.16621253405994552,0.7384196185286104,250
4,J5,6,0,6,0,0,0,0,3,0,0,0,3,3,1,0,4,15,38,15,5,0,182,1,84,0,366,96,0.26229508196721313,260,0.7103825136612022,0,0.0,8,0.02185792349726776,3,0.00819672131147541,0.18579234972677597,0.7103825136612022,250
5,J6,3,0,46,0,2,3,4,1,0,5,0,0,0,0,0,15,36,2,14,9,13,108,1,100,0,362,163,0.45027624309392267,185,0.511049723756906,13,0.03591160220994475,15,0.04143646408839779,0,0.0,0.143646408839779,0.5469613259668508,250
6,J7,6,0,6,0,1,0,0,0,0,4,0,0,0,0,0,27,30,0,5,10,10,184,0,79,0,362,96,0.26519337016574585,256,0.7071823204419889,10,0.027624309392265192,27,0.07458563535911603,0,0.0,0.09668508287292818,0.7348066298342542,250
7,J8,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,1,11,0,5,2,6,236,7,74,0,366,87,0.23770491803278687,262,0.7158469945355191,6,0.01639344262295082,1,0.00273224043715847,11,0.030054644808743168,0.04371584699453552,0.73224043715847,250
8,J9,0,0,2,0,0,0,0,0,0,0,0,0,18,19,5,0,29,22,59,3,2,133,3,70,2,367,74,0.2016348773841962,249,0.6784741144414169,2,0.005449591280653951,42,0.11444141689373297,0,0.0,0.2997275204359673,0.6839237057220708,250
9,J10,0,0,0,1,0,2,0,0,0,0,0,2,4,26,3,3,10,181,10,5,10,35,2,68,3,365,74,0.20273972602739726,246,0.673972602739726,10,0.0273972602739726,36,0.09863013698630137,2,0.005479452054794521,0.5506849315068493,0.7013698630136986,250
10,J11,2,0,3,0,0,0,0,0,0,0,14,0,18,14,3,0,13,0,8,5,2,132,7,147,0,368,166,0.45108695652173914,165,0.4483695652173913,2,0.005434782608695652,35,0.09510869565217392,0,0.0,0.057065217391304345,0.453804347826087,250
11,J12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,207,0,149,0,370,152,0.41081081081081083,218,0.5891891891891892,0,0.0,0,0.0,0,0.0,0.02972972972972973,0.5891891891891892,250
12,J13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,6,2,0,247,6,91,0,364,94,0.25824175824175827,270,0.7417582417582418,0,0.0,3,0.008241758241758242,0,0.0,0.03296703296703297,0.7417582417582418,250
13,J14,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,327,20,0,0,364,0,0.0,347,0.9532967032967034,0,0.0,0,0.0,17,0.046703296703296704,0.0,0.9532967032967034,250
14,J15,5,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,3,1,1,232,8,88,0,364,107,0.29395604395604397,250,0.6868131868131868,1,0.0027472527472527475,6,0.016483516483516484,0,0.0,0.024725274725274724,0.6895604395604396,250
