,Name,Corn,Sorghum,Soybeans,Sweet Corn,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Millet,Alfalfa,Other Hay/Non Alfalfa,Potatoes,Other Crops,Sweet Potatoes,Sod/Grass Seed,Apples,Grapes,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Blueberries,Cranberries,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,J1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,19,204,3,0,497,0,693,0,1460,697,0.4773972602739726,763,0.5226027397260274,0,0.0,0,0.0,0,0.0,0.18013698630136987,0.5226027397260274,500
1,J2,3,2,30,0,0,2,0,0,0,1,0,0,0,0,0,0,95,46,56,12,0,18,23,265,20,1,7,621,12,252,1,1467,290,0.19768234492160872,960,0.65439672801636,7,0.004771642808452625,132,0.08997955010224949,95,0.06475800954328562,0.20995228357191548,0.6591683708248126,500
2,J3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,50,12,1,5,17,305,146,3,5,725,0,172,0,1464,179,0.12226775956284153,1201,0.8203551912568307,5,0.0034153005464480873,83,0.05669398907103825,1,0.0006830601092896175,0.319672131147541,0.8237704918032788,500
3,J4,2,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,1,27,37,14,0,7,56,149,47,4,16,975,16,117,1,1476,127,0.08604336043360433,1254,0.8495934959349594,16,0.01084010840108401,85,0.05758807588075881,1,0.0006775067750677507,0.17073170731707318,0.8604336043360433,500
4,J5,13,0,14,0,4,0,0,0,2,12,0,0,0,0,0,0,3,72,59,38,0,11,69,94,166,21,10,653,4,211,2,1458,246,0.16872427983539096,1018,0.6982167352537723,10,0.006858710562414266,180,0.12345679012345678,3,0.00205761316872428,0.22565157750342935,0.7050754458161865,500
5,J6,49,2,110,0,4,4,3,4,0,3,0,147,0,0,0,0,2,0,0,0,0,54,60,19,38,37,37,507,8,376,0,1464,699,0.4774590163934426,723,0.49385245901639346,37,0.025273224043715847,54,0.036885245901639344,2,0.001366120218579235,0.07991803278688525,0.5191256830601093,500
6,J7,17,4,28,0,0,2,0,3,0,0,0,8,3,0,0,0,0,11,22,30,0,110,68,132,48,24,22,708,0,221,0,1461,286,0.19575633127994524,1090,0.7460643394934976,22,0.015058179329226557,173,0.11841204654346338,0,0.0,0.1697467488021903,0.7611225188227242,500
7,J8,0,0,21,0,0,0,0,0,0,2,0,0,0,0,0,0,110,21,8,5,0,1,41,6,9,10,8,917,29,290,0,1478,311,0.2104194857916103,1013,0.6853856562922869,8,0.005412719891745603,35,0.02368064952638701,110,0.07442489851150202,0.037889039242219216,0.6907983761840325,500
8,J9,0,0,26,2,0,0,2,0,0,0,0,0,0,0,0,0,1,48,37,13,0,4,169,120,192,17,10,552,3,266,8,1470,304,0.20680272108843537,1057,0.719047619047619,10,0.006802721088435374,102,0.06938775510204082,1,0.0006802721088435374,0.3272108843537415,0.7258503401360544,500
9,J10,2,0,11,5,0,0,2,0,0,3,0,0,0,0,0,0,4,16,58,9,0,18,41,534,33,24,37,174,3,494,3,1471,517,0.3514615907545887,827,0.5622025832766825,37,0.02515295717199184,101,0.06866077498300475,4,0.002719238613188307,0.41332426920462273,0.5873555404486743,500
10,J11,201,1,15,0,6,0,7,3,0,8,0,0,163,1,3,3,0,63,105,39,0,0,56,2,17,16,15,264,20,457,0,1465,860,0.5870307167235495,375,0.25597269624573377,15,0.010238907849829351,207,0.14129692832764504,0,0.0,0.051194539249146756,0.2662116040955631,500
11,J12,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,13,0,0,2,49,5,40,4,0,770,0,569,0,1459,576,0.3947909527073338,870,0.5962988348183688,0,0.0,15,0.01028101439342015,0,0.0,0.06442769019876628,0.5962988348183688,500
12,J13,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,14,21,3,4,970,8,413,0,1460,423,0.2897260273972603,1033,0.7075342465753425,4,0.0027397260273972603,3,0.002054794520547945,0,0.0,0.03356164383561644,0.7102739726027397,500
13,J14,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,65,0,0,0,0,4,9,8,0,2,1,1302,60,5,2,1461,9,0.006160164271047228,1385,0.94798083504449,1,0.0006844626967830253,4,0.0027378507871321013,65,0.044490075290896644,0.01163586584531143,0.9486652977412731,500
14,J15,11,3,60,0,0,4,0,0,0,11,1,0,0,0,0,0,3,38,19,7,1,6,68,10,23,2,16,933,20,218,10,1464,307,0.20969945355191258,1062,0.7254098360655737,16,0.01092896174863388,71,0.04849726775956284,3,0.0020491803278688526,0.06898907103825136,0.7363387978142076,500
