Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_0,VALUE_1,VALUE_28,VALUE_36,VALUE_37,VALUE_42,VALUE_43,VALUE_61,VALUE_68,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_221,VALUE_229,VALUE_242
M1,,,,,,"-1","0","-1",,,"0","6","0","2","191","0","4","9","0","604","371","114","37","2","2","7395","205","2515","85","347","334","51","0","0","2912"
M2,,,,,,"-1","0","-1",,,"1924","4","0","0","75","0","0","4","2","131","170","739","397","27","103","422","3403","6260","152","470","629","125","0","0","303"
M3,,,,,,"-1","0","-1",,,"0","1","0","3","198","0","4","0","0","220","230","505","245","27","36","7550","262","4836","41","137","461","40","0","0","606"
M4,,,,,,"-1","0","-1",,,"0","0","0","0","23","0","0","4","0","19","164","415","146","0","5","2198","1123","9054","108","75","1241","174","0","0","656"
M5,,,,,,"-1","0","-1",,,"0","6","0","2","386","0","0","4","0","409","686","204","72","3","8","6192","697","3970","61","541","259","23","0","0","1687"
M6,,,,,,"-1","0","-1",,,"0","25","0","2","920","0","0","4","3","2959","653","301","75","5","11","2076","749","4016","55","1069","1601","255","0","0","435"
M7,,,,,,"-1","0","-1",,,"0","13","0","2","882","0","0","2","3","50","659","325","76","4","8","3802","832","5211","63","1172","1539","176","0","0","401"
M8,,,,,,"-1","0","-1",,,"0","4","0","0","451","0","0","18","3","7","649","186","29","4","4","9931","449","2538","46","395","78","4","0","2","419"
M9,,,,,,"-1","0","-1",,,"0","5","0","0","236","0","0","2","0","284","601","174","22","0","1","3006","1774","7279","41","388","795","480","0","0","49"
M10,,,,,,"-1","0","-1",,,"0","4","0","0","460","0","0","2","3","145","485","112","31","0","1","4107","1077","6660","107","1130","533","137","0","0","149"
M11,,,,,,"-1","0","-1",,,"0","7","0","0","324","0","0","3","0","0","501","182","25","0","0","4593","1685","6420","13","250","451","42","0","0","737"
M12,,,,,,"-1","0","-1",,,"0","4","0","0","499","0","0","20","3","23","698","234","56","7","7","9653","422","2513","42","515","82","4","0","2","431"
M13,,,,,,"-1","0","-1",,,"0","2","0","1","601","0","0","0","0","245","439","129","50","2","5","6808","815","3497","51","621","142","13","0","0","1787"
M14,,,,,,"-1","0","-1",,,"0","4","0","1","373","0","0","0","0","7","335","91","48","2","2","7689","734","3928","41","417","151","2","0","0","1392"
M15,,,,,,"-1","0","-1",,,"0","4","0","0","499","0","0","20","3","24","698","235","57","7","7","9651","422","2512","42","515","81","4","0","2","431"
M16,,,,,,"-1","0","-1",,,"1924","4","0","0","75","0","0","4","2","131","170","739","397","27","103","422","3404","6260","152","470","629","125","0","0","303"
M17,,,,,,"-1","0","-1",,,"0","2","0","1","569","0","0","0","0","387","484","115","51","0","5","6815","759","3293","55","547","218","12","0","0","1898"
M18,,,,,,"-1","0","-1",,,"0","2","0","1","591","0","0","0","0","245","443","128","55","2","5","6422","856","3758","56","623","148","13","0","0","1865"
M19,,,,,,"-1","0","-1",,,"0","2","0","1","588","0","0","0","0","245","445","131","57","2","5","6327","882","3798","57","631","150","13","0","0","1881"
M20,,,,,,"-1","0","-1",,,"0","4","0","0","487","0","0","20","3","7","694","214","39","7","6","9711","444","2541","41","482","78","4","0","2","438"
M21,,,,,,"-1","0","-1",,,"0","4","0","0","480","0","0","2","3","144","489","110","30","0","2","4131","1033","6660","104","1154","512","137","0","0","149"
M22,,,,,,"-1","0","-1",,,"0","1","0","7","548","0","0","0","25","0","343","626","347","72","38","410","4031","6329","120","511","1681","30","3","0","3"
M23,,,,,,"-1","0","-1",,,"0","56","5","3","421","2","3","2","0","6663","280","197","75","20","87","212","1522","1728","43","642","978","2142","0","0","11"
