Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_0,VALUE_1,VALUE_28,VALUE_36,VALUE_37,VALUE_61,VALUE_68,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_221,VALUE_229,VALUE_242
M1,,,,,,"-1","0","-1",,,"0","0","0","0","4","1","0","8","1","2","3","0","0","455","2","72","3","12","14","0","0","0","1108"
M2,,,,,,"-1","0","-1",,,"1","0","0","0","27","1","0","7","22","146","72","0","71","131","196","617","45","138","37","4","0","0","185"
M3,,,,,,"-1","0","-1",,,"0","1","0","0","74","0","0","0","54","33","1","0","0","1399","0","38","0","29","0","0","0","0","84"
M4,,,,,,"-1","0","-1",,,"0","0","0","0","3","0","0","0","27","112","15","0","0","392","48","844","16","13","14","0","0","0","231"
M5,,,,,,"-1","0","-1",,,"0","4","0","1","0","1","0","128","51","7","7","3","0","661","36","204","9","3","20","0","0","0","557"
M6,,,,,,"-1","0","-1",,,"0","4","0","0","89","2","0","216","94","9","2","0","0","157","117","361","2","111","216","37","0","0","273"
M7,,,,,,"-1","0","-1",,,"0","3","0","0","74","0","0","0","66","89","16","0","0","345","48","557","12","135","59","8","0","0","281"
M8,,,,,,"-1","0","-1",,,"0","0","0","0","1","13","0","0","13","8","2","0","0","941","26","272","23","8","7","0","0","2","376"
M9,,,,,,"-1","0","-1",,,"0","0","0","0","140","2","0","0","141","37","5","0","0","477","15","557","18","196","35","12","0","0","45"
M10,,,,,,"-1","0","-1",,,"0","0","0","0","66","0","1","0","30","17","1","0","0","656","8","504","25","331","6","3","0","0","33"
M11,,,,,,"-1","0","-1",,,"0","0","0","0","12","0","0","0","95","28","2","0","0","314","65","509","4","12","7","1","0","0","642"
M12,,,,,,"-1","0","-1",,,"0","0","0","0","15","13","0","0","28","8","4","0","0","958","27","256","21","10","5","0","0","2","346"
M13,,,,,,"-1","0","-1",,,"0","0","0","1","100","0","0","0","2","0","0","0","0","618","3","130","3","46","0","0","0","0","790"
M14,,,,,,"-1","0","-1",,,"0","0","0","0","23","0","0","7","39","2","1","0","0","658","144","262","13","33","39","2","0","0","465"
M15,,,,,,"-1","0","-1",,,"0","0","0","0","15","13","0","0","28","8","4","0","0","956","27","257","21","10","5","0","0","2","344"
M16,,,,,,"-1","0","-1",,,"1","0","0","0","27","1","0","7","22","146","72","0","71","131","196","618","45","138","37","4","0","0","185"
M17,,,,,,"-1","0","-1",,,"0","0","0","1","80","0","0","0","17","12","0","0","0","684","2","116","5","79","1","0","0","0","696"
M18,,,,,,"-1","0","-1",,,"0","0","0","1","77","0","0","0","0","0","0","0","0","532","71","326","2","30","1","0","0","0","654"
M19,,,,,,"-1","0","-1",,,"0","0","0","1","63","0","0","0","0","0","0","0","0","490","113","364","2","29","3","0","0","0","625"
M20,,,,,,"-1","0","-1",,,"0","0","0","0","15","13","0","0","27","8","4","0","0","945","17","240","23","13","6","0","0","2","374"
M21,,,,,,"-1","0","-1",,,"0","0","0","0","88","0","1","0","45","34","1","0","0","620","11","427","25","382","9","3","0","0","36"
M22,,,,,,"-1","0","-1",,,"0","0","0","0","113","0","10","0","121","56","2","0","0","37","402","768","21","120","22","0","3","0","3"
M23,,,,,,"-1","0","-1",,,"0","28","3","0","55","0","0","571","101","38","9","6","4","26","103","270","8","185","106","160","0","0","0"
