Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_36,VALUE_37,VALUE_43,VALUE_44,VALUE_46,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_206,VALUE_225,VALUE_242,VALUE_250
J1,,,,,,"-1","0","-1",,,"15","0","15","0","0","33","0","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","123","217","23","3","11","262","153","726","31","12","1612","10","0","0","2597","1"
J2,,,,,,"-1","0","-1",,,"37","4","204","0","0","0","0","7","0","0","0","0","49","3","0","0","0","1","0","0","0","449","118","118","17","0","32","113","825","206","14","57","3043","147","1","2","423","10"
J3,,,,,,"-1","0","-1",,,"30","1","5","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","0","3","0","6","66","164","101","45","13","123","766","690","18","22","3138","5","0","0","587","5"
J4,,,,,,"-1","0","-1",,,"7","1","62","0","3","0","0","2","0","0","0","2","11","1","0","0","0","0","0","0","0","1","155","91","16","0","45","303","428","180","21","35","4107","29","0","0","399","2"
J5,,,,,,"-1","0","-1",,,"49","0","65","0","0","0","4","0","0","0","0","2","17","0","0","0","0","0","2","0","1","10","177","245","97","3","223","299","369","632","60","58","2825","12","0","0","686","2"
J6,,,,,,"-1","0","-1",,,"202","6","208","1","0","2","4","6","3","0","4","0","8","0","559","2","0","0","0","0","0","18","72","124","6","0","215","160","492","196","77","60","2239","15","0","0","1156","0"
J7,,,,,,"-1","0","-1",,,"63","4","99","0","2","0","1","6","0","0","4","0","8","0","28","31","0","0","0","0","0","174","68","79","119","2","400","388","755","391","116","70","2616","39","0","0","357","0"
J8,,,,,,"-1","0","-1",,,"5","2","95","0","7","0","0","0","2","0","0","0","14","0","0","0","1","0","0","0","0","454","74","31","13","0","32","311","43","52","20","29","3889","106","0","0","713","0"
J9,,,,,,"-1","0","-1",,,"4","2","218","0","3","0","2","1","2","2","0","1","53","1","0","0","0","0","0","0","0","3","334","110","23","1","5","675","760","1190","32","42","1958","9","0","0","433","10"
J10,,,,,,"-1","0","-1",,,"6","0","28","0","5","0","0","0","4","0","0","2","14","0","0","0","0","0","0","0","0","4","43","115","26","0","97","128","2023","139","44","123","1343","14","1","0","1718","4"
