Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_27,VALUE_37,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_242
J1,,,,,,"-1","0","-1",,,"0","0","0","0","0","0","0","0","0","0","12","0","13","1","0","5","0","27"
J2,,,,,,"-1","0","-1",,,"0","2","0","0","0","0","5","3","7","2","2","9","5","0","2","8","0","16"
J3,,,,,,"-1","0","-1",,,"0","0","0","0","0","0","0","0","0","0","2","8","19","0","0","12","0","17"
J4,,,,,,"-1","0","-1",,,"0","0","0","0","0","1","0","0","0","0","2","2","2","0","0","31","2","20"
J5,,,,,,"-1","0","-1",,,"1","0","1","0","0","0","0","0","0","1","0","10","7","0","0","24","0","12"
J6,,,,,,"-1","0","-1",,,"0","0","10","2","1","0","0","0","0","3","9","2","7","1","0","12","0","13"
J7,,,,,,"-1","0","-1",,,"4","0","3","0","0","0","0","0","0","3","8","0","3","3","0","22","0","14"
J8,,,,,,"-1","0","-1",,,"0","0","2","0","0","0","0","0","0","0","7","0","0","0","0","29","5","15"
J9,,,,,,"-1","0","-1",,,"0","0","0","0","0","0","7","9","0","0","0","7","2","0","0","20","2","12"
J10,,,,,,"-1","0","-1",,,"0","0","0","0","0","2","0","3","0","0","0","12","2","1","0","12","0","26"
