Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_36,VALUE_37,VALUE_42,VALUE_43,VALUE_44,VALUE_46,VALUE_50,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_71,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_206,VALUE_209,VALUE_225,VALUE_236,VALUE_242,VALUE_250
J1,,,,,,"-1","0","-1",,,"42","3","21","0","0","65","0","0","0","0","0","0","4","0","0","0","23","0","2","0","1","0","0","0","0","24","432","518","164","58","34","559","544","1039","54","29","3416","46","0","0","0","0","6075","4"
J2,,,,,,"-1","0","-1",,,"40","5","242","0","0","0","0","7","0","0","0","0","64","0","3","0","0","0","0","1","0","0","0","0","0","758","152","180","26","0","76","203","2995","701","24","75","6873","177","1","0","2","0","614","11"
J3,,,,,,"-1","0","-1",,,"156","1","16","0","0","50","0","0","0","0","0","0","2","0","0","0","228","3","0","0","2","3","0","0","3","9","324","349","225","64","40","308","1022","1099","27","40","6786","13","0","0","0","0","2394","7"
J4,,,,,,"-1","0","-1",,,"22","4","164","0","3","0","0","5","4","0","0","2","27","0","1","0","0","0","0","0","0","0","0","0","0","20","379","239","49","0","56","734","957","759","54","94","8716","60","0","0","0","0","920","4"
J5,,,,,,"-1","0","-1",,,"107","0","109","0","0","0","6","2","0","0","0","2","19","0","0","0","15","0","0","0","2","0","1","0","0","13","357","451","131","14","322","597","923","1196","98","83","6362","29","0","0","0","0","2294","4"
J6,,,,,,"-1","0","-1",,,"346","6","290","2","0","10","11","11","3","0","6","0","8","0","0","576","17","0","0","0","0","0","0","0","0","22","132","236","31","22","548","345","1458","691","145","106","5471","48","0","0","0","0","2587","0"
J7,,,,,,"-1","0","-1",,,"192","7","226","0","2","0","4","10","0","0","8","2","32","0","0","90","127","0","2","0","0","0","0","0","0","827","112","140","196","10","892","767","1403","963","300","219","5663","103","0","0","0","2","800","0"
J8,,,,,,"-1","0","-1",,,"24","6","190","0","11","0","0","0","2","0","0","0","38","0","1","0","0","0","1","0","0","0","0","4","0","491","200","242","61","0","56","796","176","297","70","99","8940","149","0","0","0","0","1419","1"
J9,,,,,,"-1","0","-1",,,"201","15","437","0","7","0","9","5","11","2","0","7","156","0","22","0","2","0","1","0","0","0","0","0","0","27","966","282","38","2","16","1897","1570","2693","45","137","3857","14","46","0","0","0","742","12"
J10,,,,,,"-1","0","-1",,,"11","0","35","0","5","0","0","0","4","0","0","4","62","0","0","0","0","0","0","0","0","0","0","0","0","52","75","313","43","0","120","247","5200","273","83","160","4226","37","1","0","0","0","2277","5"
J11,,,,,,"-1","0","-1",,,"1152","12","389","0","7","0","36","64","36","2","11","83","348","4","57","0","1255","29","47","10","3","20","7","3","1","208","693","713","310","40","74","719","43","240","114","257","1183","119","0","5","0","2","4872","6"
J12,,,,,,"-1","0","-1",,,"251","0","106","0","6","0","27","13","11","0","0","0","74","0","0","4","648","1","6","0","0","0","2","0","0","123","976","968","600","86","54","1354","133","634","107","130","3544","70","0","0","0","0","3219","7"
J13,,,,,,"-1","0","-1",,,"37","3","52","0","0","3","2","0","2","0","0","0","11","0","0","9","10","0","0","0","11","0","0","7","0","21","504","407","68","2","18","893","390","919","90","89","5496","38","0","0","0","0","4065","11"
J14,,,,,,"-1","0","-1",,,"1","0","29","0","0","0","0","2","0","0","0","0","5","0","0","6","0","0","0","0","0","0","0","0","0","189","4","8","0","0","14","82","509","48","21","35","11694","123","0","0","0","0","391","24"
J15,,,,,,"-1","0","-1",,,"69","3","226","0","0","0","4","14","5","2","0","0","106","0","5","0","0","0","1","0","0","0","0","0","0","232","427","309","45","1","18","308","81","109","26","76","10285","86","1","0","0","0","713","57"
