Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_0,VALUE_1,VALUE_28,VALUE_36,VALUE_37,VALUE_43,VALUE_61,VALUE_68,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_221,VALUE_229,VALUE_242
M1,,,,,,"-1","0","-1",,,"0","5","0","2","72","2","5","0","38","98","41","30","2","2","2972","32","653","33","163","84","16","0","0","2494"
M2,,,,,,"-1","0","-1",,,"1108","4","0","0","61","0","2","0","15","72","349","225","21","94","268","987","2718","80","278","244","36","0","0","253"
M3,,,,,,"-1","0","-1",,,"0","1","0","1","108","4","0","0","149","118","197","18","2","4","3638","99","2035","7","61","249","15","0","0","137"
M4,,,,,,"-1","0","-1",,,"0","0","0","0","15","0","0","0","0","103","255","37","0","2","1364","191","4144","47","35","212","30","0","0","413"
M5,,,,,,"-1","0","-1",,,"0","4","0","1","71","0","2","0","238","273","62","19","3","1","3068","319","1683","39","130","78","10","0","0","759"
M6,,,,,,"-1","0","-1",,,"0","4","0","2","341","0","2","3","1812","283","63","20","0","3","467","402","1573","10","341","986","177","0","0","275"
M7,,,,,,"-1","0","-1",,,"0","4","0","0","328","0","2","3","0","165","140","29","0","0","1551","397","2264","21","468","1013","100","0","0","283"
M8,,,,,,"-1","0","-1",,,"0","0","0","0","124","0","18","0","7","112","23","10","2","0","4288","234","1403","32","70","36","4","0","2","402"
M9,,,,,,"-1","0","-1",,,"0","3","0","0","175","0","2","0","7","357","112","13","0","0","1495","832","3084","28","273","272","37","0","0","45"
M10,,,,,,"-1","0","-1",,,"0","0","0","0","249","0","0","3","25","260","74","5","0","0","2215","391","2450","37","698","183","50","0","0","91"
M11,,,,,,"-1","0","-1",,,"0","0","0","0","108","0","3","0","0","298","109","14","0","0","1954","567","2876","5","56","78","1","0","0","704"
M12,,,,,,"-1","0","-1",,,"0","0","0","0","74","0","18","0","0","135","36","5","0","0","4554","176","1239","32","65","30","0","0","2","402"
M13,,,,,,"-1","0","-1",,,"0","0","0","1","202","0","0","0","58","86","32","9","0","0","2900","440","1469","19","173","62","7","0","0","1305"
M14,,,,,,"-1","0","-1",,,"0","2","0","1","204","0","0","0","7","120","15","4","2","0","3304","348","1559","19","162","75","2","0","0","940"
M15,,,,,,"-1","0","-1",,,"0","0","0","0","74","0","18","0","0","136","37","5","0","0","4552","176","1235","32","65","30","0","0","2","402"
M16,,,,,,"-1","0","-1",,,"1108","4","0","0","61","0","2","0","15","72","349","224","21","94","268","987","2717","80","278","244","36","0","0","253"
M17,,,,,,"-1","0","-1",,,"0","0","0","1","202","0","0","0","184","125","50","10","0","3","3006","389","1374","13","210","51","7","0","0","1137"
M18,,,,,,"-1","0","-1",,,"0","2","0","1","259","0","0","0","93","117","67","30","0","0","2651","357","1520","21","275","56","7","0","0","1310"
M19,,,,,,"-1","0","-1",,,"0","2","0","1","272","0","0","0","102","122","66","30","0","1","2617","337","1530","23","298","54","7","0","0","1299"
M20,,,,,,"-1","0","-1",,,"0","0","0","0","102","0","18","0","2","132","34","5","0","0","4373","200","1356","32","72","30","2","0","2","402"
M21,,,,,,"-1","0","-1",,,"0","0","0","0","262","0","0","3","14","270","82","8","0","0","2210","327","2397","38","779","180","55","0","0","103"
M22,,,,,,"-1","0","-1",,,"0","0","0","0","167","0","0","10","0","197","298","127","2","0","105","2265","2830","38","186","496","2","3","0","3"
M23,,,,,,"-1","0","-1",,,"0","52","5","3","283","3","0","0","2342","235","156","34","8","43","132","675","1098","22","500","448","664","0","0","6"
