Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_26,VALUE_27,VALUE_29,VALUE_37,VALUE_43,VALUE_44,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_242,VALUE_250
J1,,,,,,"-1","0","-1",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","6","68","1","0","96","0","175","0"
J2,,,,,,"-1","0","-1",,,"0","2","7","0","2","0","0","0","0","0","10","9","22","9","2","7","83","8","0","2","98","0","104","0"
J3,,,,,,"-1","0","-1",,,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","79","58","0","3","176","0","36","0"
J4,,,,,,"-1","0","-1",,,"2","0","0","0","0","0","0","0","1","0","1","2","8","7","1","16","33","12","2","6","198","3","75","0"
J5,,,,,,"-1","0","-1",,,"6","0","6","0","0","0","0","3","0","0","3","3","1","0","4","15","38","15","5","0","182","1","84","0"
J6,,,,,,"-1","0","-1",,,"3","0","46","0","2","3","4","1","0","5","0","0","0","0","15","36","2","14","9","13","108","1","100","0"
J7,,,,,,"-1","0","-1",,,"6","0","6","0","1","0","0","0","0","4","0","0","0","0","27","30","0","5","10","10","184","0","79","0"
J8,,,,,,"-1","0","-1",,,"0","0","13","0","0","0","0","0","0","0","11","0","0","0","1","11","0","5","2","6","236","7","74","0"
J9,,,,,,"-1","0","-1",,,"0","0","2","0","0","0","0","0","0","0","0","18","19","5","0","29","22","59","3","2","133","3","70","2"
J10,,,,,,"-1","0","-1",,,"0","0","0","1","0","2","0","0","0","0","2","4","26","3","3","10","181","10","5","10","35","2","68","3"
