a2,a1,FarmID,Area of the farm,h1_1_1,h1_2_1,h1_3_1,h1_1_2,h1_2_2,h1_3_2,h1_1_3,h1_2_3,h1_3_3,h1_1_4,h1_2_4,h1_3_4,h1_1_5,h1_2_5,h1_3_5,h1_1_6,h1_2_6,h1_3_6,h1_1_7,h1_2_7,h1_3_7
A4,10,A4-10,22.95,Si,Más de 5 años,6,Si,Más de 5 años,22,Si,Más de 5 años,6,No,,,No,,,No,,,Si,Más de 5 años,1
A4,13,A4-13,54.5,No,,,Si,Más de 5 años,41,Si,Más de 5 años,21,No,,,No,,,No,,,No,,
A4,14,A4-14,44,Si,Más de 5 años,10,Si,Más de 5 años,15,Si,Más de 5 años,12,No,,,No,,,No,,,No,,
A4,15,A4-15,38,No,,,Si,Más de 5 años,33,Si,Más de 5 años,7.5,No,,,No,,,No,,,No,,
A4,16,A4-16,31.4,No,,,Si,Más de 5 años,29,Si,Más de 5 años,10,No,,,No,,,No,,,No,,
A4,8,A4-8,23,No,,,No,,,Si,Más de 5 años,7.5,No,,,No,,,No,,,No,,
A4,19,A4-19,19.16,Si,Entre 3 y 5 años,10,Si,Entre 3 y 5 años,18.66,Si,Más de 5 años,7,No,,,No,,,Si,Entre 3 y 5 años,17,Si,Entre 3 y 5 años,1.66
A1,55,A1-55,58,Si,Entre 1 y 3 años,47.5,Si,Entre 3 y 5 años,57.5,Si,Entre 1 y 3 años,3,No,,,Si,Entre 1 y 3 años,7,No,,,No,,
A2,22,A2-22,34,No,,,No,,,Si,Más de 5 años,5,No,,,No,,,No,,,No,,
A2,24,A2-24,25,No,,,Si,Más de 5 años,22,Si,Más de 5 años,5,No,,,No,,,No,,,Si,Más de 5 años,0.5
A2,18,A2-18,80,No,,,Si,Más de 5 años,79,Si,Más de 5 años,20,No,,,No,,,No,,,No,,
A2,26,A2-26,40,Si,Más de 5 años,2.5,Si,Más de 5 años,2.5,No,,,No,,,Si,Más de 5 años,7,No,,,Si,Más de 5 años,0.5
A2,28,A2-28,13,Si,Más de 5 años,5,Si,Más de 5 años,5,Si,Más de 5 años,2,No,,,No,,,No,,,Si,Más de 5 años,0.5
A2,27,A2-27,40,Si,Más de 5 años,1.5,Si,Más de 5 años,1.5,Si,Más de 5 años,36.5,No,,,Si,Más de 5 años,2,No,,,Si,Más de 5 años,1
A2,25,A2-25,72,No,,,Si,Entre 3 y 5 años,10,Si,Entre 3 y 5 años,8,No,,,No,,,No,,,Si,Entre 1 y 3 años,1
A2,29,A2-29,60,Si,Más de 5 años,10,Si,Más de 5 años,10,Si,Más de 5 años,40,No,,,Si,Más de 5 años,7,No,,,No,,
A3,27,A3-27,168,Si,Más de 5 años,3,Si,Más de 5 años,99,Si,Más de 5 años,80,No,,,No,,,Si,Entre 3 y 5 años,4,No,,
A3,28,A3-28,40,No,,,Si,Entre 3 y 6 meses,16,Si,Más de 5 años,2,Si,Entre 1 y 3 años,1,No,,,No,,,No,,
A3,29,A3-29,9.5,Si,Más de 5 años,0.5,Si,Más de 5 años,9,Si,Más de 5 años,9,Si,Más de 5 años,9,Si,Entre 3 y 5 años,1,No,,,No,,
A3,30,A3-30,9,No,,,Si,Más de 5 años,8.75,Si,Más de 5 años,8.75,Si,Entre 3 y 5 años,7.5,Si,Entre 3 y 5 años,1,No,,,No,,
A3,31,A3-31,9,Si,Entre 3 y 5 años,2,Si,Entre 3 y 5 años,7.75,Si,Más de 5 años,7.75,Si,Entre 3 y 5 años,2,No,,,No,,,No,,
A3,33,A3-33,12,Si,Entre 3 y 5 años,4.5,Si,Entre 1 y 3 años,5,Si,Más de 5 años,5,Si,Entre 1 y 3 años,1,No,,,No,,,Si,Entre 1 y 3 años,2
A3,34,A3-34,40,Si,Entre 1 y 3 años,2,Si,Más de 5 años,39.5,Si,Más de 5 años,37,No,,,No,,,No,,,Si,Entre 3 y 5 años,2
A3,32,A3-32,9,No,,,Si,Más de 5 años,7.75,Si,Más de 5 años,7.75,Si,Entre 3 y 5 años,4,Si,Entre 1 y 3 años,1,No,,,No,,
A3,36,A3-36,7,Si,Entre 1 y 3 años,6,Si,Entre 1 y 3 años,6,No,,,No,,,Si,Entre 3 y 6 meses,3,Si,Entre 1 y 3 años,6,No,,
